BV号：BV1LE411B7aM
标题：BV1LE411B7aM
链接：https://www.bilibili.com/video/BV1LE411B7aM
识别语言：zh
语言置信度：1
分段数：386
生成时间：2026-04-04 05:44:44

[00:00:02 - 00:00:03] 就火了啊挣钱了啊
[00:00:03 - 00:00:05] 你买买就开始买驴儿的邀带了
[00:00:05 - 00:00:06] 嗯
[00:00:06 - 00:00:06] 跳了
[00:00:06 - 00:00:07] 哈哈哈
[00:00:07 - 00:00:10] 你要考考你的你的业务能力到底怎么样啊
[00:00:10 - 00:00:11] 怎么考啊
[00:00:11 - 00:00:13] 只是坚定了一个点啊
[00:00:13 - 00:00:15] 我们看完自己之后第二还要看
[00:00:15 - 00:00:18] 比较恶劣的商家还是不知道这个事的
[00:00:18 - 00:00:19] 你去年要过生日的话
[00:00:19 - 00:00:22] 肯定是去年三月以后的生日
[00:00:22 - 00:00:23] 目前能确定的是这个了
[00:00:23 - 00:00:24] 哎呀
[00:00:24 - 00:00:25] 有点意思这个
[00:00:39 - 00:00:39] 大家好
[00:00:39 - 00:00:41] 欢迎收看小星独逼脱口秀
[00:00:41 - 00:00:42] 大开眼界
[00:00:42 - 00:00:44] 我是让学习变得更快乐的张雪芳老师
[00:00:44 - 00:00:45] 我们本期请到的专家呢
[00:00:45 - 00:00:48] 依然是咱们国内的非常著名的
[00:00:48 - 00:00:49] 奢侈品的建立专家
[00:00:49 - 00:00:50] 我们的张生老师
[00:00:50 - 00:00:51] 张生老师给大家打招呼
[00:00:51 - 00:00:52] 哈喽大家好
[00:00:52 - 00:00:53] 张老师
[00:00:53 - 00:00:56] 就是平时就是找你建定的
[00:00:56 - 00:00:59] 是不是情侣稍微多一些
[00:01:00 - 00:01:02] 情侣有
[00:01:02 - 00:01:02] 有是吧
[00:01:02 - 00:01:06] 一般的都是被送离的那一方
[00:01:06 - 00:01:07] 被送离的那一方
[00:01:07 - 00:01:09] 他就是觉得说送的这个东西
[00:01:09 - 00:01:11] 是不是真的是吧
[00:01:11 - 00:01:12] 对 会有一些担心
[00:01:12 - 00:01:13] 特别担心
[00:01:13 - 00:01:14] 那今天张老师
[00:01:14 - 00:01:17] 我就要麻烦一下你了
[00:01:17 - 00:01:18] 我要考考你的
[00:01:18 - 00:01:20] 你的业务能力到底怎么样
[00:01:20 - 00:01:21] 怎么考啊
[00:01:21 - 00:01:24] 这个我们前期拍各种视频的时候
[00:01:24 - 00:01:25] 包括我们录这个节目的时候
[00:01:25 - 00:01:26] 很多同学呢
[00:01:26 - 00:01:29] 对我身上的有物件比较感兴趣
[00:01:29 - 00:01:30] 就是我的腰带
[00:01:30 - 00:01:32] 哈哈哈
[00:01:32 - 00:01:35] 我身上这个驴盘的腰带
[00:01:35 - 00:01:39] 真的他伴随着我走过了中国大江南北
[00:01:39 - 00:01:41] 几乎所有高效
[00:01:41 - 00:01:42] 我录节目的时候也是他
[00:01:42 - 00:01:43] 然后的话咱们录的节目也是他
[00:01:43 - 00:01:45] 然后很多同学就说
[00:01:45 - 00:01:46] 哎张老师有漂了
[00:01:46 - 00:01:47] 漂了
[00:01:47 - 00:01:48] 哎呀你就啊就火了啊
[00:01:48 - 00:01:49] 挣钱了啊
[00:01:49 - 00:01:52] 你买买都开始买驴儿的腰带了
[00:01:52 - 00:01:53] 但其实这些腰带不是我买的
[00:01:53 - 00:01:55] 而且我说实话我对实识品的理解
[00:01:55 - 00:01:57] 就是像这种牌子我还是认识的
[00:01:57 - 00:01:59] 像酷刑我还是其他牌子我都不认识
[00:01:59 - 00:02:01] 我真我真没有那么那么所谓的漂
[00:02:01 - 00:02:02] 我这个大解释一下我没有漂
[00:02:02 - 00:02:04] 没有漂不漂
[00:02:04 - 00:02:07] 这个腰带是我老师送我的生日礼物
[00:02:07 - 00:02:08] 对
[00:02:08 - 00:02:09] 然后的话呢
[00:02:09 - 00:02:12] 我相信我老婆送的一定不是假货
[00:02:12 - 00:02:12] 但是呢
[00:02:12 - 00:02:14] 今天我要考虑你这个
[00:02:14 - 00:02:15] 你的能力怎么样
[00:02:15 - 00:02:16] 来 张老师
[00:02:16 - 00:02:17] 啊
[00:02:17 - 00:02:19] 您鉴定一下
[00:02:19 - 00:02:20] 这我就不戴手套了
[00:02:20 - 00:02:22] 您打打手套不做的
[00:02:22 - 00:02:25] 怎么能看出来
[00:02:25 - 00:02:27] 它是真的不是假的
[00:02:27 - 00:02:28] 那就是说
[00:02:28 - 00:02:29] 你就是ROA腰带
[00:02:29 - 00:02:31] 应该有什么样的特点吧
[00:02:31 - 00:02:34] 首先ROA用的正面
[00:02:34 - 00:02:35] 我们看到的这个
[00:02:35 - 00:02:38] 我们在学院管它叫石墨老花
[00:02:38 - 00:02:39] 石墨老花
[00:02:39 - 00:02:41] 石墨色的老花
[00:02:41 - 00:02:43] 在我们行业里面这么叫
[00:02:43 - 00:02:44] 这个叫什么呢
[00:02:44 - 00:02:45] 这个叫什么呢
[00:02:45 - 00:02:46] 这个叫三彩
[00:02:46 - 00:02:47] 这个呢
[00:02:47 - 00:02:48] 这个是白三彩
[00:02:48 - 00:02:50] 这个就是黑三彩
[00:02:50 - 00:02:52] 石墨老花
[00:02:52 - 00:02:54] 这个是PVC的
[00:02:54 - 00:02:56] 它不是皮质的
[00:02:56 - 00:02:59] 但是它的里面是皮质的
[00:02:59 - 00:03:01] 这是牛皮的
[00:03:01 - 00:03:03] 所以其实当我们看到它的话
[00:03:03 - 00:03:04] 正面PVC的
