BV号：BV1nK4y1c7Vs
标题：BV1nK4y1c7Vs
链接：https://www.bilibili.com/video/BV1nK4y1c7Vs
识别语言：zh
语言置信度：1
分段数：43
生成时间：2026-04-03 13:43:20

[00:00:00 - 00:00:01] 大家注意一下啊
[00:00:01 - 00:00:04] 黑东江山西湖南天津的江上口路
[00:00:04 - 00:00:05] 我为什么让你们口路呢
[00:00:05 - 00:00:09] 因为你们省自己本省的最好的一颗大学
[00:00:09 - 00:00:12] 选口路要求是避露避化和避生
[00:00:12 - 00:00:12] 家长
[00:00:12 - 00:00:14] 如果你不选生物的话
[00:00:14 - 00:00:15] 你要想学一
[00:00:15 - 00:00:19] 你就不能抱山西省的山西一颗大
[00:00:19 - 00:00:20] 你只能抱外省的学生
[00:00:20 - 00:00:23] 但是外省的学生在你山西招生人数是少的
[00:00:23 - 00:00:25] 山西一颗大招生人数是多的
[00:00:25 - 00:00:27] 你选生物才能抱
[00:00:27 - 00:00:29] 不选生物就抱不了
[00:00:29 - 00:00:31] 但是江苏的家长就不用考虑这个
[00:00:31 - 00:00:31] 为什么呢
[00:00:31 - 00:00:34] 因为江苏所有的医科大学
[00:00:34 - 00:00:35] 所有的学校
[00:00:35 - 00:00:37] 江苏所有的学校都医学的
[00:00:37 - 00:00:38] 选科学学都是费务必化
[00:00:38 - 00:00:39] 没有生物
[00:00:39 - 00:00:40] 所以说江苏的家长说
[00:00:40 - 00:00:42] 老实我选物科化能不能学
[00:00:42 - 00:00:43] 可以
[00:00:43 - 00:00:45] 但是山西黑龙江天津
[00:00:45 - 00:00:46] 古南的
[00:00:46 - 00:00:47] 就不可以
[00:00:47 - 00:00:48] 对山东也不可以
[00:00:48 - 00:00:50] 山大师物化生
[00:00:50 - 00:00:52] 所以说如果说你自己本省
[00:00:52 - 00:00:54] 最好的那个医科大学
[00:00:54 - 00:00:57] 你招生人数最多的那个医科大学
[00:00:57 - 00:00:59] 要求是物化生的话
[00:00:59 - 00:01:01] 你就必须考虑一下
[00:01:01 - 00:01:03] 将来要不要当医生
[00:01:03 - 00:01:06] 要不要把在你本省当医生这个选项给保留
[00:01:06 - 00:01:10] 如果你要保留在你本省最好的医科大学医的话
[00:01:10 - 00:01:13] 生就几乎必须选
[00:01:13 - 00:01:15] 如果说你不选生
[00:01:15 - 00:01:16] 不是学不了医
[00:01:16 - 00:01:20] 而是你几乎不能在本省最好的医科大学里面学医了
[00:01:20 - 00:01:21] 所以说
[00:01:21 - 00:01:22] 选不选
