BV号：BV1V14y127qt
标题：BV1V14y127qt
链接：https://www.bilibili.com/video/BV1V14y127qt
识别语言：zh
语言置信度：1
分段数：83
生成时间：2026-04-03 14:38:29

[00:00:00 - 00:00:02] 每年包圈的时候我都跟家长说
[00:00:02 - 00:00:04] 说在符合孩子的兴趣爱好的前提下
[00:00:04 - 00:00:06] 选择发展前景好的
[00:00:06 - 00:00:08] 什么叫发展前景好的
[00:00:08 - 00:00:10] 向国家政策看齐的
[00:00:10 - 00:00:11] 符合未来发展趋势的
[00:00:11 - 00:00:13] 那就是好专业
[00:00:13 - 00:00:15] 比如说能源行业发展前景
[00:00:15 - 00:00:15] 就不用我多说了
[00:00:15 - 00:00:17] 你看看大街上新能源汽车
[00:00:17 - 00:00:18] 你有多少你就知道了
[00:00:18 - 00:00:20] 今天能给大家推荐的就是一所
[00:00:20 - 00:00:22] 性价比比较高的能源类的双一流大学
[00:00:22 - 00:00:25] 就是西南石油大学
[00:00:25 - 00:00:26] 光听名字大家也都猜到了
[00:00:26 - 00:00:28] 这所学校最牛的学科
[00:00:28 - 00:00:29] 就是石油与天然气工程
[00:00:29 - 00:00:33] 在第四轮学科评估里边那可是全国第一啊
[00:00:33 - 00:00:34] 对应的石油工程
[00:00:34 - 00:00:35] 油气储营工程
[00:00:35 - 00:00:39] 海洋油气工程机械专业的都是国家一流专业
[00:00:39 - 00:00:40] 可以说在这方面的实力
[00:00:40 - 00:00:41] 污营之一
[00:00:41 - 00:00:43] 而且不光油气
[00:00:43 - 00:00:45] 像工程学 化学 材料科学 地球科学
[00:00:45 - 00:00:48] 这几个学科发展也很不错
[00:00:48 - 00:00:51] ESI排名里全都是全球的前百分之一
[00:00:51 - 00:00:53] 各方面实力都是有保障的
[00:00:53 - 00:00:55] 知道有些人还担心以后的发展问题
[00:00:55 - 00:00:57] 但是在我看来这没有什么可操心的
[00:00:57 - 00:00:59] 国家对于能源还是非常重视的
[00:00:59 - 00:01:01] 二次大报告当中就明确指出了
[00:01:01 - 00:01:03] 要加快规划建设
[00:01:03 - 00:01:04] 新能源体系
[00:01:04 - 00:01:06] 新南十大作为一所老牌的能源链高校
[00:01:06 - 00:01:09] 除了在传统游戏领域特别营以外呢
[00:01:09 - 00:01:10] 这几年在台能光福
[00:01:10 - 00:01:13] 在低冷能这些方面搞的也是相当的好
[00:01:13 - 00:01:15] 很多专业和成果都是全国首创的
[00:01:15 - 00:01:17] 所以说你选择这种学校
[00:01:17 - 00:01:18] 就相当于快人一步
[00:01:18 - 00:01:20] 站在时代的风口上了
[00:01:20 - 00:01:22] 那还用得着待机以后的发展
[00:01:22 - 00:01:24] 再看新南十大的就业情况
[00:01:24 - 00:01:28] 咱先不说人家有全国高校就业50强这块牌子
[00:01:28 - 00:01:29] 而且我专门了解过
[00:01:29 - 00:01:32] 这个学校每年的纠约率和就业指法都很高
[00:01:32 - 00:01:34] 大部分的学生都能进国企
[00:01:34 - 00:01:35] 央企或者是500厂企业
[00:01:35 - 00:01:37] 像什么中石油中石化
[00:01:37 - 00:01:38] 中铁中建
[00:01:38 - 00:01:41] 国家电网那是年年去西南十大招聘的
[00:01:41 - 00:01:43] 想成造的你也不用担心
[00:01:43 - 00:01:44] 人家自带百作模
[00:01:44 - 00:01:46] 满内的人才品行体系
[00:01:46 - 00:01:48] 还有博士库科业流行站
[00:01:48 - 00:01:49] 像石油工程
[00:01:49 - 00:01:50] 四元堪扎工程
[00:01:50 - 00:01:51] 新能源材料与气质
[00:01:51 - 00:01:54] 这一些专业的生造率都超过了40%
[00:01:54 - 00:01:57] 国内生造的院校90%都是双一流高校
[00:01:57 - 00:01:59] 什么清华、北大、浙大都有
[00:01:59 - 00:02:03] 国外50%以上都是QS排名前200代高校
[00:02:03 - 00:02:06] 最后我还想讲几个新南希大比较特殊的培养模式
[00:02:06 - 00:02:10] 一个叫做本硕博海外师资助项目
[00:02:10 - 00:02:13] 主要面向的是高考成绩比较好的同学
[00:02:13 - 00:02:17] 本科在新南希大博、硕博去国外等回国后的直接留校工作
[00:02:17 - 00:02:20] 而且不光给你减免学费、发奖、学金
[00:02:20 - 00:02:23] 工作以后还给你一大平安加费、科研启动费
[00:02:23 - 00:02:25] 所以说申请到这个项目
[00:02:25 - 00:02:28] 你升学找工作的问题就都解决了
[00:02:28 - 00:02:31] 还有一个叫做本朔联赔计划
[00:02:31 - 00:02:32] 入选了这个计划
[00:02:32 - 00:02:35] 你不光能享受到这个学校最好的师资
[00:02:35 - 00:02:35] 科研资源
[00:02:35 - 00:02:38] 还能够提前修读研究中的阶段的课程
[00:02:38 - 00:02:40] 毕业直接保研
[00:02:40 - 00:02:40] 所以说
[00:02:40 - 00:02:42] 这个学校不光有特色
[00:02:42 - 00:02:42] 有前景
[00:02:42 - 00:02:43] 性价比还高
[00:02:43 - 00:02:45] 感兴趣的考生和家长
[00:02:45 - 00:02:47] 大家可以大胆的通
