BV号：BV1zJwEzuEKQ
标题：BV1zJwEzuEKQ
链接：https://www.bilibili.com/video/BV1zJwEzuEKQ
识别语言：zh
语言置信度：1
分段数：58
生成时间：2026-04-03 00:04:00

[00:00:00 - 00:00:01] 你这大白天的
[00:00:01 - 00:00:03] 对吧 你这喝多少
[00:00:03 - 00:00:03] 做这个吗
[00:00:03 - 00:00:05] 你得两块儿得待着去
[00:00:05 - 00:00:08] 小学四年级有学习规划吗
[00:00:08 - 00:00:10] 小学四年级你规划个啥
[00:00:10 - 00:00:12] 太早了
[00:00:12 - 00:00:12] 你知道吧
[00:00:12 - 00:00:13] 我女儿小学五年级
[00:00:13 - 00:00:15] 我都没给这规划出个索颜来
[00:00:15 - 00:00:17] 所以说你小学觉得最重要的是什么
[00:00:17 - 00:00:18] 你小学觉得最重要的是
[00:00:18 - 00:00:20] 一定要培养她的学习习惯
[00:00:20 - 00:00:21] 比如说你写歌玩的时候
[00:00:21 - 00:00:23] 不能去抄素材
[00:00:23 - 00:00:24] 比如说你平时写作业的时候
[00:00:24 - 00:00:26] 你不能去成全吃水果
[00:00:26 - 00:00:28] 你把这种学习习惯给她培养好
[00:00:28 - 00:00:29] 比什么都重要
[00:00:29 - 00:00:33] 现在的电气工程及其自动化还能报吗
[00:00:33 - 00:00:34] 现在电气这种专业
[00:00:34 - 00:00:36] 它不是说能报不能报到问题
[00:00:36 - 00:00:37] 而是说各位家长你要知道
[00:00:37 - 00:00:39] 它的就业属性是什么
[00:00:39 - 00:00:39] 比如说
[00:00:39 - 00:00:41] 如果说你要想进市局的话
[00:00:41 - 00:00:42] 你得研究说学历
[00:00:42 - 00:00:44] 如果说你要是保护学历的话
[00:00:44 - 00:00:45] 你只能去县局
[00:00:45 - 00:00:46] 这是第二的话
[00:00:46 - 00:00:48] 就是电气有的学校它是强电方向
[00:00:48 - 00:00:50] 有的学校是弱电方向
[00:00:50 - 00:00:51] 你了解了再报
[00:00:51 - 00:00:52] 你的目的是什么
[00:00:52 - 00:00:53] 我们先想清楚
[00:00:53 - 00:00:55] 然后再说你要报报电气
[00:00:55 - 00:00:56] 它不是能报不能报到问题
[00:00:56 - 00:00:57] 而是我要反问你
[00:00:57 - 00:00:59] 你为什么要报电气
[00:00:59 - 00:01:01] 小学教育要考研吗
[00:01:01 - 00:01:02] 什么研
[00:01:02 - 00:01:03] 小学教育
[00:01:03 - 00:01:05] 大哥你上个世纪穿越过来的嘛
[00:01:05 - 00:01:05] 你身体
[00:01:05 - 00:01:07] 哈哈哈哈
[00:01:08 - 00:01:09] 你们自己看着办吧
[00:01:09 - 00:01:12] 我们家孩子卫明大学法律系本朔联读
[00:01:12 - 00:01:15] 25岁时取得了博士学位
[00:01:15 - 00:01:19] 28岁时高分通过了高级律师自治考试
[00:01:19 - 00:01:20] 有前途吗
[00:01:20 - 00:01:22] 法学本朔联读
[00:01:22 - 00:01:23] 25岁博士毕业
[00:01:23 - 00:01:25] 大哥大白天的
[00:01:25 - 00:01:27] 对吧 你的合读少做这个嘛
[00:01:27 - 00:01:28] 您得两块儿得带着起啊
[00:01:28 - 00:01:31] 少玩游戏多看书好不好
[00:01:31 - 00:01:32] 点赞加关注
[00:01:32 - 00:01:34] 高爆不迷路
