BV号：BV1bo4y1N7Z9
标题：BV1bo4y1N7Z9
链接：https://www.bilibili.com/video/BV1bo4y1N7Z9
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-03 15:11:59

[00:00:00 - 00:00:01] 在咱们国家呢
[00:00:01 - 00:00:03] 但凡是国字号开头的那个大学啊
[00:00:03 - 00:00:05] 那都是自带影响力和幸福力的
[00:00:05 - 00:00:08] 其实在高校这一块的也有这种现象
[00:00:08 - 00:00:12] 那么这些国字头大学在各个方面都是很受大当任何的
[00:00:12 - 00:00:14] 不管说你学校的教学实力啊
[00:00:14 - 00:00:15] 还是说毕业生以后的发展呢
[00:00:15 - 00:00:17] 那都是有口碑在的
[00:00:17 - 00:00:20] 那我今天要给大家介绍的就是这么一所国字头大学
[00:00:20 - 00:00:23] 而且还是在同类院校里面排的身号的那种
[00:00:23 - 00:00:25] 它就是中国一科大学
[00:00:25 - 00:00:28] 这所学校呢是地区辽宁省的省会沈阳
[00:00:28 - 00:00:32] 不说别的,光看半学的背景你就知道人家有多牛了
[00:00:32 - 00:00:35] 他是中国共产党最早创建的院校
[00:00:35 - 00:00:39] 前身是咱们熟知的中国公众红军军医学校
[00:00:39 - 00:00:41] 可以说是跟踪苗红
[00:00:41 - 00:00:44] 值得一提的是,他不仅走完了长征全程
[00:00:44 - 00:00:48] 而且还早早的在我国开设了西医学学院士的教育
[00:00:48 - 00:00:51] 马背上的红色学校说的就是他
[00:00:51 - 00:00:55] 而且中国一大还是原卫生部11所部署的院校之一
[00:00:55 - 00:00:59] 是咱们国家老牌的地勇集医学院校了
[00:00:59 - 00:01:04] 前不久他收到了90周年孝庆当天在天安门生活国旗
[00:01:04 - 00:01:07] 这个待遇在国内属实是相当之高了
[00:01:07 - 00:01:08] 中国一大还有一个很突出的特点
[00:01:08 - 00:01:10] 那就是孝有力
[00:01:10 - 00:01:11] 人家的孝有圈子里面
[00:01:11 - 00:01:13] 光将军就有40多位
[00:01:13 - 00:01:16] 还有两位亲一勋章的获得者
[00:01:16 - 00:01:17] 19位两院院士
[00:01:17 - 00:01:20] 10位国家卫生部 政府部长
[00:01:20 - 00:01:23] 100多位省部级领导干部
[00:01:23 - 00:01:24] 那么在这里边
[00:01:24 - 00:01:26] 我要特別說一下這個七一勳章
[00:01:26 - 00:01:29] 要知道七一勳章是黨內的最高旅餘
[00:01:29 - 00:01:31] 是2021年首次搬錯
[00:01:31 - 00:01:34] 當時全國只有兩個醫藥領域的人獲獎
[00:01:34 - 00:01:37] 這兩個人還都是從中國一大走出來的
[00:01:37 - 00:01:40] 你說這樣的數據有幾個醫科類院
[00:01:40 - 00:01:41] 想能拿得出來呢
[00:01:41 - 00:01:43] 走出了這麼多重量級的校友
[00:01:43 - 00:01:45] 也能證明人家的中國一科大學
[00:01:45 - 00:01:48] 在人才採樣這一塊的實力
[00:01:48 - 00:01:49] 你就說師資啊
[00:01:49 - 00:01:50] 像什麼工程院的院士
[00:01:50 - 00:01:52] 國家級的教學民師
[00:01:52 - 00:01:54] 黄大年教师团队等等他都有
[00:01:54 - 00:01:58] 而且他的高层次人才数量也是逐年在增加
[00:01:58 - 00:01:59] 我说个数据呢
[00:01:59 - 00:02:00] 大家可以自己感受一下
[00:02:00 - 00:02:01] 就在前不久
[00:02:01 - 00:02:04] 中国一大一共有19位专家
[00:02:04 - 00:02:07] 领贤助编临床医学专业教材
[00:02:07 - 00:02:09] 综人数排在了全国第四
[00:02:09 - 00:02:09] 当然了
[00:02:09 - 00:02:10] 在学科方面
[00:02:10 - 00:02:13] 中国一大的存在感也是很强的
[00:02:13 - 00:02:13] 目前呢
[00:02:13 - 00:02:15] 他一共有八个学科进入到全球前
[00:02:15 - 00:02:16] 1%
[00:02:16 - 00:02:19] 其中离床医学已经进入到了ESI全球前
[00:02:19 - 00:02:20] 千分之一
[00:02:20 - 00:02:22] 除了施資學科這一塊實力
[00:02:22 - 00:02:24] 中國一大在培養模式方面的也很有意義
[00:02:24 - 00:02:26] 比如說在2021年
[00:02:26 - 00:02:27] 它的創新學院
[00:02:27 - 00:02:30] 增設了英國建橋大學的國際選修課程
[00:02:30 - 00:02:32] 在比方說人家去年就在國內
[00:02:32 - 00:02:35] 首批設立了檢驗醫師培養試驗班
[00:02:35 - 00:02:37] 反正在人才培養這一塊
[00:02:37 - 00:02:40] 在中國一課大學的花樣也是特別的多
[00:02:40 - 00:02:42] 總之像這樣的國家重視
[00:02:42 - 00:02:45] 而且各個方面實力都很出眾的
[00:02:45 - 00:02:46] 國造大學
[00:02:46 - 00:02:48] 咱們有意向的同學可千萬別錯過了
