BV号：BV1B3411K7W4
标题：BV1B3411K7W4
链接：https://www.bilibili.com/video/BV1B3411K7W4
识别语言：zh
语言置信度：1
分段数：67
生成时间：2026-04-03 19:34:48

[00:00:00 - 00:00:01] 我就跟大家这么说啊
[00:00:01 - 00:00:05] 你在直播间万众矚目之下
[00:00:05 - 00:00:07] 八千多人将近一万人
[00:00:07 - 00:00:08] 万众矚目之下
[00:00:08 - 00:00:10] 你说张老师那个学校怎么样
[00:00:10 - 00:00:12] 就算他不好
[00:00:12 - 00:00:13] 我敢说吗
[00:00:14 - 00:00:16] 你问这个问题问的就
[00:00:17 - 00:00:17] 对吧
[00:00:18 - 00:00:19] 万众矚目之下
[00:00:19 - 00:00:20] 你说有些东西对吧
[00:00:20 - 00:00:23] 你直播间不能说的
[00:00:23 - 00:00:24] 对吧
[00:00:25 - 00:00:25] 他他不
[00:00:25 - 00:00:26] 我就会害得道歉
[00:00:27 - 00:00:28] 我原来我就
[00:00:28 - 00:00:29] 我就说句不好听
[00:00:29 - 00:00:32] 原来我这个人就有点口无遮拦你知道吧
[00:00:32 - 00:00:34] 原来我就是口无遮拦
[00:00:34 - 00:00:35] 你学不好千万别抱
[00:00:35 - 00:00:37] 这我原来
[00:00:37 - 00:00:39] 现在我都怕了
[00:00:39 - 00:00:40] 说一个学校道个歉
[00:00:40 - 00:00:41] 说一个学校道个歉
[00:00:41 - 00:00:42] 我的天呐
[00:00:43 - 00:00:44] 对吧这个
[00:00:45 - 00:00:47] 真是我都不敢说
[00:00:49 - 00:00:50] 对说的又要道歉
[00:00:50 - 00:00:51] 对不对天天道歉
[00:00:51 - 00:00:52] 天天道歉
[00:00:52 - 00:00:53] 是你妈的
[00:00:53 - 00:00:56] Oh God please no no
[00:00:56 - 00:00:57] 天天道歉
[00:00:58 - 00:01:01] 所以说有的时候你问他玩
[00:01:01 - 00:01:02] 你说这个学校好不好
[00:01:02 - 00:01:05] 你说我怎么办
[00:01:05 - 00:01:06] 对吧
[00:01:06 - 00:01:07] 这个学校
[00:01:07 - 00:01:10] 我只能
[00:01:10 - 00:01:11] 对吧
[00:01:11 - 00:01:13] 这小眼神对吧
[00:01:13 - 00:01:14] 你这个东西我只能
[00:01:14 - 00:01:15] 这种方式去
[00:01:15 - 00:01:16] 对吧
[00:01:16 - 00:01:17] 但是有人录屏
[00:01:17 - 00:01:18] 哈哈
[00:01:18 - 00:01:21] 我肯定好的
[00:01:21 - 00:01:21] 有人录屏
[00:01:21 - 00:01:22] 对吧
[00:01:22 - 00:01:23] 你这个就
[00:01:23 - 00:01:25] 你们支持我
[00:01:25 - 00:01:26] 抱歉
[00:01:26 - 00:01:27] 要不是你们
[00:01:27 - 00:01:28] 你这球我啥用啊
[00:01:28 - 00:01:33] 可以私下说
[00:01:33 - 00:01:34] 哎对可以私下说
[00:01:34 - 00:01:36] 所以说大家你知道了吧
[00:01:36 - 00:01:38] 中国有句话叫什么
[00:01:38 - 00:01:41] 免费的是最贵的
[00:01:41 - 00:01:41] 知道吧
[00:01:41 - 00:01:44] 你看直播间你看直播免费
[00:01:44 - 00:01:45] 就最贵的
[00:01:45 - 00:01:47] 要不你拍一个4号链接
[00:01:47 - 00:01:49] 哈哈哈
[00:01:49 - 00:01:49] 看需求啊
[00:01:49 - 00:01:51] 看需求有需求你就拍没需求无所谓
[00:01:51 - 00:01:53] 啊没需求无所谓
