BV号：BV1fx411Q7GZ
标题：BV1fx411Q7GZ
链接：https://www.bilibili.com/video/BV1fx411Q7GZ
识别语言：zh
语言置信度：1
分段数：326
生成时间：2026-04-04 13:13:51

[00:00:05 - 00:00:06] 啊,搞啥呀?
[00:00:06 - 00:00:10] 殺!
[00:00:10 - 00:00:12] 好,歡迎大家來到張老師課堂
[00:00:12 - 00:00:13] 我是張雪豐老師
[00:00:15 - 00:00:16] 考研呢,總結一下同學
[00:00:16 - 00:00:18] 考研後一天帶來以下幾方面的好處
[00:00:18 - 00:00:20] 如果說以下幾方面就有需要
[00:00:20 - 00:00:20] 那就考研
[00:00:20 - 00:00:21] 以下幾方面你沒有需要
[00:00:21 - 00:00:23] 那就不用考研了,知道吧
[00:00:23 - 00:00:24] 這是第一種考研
[00:00:24 - 00:00:24] 是個什麼?
[00:00:24 - 00:00:27] 它是一個你學歷其中的機會,對吧?
[00:00:28 - 00:00:30] 那麼同學你現在想幹的工作需要學歷
[00:00:30 - 00:00:30] 那就考研
[00:00:30 - 00:00:31] 不需要學歷就不用考研
[00:00:31 - 00:00:33] 就這麼簡單,知道吧
[00:00:33 - 00:00:34] 你比如說張老師學物理學的
[00:00:34 - 00:00:36] 老師我現在想當一個科學家
[00:00:36 - 00:00:38] 你见过哪个科学家是保科生啊
[00:00:38 - 00:00:39] 啊
[00:00:39 - 00:00:40] 老师说 三生大学老师
[00:00:40 - 00:00:41] 保科生可能吗
[00:00:41 - 00:00:41] 对不对
[00:00:41 - 00:00:43] 老师我们现在想当银行的行长
[00:00:43 - 00:00:44] 保科生可能当银行行长吗
[00:00:44 - 00:00:45] 这都不太可能对不对
[00:00:45 - 00:00:47] 如果从今天想干的工作
[00:00:47 - 00:00:48] 需要水利就考
[00:00:48 - 00:00:49] 不需要水利就不用考了
[00:00:49 - 00:00:50] 知道吗
[00:00:50 - 00:00:51] 你比如说我前两年
[00:00:51 - 00:00:51] 我的西安讲课
[00:00:51 - 00:00:53] 一个大哥劈点劈点找到我
[00:00:53 - 00:00:53] 张老师
[00:00:53 - 00:00:54] 我 我要考验
[00:00:54 - 00:00:55] 我说你今天想干嘛
[00:00:55 - 00:00:56] 张老师我今天想毕业
[00:00:56 - 00:00:57] 想当个城管
[00:00:57 - 00:00:58] 你就不用考验
[00:00:58 - 00:00:59] 知道吧
[00:00:59 - 00:01:00] 你出去考得最快
[00:01:00 - 00:01:01] 你就是城管了
[00:01:01 - 00:01:02] 知道吧
[00:01:02 - 00:01:03] 回答点你要注意
[00:01:03 - 00:01:03] 第一同学
[00:01:03 - 00:01:05] 如果是你今天想干的工作需要学的那些考验
[00:01:05 - 00:01:07] 能不能来到第二个学院
[00:01:07 - 00:01:08] 考验是个什么
[00:01:08 - 00:01:10] 它是一个你拯换的专业的学院
[00:01:10 - 00:01:12] 我不知道有没有同学现在上百两三年大学
[00:01:12 - 00:01:14] 不喜欢自己所觉得专业的
[00:01:14 - 00:01:15] 有没有这样的
[00:01:15 - 00:01:16] 肯定是有的 对吧
[00:01:16 - 00:01:18] 但同学你发现你本颗觉得想换专业
[00:01:18 - 00:01:19] 难不难
[00:01:19 - 00:01:20] 那是相当难的 对吧
[00:01:20 - 00:01:21] 你比如咱们学校
[00:01:21 - 00:01:22] 如果本颗觉得想换专业的话
[00:01:22 - 00:01:23] 需要什么样的考验
[00:01:25 - 00:01:27] 专业前三秒
[00:01:27 - 00:01:28] 专业前三秒
[00:01:28 - 00:01:31] 同学你不觉得这是个bug
[00:01:31 - 00:01:33] 谁他们想出的这个办法
[00:01:33 - 00:01:35] 我都口前翻了
[00:01:35 - 00:01:36] 我都学的这么好
[00:01:36 - 00:01:38] 你让我换专业
[00:01:38 - 00:01:39] 对吧
[00:01:39 - 00:01:43] 有没有
[00:01:43 - 00:01:45] 对吧
[00:01:45 - 00:01:48] 哇 他们不白学了吗
[00:01:48 - 00:01:49] 对不对
[00:01:49 - 00:01:51] 我觉得谁应该换专业
[00:01:51 - 00:01:53] 你们学的不好的太一个换专业嘛
[00:01:53 - 00:01:54] 你说对不对
[00:01:54 - 00:01:55] 说 为什么学习不好
[00:01:55 - 00:01:56] 天天挂课
[00:01:56 - 00:01:57] 我不喜欢这个专业
[00:01:57 - 00:01:59] 哦 原来是这样
[00:01:59 - 00:02:00] 那你喜欢哪个专业啊
[00:02:00 - 00:02:01] 老师 我喜欢那个专业
[00:02:01 - 00:02:02] 好 我再给自己一个机会啊
[00:02:02 - 00:02:03] 我再给自己机会啊
[00:02:03 - 00:02:04] 我把你调到那个专业去
[00:02:04 - 00:02:06] 你什么再不好好学
[00:02:06 - 00:02:07] 我就不给你学会这儿
[00:02:07 - 00:02:09] 我觉得这才是网络的对吧
[00:02:09 - 00:02:11] 很可惜我不是教育部部长
[00:02:11 - 00:02:12] 大家同学你要知道
[00:02:12 - 00:02:13] 本科这段换专业确实很难
[00:02:13 - 00:02:15] 但是考验上换专业
[00:02:15 - 00:02:16] 那就相对简单多了
[00:02:16 - 00:02:19] 那么考验你换专业基本上就是随便看
[00:02:19 - 00:02:20] 你想看哪个看哪个
[00:02:20 - 00:02:22] 那么退役不海不天空
[00:02:22 - 00:02:22] 你比如说明年
[00:02:22 - 00:02:24] 换专业的学院案例特别的多
[00:02:24 - 00:02:25] 有的人就跟我说
[00:02:25 - 00:02:26] 张老师我真的很想换专业
[00:02:26 - 00:02:27] 张老师我听说
[00:02:27 - 00:02:28] 换专业看难了
[00:02:28 - 00:02:29] 你听谁说的
[00:02:29 - 00:02:31] 他说现在能不难吗
[00:02:31 - 00:02:32] 没人家学了四年
[00:02:32 - 00:02:34] 我刚学一年我能干得过他吗
[00:02:34 - 00:02:35] 同学你千万别那么想知道吧
[00:02:35 - 00:02:37] 同学就跟你一个问题啊
[00:02:37 - 00:02:38] 你说你这个专业学了两三年
[00:02:38 - 00:02:39] 你学了啥了
[00:02:40 - 00:02:42] 这边啥也没学着啊
[00:02:42 - 00:02:43] 我跟你说他学四年跟你一个得像的
[00:02:43 - 00:02:44] 对吧
[00:02:44 - 00:02:45] 所以该跨就跨知道吧
[00:02:45 - 00:02:47] 你想每年跨专业成功的同学
[00:02:47 - 00:02:48] 我比较多啊
[00:02:48 - 00:02:50] 你看我见过一个跨专业考研
[00:02:50 - 00:02:51] 最新功能的一个同学
[00:02:51 - 00:02:52] 是我的一个大学同学
[00:02:52 - 00:02:53] 知道吧
[00:02:53 - 00:02:55] 那一个人们就很不喜欢自己的专业
[00:02:55 - 00:02:55] 知道吧
[00:02:55 - 00:02:56] 我觉得他那个都不能叫
[00:02:56 - 00:02:57] 不喜欢自己的专业
[00:02:57 - 00:03:00] 他那个绝对就恨自己的专业知道吧
[00:03:00 - 00:03:02] 恨到什么程度
[00:03:02 - 00:03:03] 每次当专业课的时候
[00:03:03 - 00:03:05] 我们都有人在后边拉起来知道吧
[00:03:05 - 00:03:06] 就你不拉起来
[00:03:06 - 00:03:08] 他就冲上来干了这个茄子
[00:03:08 - 00:03:09] 他就那么恨这个专业知道吧
[00:03:09 - 00:03:11] 而且当时我们在读本课的时候呢
[00:03:11 - 00:03:12] 我们只要有一度规定
[00:03:12 - 00:03:14] 就是你挂了课挂到二十五个学分
[00:03:14 - 00:03:15] 你就没有学证了
[00:03:15 - 00:03:17] 那位大哥大一就完成了这个众族
[00:03:17 - 00:03:18] 知道吧
[00:03:18 - 00:03:19] 就大一就挂到没有学证了
[00:03:19 - 00:03:21] 到大二的时候就没有毕业证了知道吧
[00:03:21 - 00:03:22] 但是你能知道如果说这个学分
[00:03:22 - 00:03:24] 他没有学证没有毕业证的话
[00:03:24 - 00:03:25] 毕业以后发个什么字
[00:03:26 - 00:03:27] 叫做一业证
[00:03:27 - 00:03:27] 知道吧
[00:03:27 - 00:03:30] 这个人就拿了一个一业证跑进去找我过去了
[00:03:30 - 00:03:31] 然后你们也有人就觉得说
[00:03:31 - 00:03:31] 这个人就飞了
[00:03:31 - 00:03:32] 是吧
[00:03:32 - 00:03:33] 单同学不用被担心
[00:03:33 - 00:03:34] 为什么呢
[00:03:34 - 00:03:35] 他学的学业比较好工作
[00:03:35 - 00:03:36] 他学什么学业呢
[00:03:36 - 00:03:37] 叫做水利水利工程
[00:03:38 - 00:03:38] 水利水利工程
