BV号：BV168411t7iN
标题：BV168411t7iN
链接：https://www.bilibili.com/video/BV168411t7iN
识别语言：zh
语言置信度：1
分段数：81
生成时间：2026-04-03 17:34:14

[00:00:00 - 00:00:03] 大家好我上学习变得更快乐的张雪峰老师
[00:00:03 - 00:00:04] 考研报名就要开始了
[00:00:04 - 00:00:06] 有的同学就让我给大家介绍一些学校
[00:00:06 - 00:00:08] 我们今天就给大家介绍一所高校
[00:00:08 - 00:00:11] 可能有些外地的同学不是很了解
[00:00:11 - 00:00:13] 但是实力很不错
[00:00:13 - 00:00:15] 这所学校就是江汉大学
[00:00:15 - 00:00:18] 江汉大学是湖北省和武汉市共建
[00:00:18 - 00:00:20] 以市委主的综合性大学
[00:00:20 - 00:00:23] 江汉大学在招收研究生培养这方面
[00:00:23 - 00:00:24] 是历史很悠久的
[00:00:24 - 00:00:27] 徐教宏84年开始就已经开始
[00:00:27 - 00:00:28] 数十年就分的培养了
[00:00:28 - 00:00:31] 于2010年获得了硕士学位授语权
[00:00:31 - 00:00:36] 又于2021年获得成为博士学位授语单位
[00:00:36 - 00:00:39] 学校现在有五个省重点学科
[00:00:39 - 00:00:42] 五个上级优势特色学科型
[00:00:42 - 00:00:45] 一个一级学科博士学位授语点
[00:00:45 - 00:00:48] 二十个硕士学位授权点
[00:00:48 - 00:00:49] 2018年
[00:00:49 - 00:00:53] 江汉大学入学湖北省国内一流学科建设高校
[00:00:53 - 00:00:58] 江汉大学的化学工程与技术学科将于今年启动博士招生
[00:00:58 - 00:01:01] 這個學科是江河大學傳統的優勢特色學科
[00:01:01 - 00:01:06] 2018年入選湖北省國內一流學科建設學科
[00:01:06 - 00:01:09] 是湖北省十二五重點學科特色學科
[00:01:09 - 00:01:12] 十三五優勢特色學科群的主幹學科
[00:01:12 - 00:01:15] 大家可以多多關注一下
[00:01:15 - 00:01:18] 江河大學環境生態學學科人的進入到了
[00:01:18 - 00:01:21] ESI全球排名的前百分之一
[00:01:21 - 00:01:23] 此外學校還有臨床醫學
[00:01:23 - 00:01:25] 藝術教育電子信息等專碩點
[00:01:25 - 00:01:28] 讀言選擇導師是關鍵
[00:01:28 - 00:01:31] 院士是公正的科研界的金字塔尖
[00:01:31 - 00:01:34] 全職院士更是高校的香波波
[00:01:34 - 00:01:36] 可不是每一座高校都有的呀
[00:01:36 - 00:01:40] 而江潘大学光是全職院士就有两个人
[00:01:40 - 00:01:42] 还有双聘院士是四个人
[00:01:42 - 00:01:44] 各类国家纪人才11人
[00:01:44 - 00:01:46] 省市纪人才100多人
[00:01:46 - 00:01:48] 还要说的就是科研的情况
[00:01:48 - 00:01:50] 江潘大学有不错的科研平台
[00:01:50 - 00:01:52] 拥有省部共建精细
[00:01:52 - 00:01:55] 爆破国家重点实验室
[00:01:55 - 00:01:59] 工電化學材料與氣箭教育部重點實驗室等
[00:01:59 - 00:02:01] 23個省部級研究平台
[00:02:01 - 00:02:05] 同時還擁有院士工作站博士後創新實踐基地
[00:02:05 - 00:02:08] 省級實習實訓基地
[00:02:08 - 00:02:11] 省研究生工作站等實踐創新基地
[00:02:11 - 00:02:12] 20一個
[00:02:12 - 00:02:13] 2020年以來
[00:02:13 - 00:02:16] 學校科研經費累積達到了6億元
[00:02:16 - 00:02:18] 在地方高校當中也是比較突出的
[00:02:18 - 00:02:23] 健康大學目前是湖北省唯一同時擁有博士學位授予權
[00:02:23 - 00:02:28] 省部共建國家重點實驗室和全職院數的省屬住民高校
[00:02:28 - 00:02:30] 除學校通貨實力以外
[00:02:30 - 00:02:33] 江浩大學研究生獎勵體系也是非常必要完善的
[00:02:33 - 00:02:37] 其中博士研究生學業獎學金覆蓋面百分之百
[00:02:37 - 00:02:40] 碩士研究生學業獎學金覆蓋面百分之九十以上
[00:02:40 - 00:02:42] 除國家住學金以外
[00:02:42 - 00:02:43] 還是有學校住學金
[00:02:43 - 00:02:45] 臨時困難補助資助
[00:02:45 - 00:02:47] 三住崗位住學金
[00:02:47 - 00:02:50] 研究生輔導員住理崗位住學金等
[00:02:50 - 00:02:51] 可以說是相當的提心
[00:02:51 - 00:02:55] 最近看到很多研究生开学没地儿住的新闻
[00:02:55 - 00:02:59] 相比之下在姜汉大学读研的吃住条件还是很吸引人的
[00:02:59 - 00:03:01] 学校的研究生宿舍都是独动工具
[00:03:01 - 00:03:03] 都是二到三人间
[00:03:03 - 00:03:05] 还都配有独立的卫生间
[00:03:05 - 00:03:06] 冷暖空调
[00:03:06 - 00:03:06] 洗衣机
[00:03:06 - 00:03:08] 公共司机室等等
[00:03:08 - 00:03:11] 校内的六大网红食堂也是价格便宜又美味
[00:03:11 - 00:03:12] 这几年
[00:03:12 - 00:03:15] 姜汉大学研究生招生人数也是逐年低增
[00:03:15 - 00:03:17] 除会计专业以外
[00:03:17 - 00:03:19] 其他硕士专业录取分出线
[00:03:19 - 00:03:20] 与国家线基本时评
[00:03:20 - 00:03:22] 在考驗如此迹软的今天
[00:03:22 - 00:03:24] 大家不妨多多关注一下这个
[00:03:24 - 00:03:25] 江汉大学
