BV号：BV1NGPse2ETT
标题：BV1NGPse2ETT
链接：https://www.bilibili.com/video/BV1NGPse2ETT
识别语言：zh
语言置信度：1
分段数：47
生成时间：2026-04-03 05:50:22

[00:00:00 - 00:00:01] 地信是干水费的
[00:00:01 - 00:00:02] 地信
[00:00:02 - 00:00:03] 地信这个专业是这样
[00:00:03 - 00:00:06] 它是计算机和地理学的结合
[00:00:06 - 00:00:07] 和测诲学的结合
[00:00:07 - 00:00:09] 如果你本科毕业以后的话
[00:00:09 - 00:00:10] 也是入野外
[00:00:10 - 00:00:11] 去测量各种刚的地理数据
[00:00:11 - 00:00:12] 然后的话
[00:00:12 - 00:00:13] 如果你是研究生阶段的话
[00:00:13 - 00:00:16] 你就把本科阶段测量的地理数据
[00:00:16 - 00:00:17] 给它信息化
[00:00:17 - 00:00:17] 数字化
[00:00:17 - 00:00:18] 软件化
[00:00:18 - 00:00:20] 就是比如在电脑上
[00:00:20 - 00:00:21] 展现出这个地理的数据
[00:00:21 - 00:00:23] 我有一个研究生同学
[00:00:23 - 00:00:25] 他是做封电的
[00:00:25 - 00:00:27] 然后他们公司有一个大屏幕
[00:00:27 - 00:00:29] 就是我去他们公司参观过
[00:00:29 - 00:00:30] 由于大屏幕
[00:00:30 - 00:00:32] 现在在这个时间段
[00:00:32 - 00:00:35] 各个地方有多大的风力
[00:00:35 - 00:00:37] 它那个整个大屏幕都有展示
[00:00:37 - 00:00:39] 因为它是建风力发电站的
[00:00:39 - 00:00:40] 所以说它也知道这个地方
[00:00:40 - 00:00:42] 建风力发电站
[00:00:42 - 00:00:43] 它全年的风量是多大
[00:00:43 - 00:00:45] 所以说的话就是我们
[00:00:45 - 00:00:46] 原来说有一种东西叫气象气球
[00:00:46 - 00:00:48] 然后的话包括侧风力的它都有
[00:00:48 - 00:00:50] 那么在这个地方
[00:00:50 - 00:00:51] 它海拔多高的情况下
[00:00:51 - 00:00:52] 它的风势多大
[00:00:52 - 00:00:53] 在海拔多高的情况下
[00:00:53 - 00:00:54] 这个风势多大
[00:00:54 - 00:00:55] 你像这个东西
[00:00:55 - 00:00:57] 你去在上面去测
[00:00:57 - 00:00:59] 这是测出来一个地理数据
[00:00:59 - 00:01:00] 这是要实地测
[00:01:00 - 00:01:02] 但是你要把测出来这个地理数据
[00:01:02 - 00:01:05] 信息化,数字化,转件化
[00:01:05 - 00:01:06] 这就是编程了
[00:01:06 - 00:01:07] 所以说地心这个转业我经常讲
[00:01:07 - 00:01:09] 调到本科毕业师测会
[00:01:09 - 00:01:11] 研究从毕业师计算机
[00:01:11 - 00:01:11] 就这个意思
