BV号：BV1BW4y1k7Ty
标题：BV1BW4y1k7Ty
链接：https://www.bilibili.com/video/BV1BW4y1k7Ty
识别语言：zh
语言置信度：1
分段数：56
生成时间：2026-04-03 19:04:52

[00:00:00 - 00:00:01] 什么叫做包装机械呢
[00:00:01 - 00:00:02] 一个东西
[00:00:02 - 00:00:02] 比如说现在这个
[00:00:02 - 00:00:04] 我把这个东西放到盒子里
[00:00:04 - 00:00:05] 现在不是说
[00:00:05 - 00:00:07] 所谓的我要拿这个东西
[00:00:07 - 00:00:07] 放里边
[00:00:07 - 00:00:08] 然后人包一下
[00:00:08 - 00:00:09] 太慢了
[00:00:09 - 00:00:11] 现在工厂哪还有人
[00:00:11 - 00:00:12] 工厂全是机械
[00:00:12 - 00:00:14] 全部都是自动化
[00:00:14 - 00:00:15] 整个一条生产
[00:00:15 - 00:00:16] 现在留下来完以后的话
[00:00:16 - 00:00:17] 一个机械
[00:00:17 - 00:00:17] 叉叉叉
[00:00:17 - 00:00:18] 三下五除二
[00:00:18 - 00:00:19] 什么怎么封
[00:00:19 - 00:00:21] 怎么封都没有人的
[00:00:21 - 00:00:21] 所以说的话
[00:00:21 - 00:00:23] 还有一个方向叫包装机械
[00:00:23 - 00:00:24] 一个女生学了这个专业
[00:00:24 - 00:00:25] 跟我张老师
[00:00:25 - 00:00:26] 将来我考验怎么办
[00:00:26 - 00:00:27] 我说你这个就两个方向
[00:00:27 - 00:00:28] 一个包装材料
[00:00:28 - 00:00:29] 一个包装机械
[00:00:30 - 00:00:31] 想学材料二不想学机械
[00:00:31 - 00:00:32] 我说你想学什么专业
[00:00:32 - 00:00:33] 张老师我想学计算机
[00:00:33 - 00:00:33] 恭喜你
[00:00:33 - 00:00:36] 这个专业本科就在没有任何计算机的专业课
[00:00:36 - 00:00:37] 你想跨没得跨
[00:00:37 - 00:00:39] 老师我现在那我跨专业课不可以
[00:00:39 - 00:00:39] 可以啊
[00:00:39 - 00:00:40] 计算机专业考研
[00:00:40 - 00:00:41] 考四门课
[00:00:41 - 00:00:42] 政治阴影数学
[00:00:42 - 00:00:43] 这三门课跟你报到工程是一样的
[00:00:43 - 00:00:44] 他的专业课考察的叫
[00:00:44 - 00:00:46] 408计算机综合
[00:00:46 - 00:00:47] 408计算机综合考的是四门课
[00:00:47 - 00:00:48] 计算机组里原理
[00:00:48 - 00:00:50] 计算机网络操作系统数据结构
[00:00:50 - 00:00:51] 我恭喜你一門都沒學過
[00:00:51 - 00:00:53] 他本科學這四門科頭都困難
[00:00:53 - 00:00:56] 你一個跨學院的學這四門科你怎麼辦
[00:00:56 - 00:00:57] 老師我想去研發芯片
[00:00:57 - 00:00:58] 恭喜你電路
[00:00:58 - 00:00:59] 威電與固電
[00:00:59 - 00:01:00] 你學吧
[00:01:00 - 00:01:02] 你不這個專業的你怎麼學啊
[00:01:02 - 00:01:03] 很難的
[00:01:03 - 00:01:04] 所以說再見你要知道
[00:01:04 - 00:01:05] 我們在報酬院的時候
[00:01:05 - 00:01:07] 一定要去看一下我們專業怎麼樣
