BV号：BV1vjoxY7Eoe
标题：BV1vjoxY7Eoe
链接：https://www.bilibili.com/video/BV1vjoxY7Eoe
识别语言：zh
语言置信度：1
分段数：71
生成时间：2026-04-03 05:30:08

[00:00:00 - 00:00:02] 首先的话你如果是色芒色若的话呢
[00:00:02 - 00:00:03] 待化学的专业
[00:00:03 - 00:00:05] 你是肯定就别报了
[00:00:05 - 00:00:07] 因为你只要是待化学的专业的话
[00:00:07 - 00:00:08] 你在学习功能当中
[00:00:08 - 00:00:10] 和实际工作的应用功能当中
[00:00:10 - 00:00:12] 一定会受到影响
[00:00:12 - 00:00:14] 因为化学的话涉及到化学反应
[00:00:14 - 00:00:15] 你这个东西它变颜色了
[00:00:15 - 00:00:16] 就代表已经反正反映了
[00:00:16 - 00:00:18] 但是你色若你没有看出来
[00:00:18 - 00:00:21] 你这个东西会影响到生产和影响和科研的
[00:00:21 - 00:00:24] 所以说待化学的专业是一定就不行的
[00:00:24 - 00:00:27] 然后我们就看一些待物理的专业和不待物理的专业
[00:00:27 - 00:00:28] 那首先计算机
[00:00:28 - 00:00:30] 计算机和数学这种专业
[00:00:30 - 00:00:31] 它确实是不带化学
[00:00:31 - 00:00:34] 但是计算机的某些应用领域里边
[00:00:34 - 00:00:35] 其实对于色觉辩认
[00:00:35 - 00:00:37] 也是有一定的要求
[00:00:37 - 00:00:39] 所以说不是说计算机一定没问题
[00:00:39 - 00:00:42] 而是计算机大部分的方向领域是没有问题的
[00:00:42 - 00:00:45] 那么其他待物里的功课也是一样
[00:00:45 - 00:00:46] 其他待物里的功课也是一样
[00:00:46 - 00:00:47] 大家如果有兴趣的话
[00:00:47 - 00:00:48] 您可以看一下
[00:00:48 - 00:00:52] 就是中国迷航大学和中国美艺航空飞行学院两个学校
[00:00:52 - 00:00:54] 这两个学校招待很多理工类专业
[00:00:54 - 00:00:56] 都是明确要求色毛色若不能报考的
[00:00:56 - 00:00:58] 那么为什么说同样的电子信息
[00:00:58 - 00:01:01] 计算机 安全工程等等专业
[00:01:01 - 00:01:01] 别的学校
[00:01:01 - 00:01:02] 色芒色若是可以报考
[00:01:02 - 00:01:05] 但是你这几两个学校是不能报考
[00:01:05 - 00:01:07] 因为你的应用领域是极为特殊的
[00:01:07 - 00:01:08] 应用领域
[00:01:08 - 00:01:12] 它是安全系组要求极高的应用领域
[00:01:12 - 00:01:13] 你是航空
[00:01:13 - 00:01:15] 那么你刚才说的家长
[00:01:15 - 00:01:16] 你说到电网也好
[00:01:16 - 00:01:17] 你说到冰系列也好
[00:01:17 - 00:01:18] 他也是
[00:01:18 - 00:01:20] 它是一个非常非常敏感的应用领域
[00:01:20 - 00:01:22] 这种敏感的应用领域
[00:01:22 - 00:01:24] 容错率几乎为一名
[00:01:24 - 00:01:25] 所以说的话
[00:01:25 - 00:01:26] 甚至有些东西
[00:01:26 - 00:01:30] 它就是要靠色觉编上来去分辨一些特殊的应用场景的
[00:01:30 - 00:01:33] 比如说有的颜色它可能是代表着这个颜色是一个更危险的东西
[00:01:33 - 00:01:36] 然后有的颜色这个颜色代表着没有那么危险的东西
[00:01:36 - 00:01:38] 所以说的话就是它不是说歧视
[00:01:38 - 00:01:41] 而是说某些特殊的应用理论
[00:01:41 - 00:01:42] 它的容错率没有那么高
[00:01:42 - 00:01:45] 所以说这个你要首先就是我们作为什么搜索的样子
[00:01:45 - 00:01:47] 要去理解这个东西
[00:01:47 - 00:01:50] 然后的话其次的话就是你学各种专业都可以
[00:01:50 - 00:01:52] 只要是学代物理的中理的功课
[00:01:52 - 00:01:54] 或者是学不代物理的功课也都可以
[00:01:54 - 00:01:58] 但是需要在未来选择你的研究方向和发展方向的时候
[00:01:58 - 00:02:00] 注意一下你的风险的情况
[00:02:00 - 00:02:02] 所以说你说到我学电子机器能不能学
[00:02:02 - 00:02:03] 也能学吗
[00:02:03 - 00:02:04] 也能学了
[00:02:04 - 00:02:05] 所以我学电子科学技术
[00:02:05 - 00:02:06] 我学的微电
[00:02:06 - 00:02:07] 能不能学
[00:02:07 - 00:02:07] 能学
[00:02:07 - 00:02:08] 没有问题
[00:02:08 - 00:02:10] 但是的话你具体的研究方向
[00:02:10 - 00:02:13] 不要去往带有色觉边缘的方向去做
[00:02:13 - 00:02:13] 就好
