BV号：BV11x41117xX
标题：BV11x41117xX
链接：https://www.bilibili.com/video/BV11x41117xX
识别语言：zh
语言置信度：1
分段数：104
生成时间：2026-04-04 13:31:00

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:14 - 00:00:16] 我还问一下你们都大吉的啊
[00:00:17 - 00:00:18] 大吉啊
[00:00:18 - 00:00:19] 有没有大吉大二的
[00:00:20 - 00:00:21] 有多少大吉的
[00:00:23 - 00:00:23] 啊
[00:00:24 - 00:00:25] 有多少大吉的
[00:00:25 - 00:00:26] 真有
[00:00:26 - 00:00:28] 大吉的你们来干啥来了
[00:00:30 - 00:00:30] 好
[00:00:31 - 00:00:32] 挺香的
[00:00:35 - 00:00:36] 还好 你们又去
[00:00:37 - 00:00:37] 呸
[00:00:39 - 00:00:40] 大四五都不去
[00:00:40 - 00:00:42] 上次我在四川也是
[00:00:42 - 00:00:43] 你跟綿陽十分學院有什麼知道嗎
[00:00:43 - 00:00:45] 我叫綿陽十分學院的學校去了
[00:00:45 - 00:00:47] 去了後去了六百多人
[00:00:47 - 00:00:48] 五百多大一的
[00:00:48 - 00:00:48] 知道吧
[00:00:48 - 00:00:49] 我說你們大一的
[00:00:49 - 00:00:50] 大一呢
[00:00:50 - 00:00:50] 我說你們幹嘛
[00:00:50 - 00:00:52] 靠眼睽
[00:00:52 - 00:00:54] 你大一的你搞個毛人啊
[00:00:54 - 00:00:55] 對不對
[00:00:55 - 00:00:57] 你大一的同學今天幹什麼
[00:00:57 - 00:00:59] 你談談戀愛分分手啊
[00:00:59 - 00:00:59] 對不對
[00:00:59 - 00:01:01] 你享受現在的大學生活啊
[00:01:01 - 00:01:02] 對吧
[00:01:02 - 00:01:03] 這是你大一的同學該幹的事情
[00:01:03 - 00:01:04] 知道嗎
[00:01:04 - 00:01:04] 真的
[00:01:04 - 00:01:06] 因為當時我那個視頻火的時候
[00:01:06 - 00:01:07] 正好趕上大一同學高考
[00:01:07 - 00:01:08] 對吧
[00:01:08 - 00:01:09] 而有的人就一邊高考
[00:01:09 - 00:01:10] 一邊參加了
[00:01:10 - 00:01:11] 就是一邊看我的視頻
[00:01:11 - 00:01:12] 一般看他的照片
[00:01:12 - 00:01:13] 后来呢
[00:01:13 - 00:01:14] 考那个不打地
[00:01:14 - 00:01:16] 后来有的人就考上大学以后呢
[00:01:16 - 00:01:17] 就开过发卫博士协问我
[00:01:17 - 00:01:18] 张老师你说这个商大学
[00:01:18 - 00:01:19] 应该干点啥呢
[00:01:19 - 00:01:21] 我这个大学才学的有意义呢
[00:01:21 - 00:01:23] 我说同学你向他你想干啥呀
[00:01:23 - 00:01:24] 然后的话有些人就给我说
[00:01:24 - 00:01:26] 张老师我师兄师爷告诉我了
[00:01:26 - 00:01:27] 商大学一到该些事情
[00:01:27 - 00:01:28] 不该些事情呢
[00:01:28 - 00:01:29] 这个大学是不完整的
[00:01:29 - 00:01:30] 我说你师师爷让你干嘛
[00:01:30 - 00:01:31] 有的人就给我说
[00:01:31 - 00:01:33] 张老师师师爷告诉我了
[00:01:33 - 00:01:34] 商大学那一到看场见
[00:01:34 - 00:01:36] 不再来大学是不完整的
[00:01:36 - 00:01:37] 老师是这样的吗
[00:01:37 - 00:01:38] 是这样的
[00:01:38 - 00:01:42] 是吧,该谈恋爱谈恋爱,知道吧?
[00:01:42 - 00:01:44] 一分钟就你要知道,你要古代到我们这个年龄了
[00:01:44 - 00:01:48] 孩子都有了,对不对?你谈恋爱怎么了?就不犯法
[00:01:48 - 00:01:52] 对不对?但你如果说你带大学期间谈恋爱,一不小心分手了
[00:01:52 - 00:01:54] 这个你要不要故意在意,你知道吗?
[00:01:54 - 00:01:56] 你知道为什么你大学期间谈恋爱会分手吗?
[00:01:56 - 00:01:58] 因为还有更好的在前面等着你
[00:01:58 - 00:02:01] 知道吗?就是这个目的的,知道吗?
[00:02:01 - 00:02:05] 随同就告诉你,老是经验告诉你,时间跟模拼一切
[00:02:05 - 00:02:06] 知道吗?那都不吃事儿
[00:02:06 - 00:02:08] 这边你不用拿我来举例子
[00:02:08 - 00:02:11] 真的原来我在美国之前谈恋爱就是被踹的那一会儿了
[00:02:11 - 00:02:11] 知道吧
[00:02:11 - 00:02:13] 你看我现在穿的人模狗样了对吧
[00:02:13 - 00:02:15] 七壶一壶后面都是酒的
[00:02:15 - 00:02:15] 知道吧
[00:02:15 - 00:02:17] 真的人家天天踹我的
[00:02:17 - 00:02:17] 知道吧
[00:02:17 - 00:02:19] 后来我活了以后就不一样了
[00:02:19 - 00:02:20] 就是我活了以后的话
[00:02:20 - 00:02:21] 我原来追过那些女生
[00:02:21 - 00:02:22] 包括那些全球
[00:02:22 - 00:02:23] 全都回来找我了
[00:02:23 - 00:02:23] 你知道吧
[00:02:23 - 00:02:23] 哎呦
[00:02:23 - 00:02:24] 你好火呀
[00:02:24 - 00:02:25] 怎么样
[00:02:25 - 00:02:25] 好鬼吗
[00:02:25 - 00:02:26] 对
[00:02:28 - 00:02:29] 所以说真的你要记住
[00:02:30 - 00:02:32] 在你人生的大方向上
[00:02:32 - 00:02:34] 你只要大方向上没有错的
[00:02:34 - 00:02:35] 中间经那些丑坎可
[00:02:35 - 00:02:36] 这都很正常
[00:02:36 - 00:02:37] 能明白吧
[00:02:37 - 00:02:38] 你谈恋的分手这也很正常
[00:02:38 - 00:02:40] 时间等我可以一切
[00:02:40 - 00:02:40] 能明白吧
[00:02:40 - 00:02:41] 你需要做的时间就是
[00:02:41 - 00:02:43] 努力提高你自己让别人去后悔
[00:02:43 - 00:02:44] 能明白吧
