BV号：BV1vQ4y1o7sV
标题：BV1vQ4y1o7sV
链接：https://www.bilibili.com/video/BV1vQ4y1o7sV
识别语言：zh
语言置信度：1
分段数：74
生成时间：2026-04-04 00:14:03

[00:00:00 - 00:00:02] 但是你專業也得搞下來了的話
[00:00:02 - 00:00:03] 就要考察各位家長的一個問題
[00:00:03 - 00:00:05] 就說你另一個專業真的了解嗎
[00:00:06 - 00:00:08] 你另一個專業真的了解嗎
[00:00:09 - 00:00:11] 就是很多家長口上在幫我做出來的時候的話
[00:00:11 - 00:00:14] 就你以為那個專業是幹啥的
[00:00:14 - 00:00:15] 但那個專業真的是幹啥的嗎
[00:00:15 - 00:00:17] 是你以為那那個呢
[00:00:17 - 00:00:18] 所以我給大家提個簡單的例子
[00:00:18 - 00:00:20] 我地取一個簡單的例子
[00:00:20 - 00:00:21] 在幫我專業前後的時候
[00:00:21 - 00:00:22] 有一個專業叫做機械 對吧
[00:00:22 - 00:00:23] 我問大家一個問題
[00:00:23 - 00:00:24] 機械是幹啥的
[00:00:24 - 00:00:26] 是下修業的
[00:00:26 - 00:00:27] 下修業的
[00:00:27 - 00:00:29] 你這麼理解這個專業嗎
[00:00:29 - 00:00:30] 知道嗎?
[00:00:30 - 00:00:31] 機械人幹啥?
[00:00:31 - 00:00:33] 我在吳蘇武次講過
[00:00:33 - 00:00:34] 我說過大家這個問題
[00:00:34 - 00:00:35] 很多人都這樣給我說
[00:00:35 - 00:00:35] 上老師家了
[00:00:35 - 00:00:37] 哎!機械人都修車了
[00:00:37 - 00:00:38] 不是機械人都要造氣車了
[00:00:38 - 00:00:40] 機械人都要造聲音工程嗎?
[00:00:40 - 00:00:41] 有問題就要講
[00:00:41 - 00:00:42] 就說
[00:00:42 - 00:00:43] 但是真的我要告訴你
[00:00:43 - 00:00:44] 機械人很多個大行銷
[00:00:44 - 00:00:45] 我給大家舉個例子
[00:00:45 - 00:00:47] 造氣蛇叫機械
[00:00:47 - 00:00:49] 大客蛇是不是造氣蛇?
[00:00:49 - 00:00:50] 也是
[00:00:50 - 00:00:51] 我問你你家的畢業者
[00:00:51 - 00:00:53] 你家的機車是進上級集團
[00:00:53 - 00:00:54] 還是進雨通集團?
[00:00:54 - 00:00:55] 你不一樣啊各位
[00:00:55 - 00:00:57] 你進上級集團倒不是小氣蛇
[00:00:57 - 00:00:59] 到宇宏学校到过去大课车
[00:00:59 - 00:01:00] 能明白吗?
[00:01:00 - 00:01:02] 公交车跟你接着跑手机的时候提起回事吗?
[00:01:02 - 00:01:04] 读习回事儿
[00:01:04 - 00:01:06] 有个学校叫长安大学大学
[00:01:06 - 00:01:07] 我说大家有点理解
[00:01:07 - 00:01:10] 长安大学就叫做过去小学校大课车
[00:01:10 - 00:01:12] 他到过去大课车
[00:01:12 - 00:01:15] 长安大学中国公路第一名校
[00:01:15 - 00:01:17] 这个学校有公路学院
[00:01:17 - 00:01:20] 他的机械毕业以后基本上就定在到宇宏课车
[00:01:20 - 00:01:23] 金融课车不是上级集团
[00:01:23 - 00:01:26] 还有的学校的机械是都重型机械的
[00:01:26 - 00:01:28] 大家知道我們河北有個小學叫煙山大學
[00:01:29 - 00:01:30] 原來叫做東北重慶機械學
[00:01:31 - 00:01:33] 什麼叫重慶機械挖掘機
[00:01:33 - 00:01:35] 你以為你還能夠氣息到它
[00:01:35 - 00:01:36] 做挖掘機
[00:01:36 - 00:01:38] 還有農機
[00:01:38 - 00:01:40] 有個小學叫江蘇大學大家聽說過嗎
[00:01:40 - 00:01:42] 江蘇大學聽得沒得挺好
[00:01:42 - 00:01:45] 但這個時候不帶南京在鎮江
[00:01:45 - 00:01:47] 江蘇大學的機械在做啥的
[00:01:49 - 00:01:50] 江蘇大學的機械在做啥的
[00:01:50 - 00:01:51] 你說對了拖拉級
[00:01:52 - 00:01:54] 江蘇大學最早的名字叫做
[00:01:54 - 00:01:55] 江蘇農機學院
[00:01:56 - 00:01:59] 江苏还有个学校,真相有两个禀校
[00:01:59 - 00:02:02] 一个是江苏大学,还有个叫江苏科技大学
[00:02:02 - 00:02:08] 江苏科技大学也有几些,各位家人,江苏科技大学的机械人造他的
[00:02:08 - 00:02:11] 造他的,你说你这机械人,你怎么听?
[00:02:11 - 00:02:17] 江苏科技大学的机械人造船的,他原来叫郑江造船学院
[00:02:17 - 00:02:21] 所以说有些时候女朋友发现有的时候,你说我报纸院,我录取了
[00:02:21 - 00:02:24] 我录取了,问问问家,他这到底干啥呢,你知道吗?
[00:02:24 - 00:02:25] 你根本就不知道
