BV号：BV1w1moYxEK5
标题：BV1w1moYxEK5
链接：https://www.bilibili.com/video/BV1w1moYxEK5
识别语言：zh
语言置信度：1
分段数：45
生成时间：2026-04-03 07:37:15

[00:00:00 - 00:00:03] 企业对于专业的要求其实没有那么严格
[00:00:03 - 00:00:06] 他就看谁能给我解决对应的事
[00:00:06 - 00:00:07] 我只看你的能力
[00:00:07 - 00:00:08] 你是学这个专业的
[00:00:08 - 00:00:11] 你不一定具备这个专业的职业素养
[00:00:11 - 00:00:12] 我照让不要你
[00:00:12 - 00:00:14] 但是如果说你要是在考功考编的话
[00:00:14 - 00:00:15] 那不好意思
[00:00:15 - 00:00:17] 那我对于专业要求是非常非常严格的
[00:00:17 - 00:00:18] 因为它有一个资格审查
[00:00:18 - 00:00:20] 它不觉得你外专业的同学
[00:00:20 - 00:00:24] 会比所谓本专业的同学在这个专业的专业素养要高
[00:00:24 - 00:00:27] 因为他们招聘可能会更加的光框要紧
[00:00:27 - 00:00:28] 那是企业照片的时候
[00:00:28 - 00:00:30] 它其实没有这么框框较小
[00:00:30 - 00:00:32] 它只是看你能不能干我这个活
[00:00:32 - 00:00:33] 你愿意干你愿意学
[00:00:33 - 00:00:35] 你不是我这个拽子都可以干
[00:00:35 - 00:00:37] 你比如说我给大家举个简单的例子
[00:00:37 - 00:00:39] 我就拿会计这个岗位来说
[00:00:39 - 00:00:41] 如果说你要是在央国企
[00:00:41 - 00:00:43] 你要是在这个就是体制内
[00:00:43 - 00:00:44] 就比如说像公务员的岗位啊
[00:00:44 - 00:00:47] 包括像一些事业单位编制的岗位
[00:00:47 - 00:00:49] 他的财务岗基本上都是学会计的
[00:00:49 - 00:00:51] 但是你在四大里边
[00:00:51 - 00:00:52] 你到四大会计时事无所
[00:00:52 - 00:00:53] 你会发现好多好多
[00:00:53 - 00:00:55] 根本本来不是学会计的
[00:00:55 - 00:00:56] 在四大里边工作
[00:00:56 - 00:00:57] 所以说你看四大会计师是无所
[00:00:57 - 00:00:59] 他本身是会计这个专业里面
[00:00:59 - 00:01:02] 在就业当中门槛比较高的一当企业
[00:01:02 - 00:01:04] 但是他对专业要求就没有那么强
[00:01:04 - 00:01:06] 然后的话你在口供口边的时候
[00:01:06 - 00:01:08] 你会发现他对专业要求是极强的
[00:01:08 - 00:01:09] 所以说这个大家有的时候
[00:01:09 - 00:01:11] 你对于这种专业的这种把握度
[00:01:11 - 00:01:12] 其实对于企业来讲
[00:01:12 - 00:01:13] 他要求没有那么严格
[00:01:13 - 00:01:15] 但是对于口供口边的时候
[00:01:15 - 00:01:16] 他要求是非常严格
[00:01:16 - 00:01:17] 包括一些阳光企业
[00:01:17 - 00:01:18] 阳光企的话
[00:01:18 - 00:01:20] 他对于专业是要求非常非常严格的
