BV号：BV1sL4y1A7aQ
标题：BV1sL4y1A7aQ
链接：https://www.bilibili.com/video/BV1sL4y1A7aQ
识别语言：zh
语言置信度：1
分段数：108
生成时间：2026-04-03 18:53:35

[00:00:00 - 00:00:02] 大家好我上学习近平更快乐的张雪锋老师
[00:00:02 - 00:00:04] 今天呢有给大家推荐一所新疆比比较高
[00:00:04 - 00:00:06] 而且在当地人眼中非常有名
[00:00:06 - 00:00:08] 就位任何度也非常不错的学校
[00:00:08 - 00:00:10] 那就是陕西科技大学
[00:00:10 - 00:00:12] 陕西科技大学呢位于国家中心城市
[00:00:12 - 00:00:14] 国家重要的科研教育
[00:00:14 - 00:00:15] 勾结基地交通苏扭
[00:00:15 - 00:00:16] 西安
[00:00:16 - 00:00:19] 距离高铁西安北站十字界全联会主场馆
[00:00:19 - 00:00:20] 近在支持
[00:00:20 - 00:00:22] 成地铁呢也可以直接到达机场
[00:00:22 - 00:00:23] 大家还记得我之前说过
[00:00:23 - 00:00:27] 我说上大学除了学知识更重要的就是要找见识
[00:00:27 - 00:00:29] 虽说你看咱这学校啊在陕西省的省会
[00:00:29 - 00:00:31] 地理位置优势是妥妥的
[00:00:31 - 00:00:34] 闪磕大是中国第一所清工业的高等学校
[00:00:34 - 00:00:37] 1958年的时候在首都北京创建
[00:00:37 - 00:00:38] 叫做北京清工业学院
[00:00:38 - 00:00:40] 隶属于清工业部
[00:00:40 - 00:00:41] 然后在1970年
[00:00:41 - 00:00:44] 牵制闪息咸阳改名为西北清工业学院
[00:00:44 - 00:00:49] 1978年被国务院确定为全国88所重点月球之一
[00:00:49 - 00:00:51] 1998年学校转化到闪息社
[00:00:51 - 00:00:53] 2002年经教育部批准
[00:00:53 - 00:00:55] 更名为闪息科技大学
[00:00:55 - 00:00:57] 2006年学校主体东前指先
[00:00:57 - 00:00:58] 大家注意到没有
[00:00:58 - 00:01:02] 陕西科技大學是原清工業部的植屬高校
[00:01:02 - 00:01:05] 我個人是非常推動這種原不及植屬高校的
[00:01:05 - 00:01:08] 簡單來說咱陕科大起點高平台好
[00:01:08 - 00:01:13] 它是我國西部地區唯一所以清工類特色的多學科興大學
[00:01:13 - 00:01:16] 國家中西部高校基礎能力建設工程建設高校
[00:01:16 - 00:01:19] 陕西省重點建設的高水平大學
[00:01:19 - 00:01:21] 陕西省國內一流大學建設高校
[00:01:21 - 00:01:24] 是陕西省人民政府與中國清工業聯合會
[00:01:24 - 00:01:26] 中國清工集團總公司
[00:01:26 - 00:01:29] 共同建设的重点高效是非常牛的
[00:01:29 - 00:01:32] 接下来我们来聊一聊学科建设方面
[00:01:32 - 00:01:36] 上科大拥有博士学位授与权的一级学科有7个
[00:01:36 - 00:01:38] 二级学科的是33个
[00:01:38 - 00:01:40] 博士后科研流通战3个
[00:01:40 - 00:01:43] 硕士学位授与权的一级学科是21个
[00:01:43 - 00:01:45] 二级学科的是91个
[00:01:45 - 00:01:48] 硕士专业学位授与权类别是13个
[00:01:48 - 00:01:49] 本科专业63个
[00:01:49 - 00:01:52] 涉及到工学理学管理学文学经济学法学
[00:01:52 - 00:01:56] 医学艺术学教育学农学等10大学科们类
[00:01:56 - 00:01:59] 材料科学、化学、工程学三个学科
[00:01:59 - 00:02:02] 位列ESI全球排名前1%
[00:02:02 - 00:02:07] 其中材料科学学科进入到全球排名前1,000分之5
[00:02:07 - 00:02:09] 迈入到国际一流学科行列
[00:02:09 - 00:02:12] 在教育部第四轮学科评估当中
[00:02:12 - 00:02:15] 有九个学科进入到B类和C类学科
[00:02:15 - 00:02:19] 且亲工技术与工程学科排名全国并列前三
[00:02:19 - 00:02:24] 37个本科专业入选国家级省级一流专业建设点
[00:02:24 - 00:02:27] 13日以来陕科大获得国家技术发明二等奖一项
[00:02:27 - 00:02:30] 国家科技进步二等奖两项
[00:02:30 - 00:02:34] 核良核力基金科学与技术创新奖一项
[00:02:34 - 00:02:38] 教育部高等学校科学技术一等奖一项
[00:02:38 - 00:02:40] 陕西省科学技术一等奖八项
[00:02:40 - 00:02:45] 陕西省哲学社会科学优秀成果一等奖一项
[00:02:45 - 00:02:50] 中国清工业联合会科学技术一等奖十一项
[00:02:50 - 00:02:56] 连续9年位居全国高校有效发明专利拥有量排名前50
[00:02:56 - 00:02:58] 陕西省署高校第一位
[00:02:58 - 00:03:02] 进入最新中国高校专利转让榜单20强
[00:03:02 - 00:03:07] 成为国家80所知识产权试点示范高校之一
