BV号：BV1Kd4y1X7DV
标题：BV1Kd4y1X7DV
链接：https://www.bilibili.com/video/BV1Kd4y1X7DV
识别语言：zh
语言置信度：1
分段数：42
生成时间：2026-04-03 17:42:49

[00:00:00 - 00:00:01] 所以说的话你要学会这种叫
[00:00:01 - 00:00:02] 举一反三
[00:00:02 - 00:00:03] 大家想一想
[00:00:03 - 00:00:06] 这些大学除了这种它名字
[00:00:06 - 00:00:08] 告诉你的专业比较好以外
[00:00:08 - 00:00:09] 还有什么专业会比较好
[00:00:09 - 00:00:12] 某某才经大学什么样的专业
[00:00:12 - 00:00:14] 除了财经内还有什么比较好呢
[00:00:14 - 00:00:15] 比如说一外语类
[00:00:15 - 00:00:16] 商务英语
[00:00:16 - 00:00:18] 商务日语
[00:00:18 - 00:00:19] 商务法语
[00:00:19 - 00:00:20] 这都是有课点的方向
[00:00:20 - 00:00:23] 它的数学统计类专业是值得考的
[00:00:23 - 00:00:24] 然后第三
[00:00:24 - 00:00:25] 法学专业
[00:00:25 - 00:00:26] 因为它是财经大学
[00:00:26 - 00:00:27] 所以说它的法主
[00:00:27 - 00:00:29] 是在民商法、经济法、国际法
[00:00:29 - 00:00:31] 外国语大学的话一般情况下
[00:00:31 - 00:00:34] 除了外语类专业比较好以外的话
[00:00:34 - 00:00:35] 那什么专业还不错呀
[00:00:35 - 00:00:36] 首先第一
[00:00:36 - 00:00:38] 它的中文专业一定不错
[00:00:38 - 00:00:40] 翻译这个东西太需要为学工笔了
[00:00:40 - 00:00:41] 不同翻译者
[00:00:41 - 00:00:43] 译出来的同一篇汉北特
[00:00:43 - 00:00:45] 你读起来感觉它就不一样
[00:00:45 - 00:00:46] 然后第二种
[00:00:46 - 00:00:47] 外交学
[00:00:47 - 00:00:47] 比如像北外
[00:00:47 - 00:00:49] 北京外国语大学叫做
[00:00:49 - 00:00:51] 中国外交家的油蓝
[00:00:51 - 00:00:51] 三
[00:00:51 - 00:00:54] 国际新闻方向
[00:00:54 - 00:00:56] 它的新人学都是国际新人
[00:00:56 - 00:00:56] 四
[00:00:56 - 00:00:58] 它的金融一定是什么
[00:00:58 - 00:01:02] 叫國際體一個名字叫做有特點的學校
[00:01:02 - 00:01:04] 你要去學會判斷
[00:01:04 - 00:01:06] 它大概什麼尊業會比較好
[00:01:06 - 00:01:08] 跟這張老師多學習多了解
