BV号：BV1TKASz5ECa
标题：BV1TKASz5ECa
链接：https://www.bilibili.com/video/BV1TKASz5ECa
识别语言：zh
语言置信度：1
分段数：98
生成时间：2026-04-03 00:12:24

[00:00:00 - 00:00:01] 都加上会有这样的一个想法
[00:00:01 - 00:00:02] 说张老师我这个
[00:00:02 - 00:00:03] 我考高分的怎么样
[00:00:03 - 00:00:04] 我考低分的怎么样
[00:00:04 - 00:00:05] 加上是这样子
[00:00:05 - 00:00:07] 如果你学的是一一学
[00:00:07 - 00:00:09] 或者说如果你学的是文科
[00:00:09 - 00:00:10] 你说老师我这么去考虑
[00:00:10 - 00:00:11] 我有行可愿
[00:00:11 - 00:00:12] 为什么呢
[00:00:12 - 00:00:13] 因为很多孩子是这样子的
[00:00:13 - 00:00:15] 说张老师我学一
[00:00:15 - 00:00:17] 我是希望到哪个那个城市去就业的
[00:00:17 - 00:00:17] 然后的话呢
[00:00:17 - 00:00:18] 大家也都知道
[00:00:18 - 00:00:19] 一学这种专业
[00:00:19 - 00:00:20] 它有非常强的具位地域性
[00:00:20 - 00:00:22] 如果说我到这个高分队
[00:00:22 - 00:00:23] 我能到这个省份
[00:00:23 - 00:00:25] 最好的一科大学去学
[00:00:25 - 00:00:26] 那我就学一
[00:00:26 - 00:00:27] 但是如果说我分
[00:00:27 - 00:00:27] 我到不了那么高
[00:00:27 - 00:00:29] 但是我还想到那个省去就业
[00:00:29 - 00:00:31] 那我肯定就会放弃一学学别的专业
[00:00:31 - 00:00:33] 这个我是可以理解的
[00:00:33 - 00:00:34] 然后再比如说以前文科
[00:00:34 - 00:00:36] 文科说赵老师我们家孩子是这样子的
[00:00:36 - 00:00:38] 他文科专业也有绝位地域性
[00:00:38 - 00:00:39] 说赵老师我现在
[00:00:39 - 00:00:41] 如果说我的分数到了江州户
[00:00:41 - 00:00:43] 老师我这分如果我能出省
[00:00:43 - 00:00:45] 比如说河北我想去江州户发乃
[00:00:45 - 00:00:46] 我的分如果到了江州户的话
[00:00:46 - 00:00:47] 那我去
[00:00:47 - 00:00:49] 如果分我的分到不了江州户的话
[00:00:49 - 00:00:51] 那我还不如在河北上的河北大学
[00:00:51 - 00:00:51] 河北大学的法学
[00:00:51 - 00:00:54] 在咱们河北省绝对是最牛的那一种
[00:00:54 - 00:00:56] 老师那我如果我的分能到江州户
[00:00:56 - 00:00:56] 还比较好的学校
[00:00:59 - 00:01:01] 如果说我到不了这两个方式
[00:01:01 - 00:01:01] 这两个才进的话
[00:01:01 - 00:01:03] 我可能就选个别的
[00:01:03 - 00:01:04] 或者说怎么样的
[00:01:04 - 00:01:05] 就是如果说你是
[00:01:05 - 00:01:06] 这种情况的话
[00:01:06 - 00:01:07] 我倒可以理解
[00:01:07 - 00:01:08] 但是加上你是要学理工科
[00:01:08 - 00:01:10] 你要学理工科
[00:01:10 - 00:01:10] 跟你的分
[00:01:10 - 00:01:12] 说到说我考高分考低分
[00:01:12 - 00:01:15] 我个人觉得是没有什么特别大关系的
[00:01:15 - 00:01:16] 我给你举个简单例子
[00:01:16 - 00:01:16] 比如加长
[00:01:16 - 00:01:18] 你这次语言发挥的好不好
[00:01:18 - 00:01:20] 跟你能不能学明白工科有什么关系吗
[00:01:20 - 00:01:21] 你物理发挥的好不好
[00:01:21 - 00:01:23] 跟你学计算机能不能学好
[00:01:23 - 00:01:23] 有关系吗
[00:01:23 - 00:01:25] 你化学发挥好不好
[00:01:25 - 00:01:26] 跟你学计算机学的好不好
[00:01:26 - 00:01:27] 有关系吗
[00:01:27 - 00:01:28] 没有别人联系
[00:01:28 - 00:01:31] 那没有必然联系 你为什么要把它做为主要考虑因素呢
[00:01:31 - 00:01:33] 说到说我601我就选成了
[00:01:33 - 00:01:35] 509我就选另外一个专业了
[00:01:35 - 00:01:36] 那怎么的 你601的时候
[00:01:36 - 00:01:38] 你601的时候物理化学
[00:01:38 - 00:01:41] 多考了几十分或少考几十分
[00:01:41 - 00:01:42] 跟你学好 能不能学好计算机
[00:01:42 - 00:01:44] 没有必然联系加点 你能明白吗
[00:01:44 - 00:01:46] 你刚才说的计算机和自动化
[00:01:46 - 00:01:48] 你真以为自动化和计算机在同一个学校
[00:01:48 - 00:01:51] 它分数限差距很大吗
[00:01:51 - 00:01:53] 没有你想象的那么大加的
[00:01:53 - 00:01:55] 如果说张老师 我现在是什么情况
[00:01:55 - 00:01:58] 老师我现在是计算机和你清工再选
[00:01:58 - 00:02:00] 计算机和清工力专业确实同一个学校
[00:02:00 - 00:02:01] 通通插出四五十分来
[00:02:01 - 00:02:02] 你说老师我为了上个学校
[00:02:02 - 00:02:04] 我可能把专业给换掉了
[00:02:04 - 00:02:05] 你说老师我现在
[00:02:05 - 00:02:08] 如果说老师我计算机上不了特别好的学校
[00:02:08 - 00:02:09] 我换一个自动化
[00:02:09 - 00:02:11] 你换个自动化就能上更好的学校吗
[00:02:11 - 00:02:12] 不是的
[00:02:12 - 00:02:14] 如果说你说老师我换个清工类
[00:02:14 - 00:02:15] 你就能上个更好的学校
[00:02:15 - 00:02:17] 老师我上同
[00:02:17 - 00:02:18] 你就可以上个更好的学校
[00:02:18 - 00:02:20] 但是你说老师我计算机有换自动化
[00:02:20 - 00:02:21] 我计算机没上更好的学校
[00:02:21 - 00:02:23] 我自动化就能上更好的学校吗
[00:02:23 - 00:02:23] 没有
[00:02:23 - 00:02:25] 因为这两个专业同一个曲头
[00:02:25 - 00:02:26] 分属性差距没有那么大
[00:02:26 - 00:02:27] 你逼解我的意思了吗
