BV号：BV1LQD8Y7Efa
标题：BV1LQD8Y7Efa
链接：https://www.bilibili.com/video/BV1LQD8Y7Efa
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 07:44:02

[00:00:00 - 00:00:01] 然后我现在有一个问题
[00:00:01 - 00:00:03] 就是说您老提那个新功科
[00:00:03 - 00:00:04] 能给解释解释吗
[00:00:04 - 00:00:05] 加长师这样子
[00:00:05 - 00:00:09] 我们国家现在从本科专业的发展来讲的话
[00:00:09 - 00:00:10] 提出了四新
[00:00:10 - 00:00:12] 叫做所谓的就是新能科
[00:00:12 - 00:00:13] 新医科
[00:00:13 - 00:00:13] 新功科
[00:00:13 - 00:00:14] 新文科
[00:00:14 - 00:00:15] 其实在这个新
[00:00:15 - 00:00:16] 新在哪里
[00:00:16 - 00:00:18] 其实新在了交叉
[00:00:18 - 00:00:19] 其实新是新在了交叉
[00:00:19 - 00:00:21] 比如说我新文科
[00:00:21 - 00:00:22] 新文科的话指的就是
[00:00:22 - 00:00:24] 我这个文科和文科之间
[00:00:24 - 00:00:25] 或者是文科和理科之间
[00:00:25 - 00:00:26] 要有这样的交叉性
[00:00:26 - 00:00:27] 然后的话
[00:00:27 - 00:00:28] 我们所谓的新功科也是
[00:00:28 - 00:00:30] 就是专业和专业之间的交叉性
[00:00:30 - 00:00:32] 原来的话就是专业和专业之间
[00:00:32 - 00:00:33] 它是独立的
[00:00:33 - 00:00:35] 比如说原来我说机械就是机械
[00:00:35 - 00:00:36] 电的信息就是电的信息
[00:00:36 - 00:00:37] 但是现在我们的新功课者
[00:00:37 - 00:00:39] 是机械也有电的信息
[00:00:39 - 00:00:40] 这方面的专业知识
[00:00:40 - 00:00:42] 因为现在机械都是信息化
[00:00:42 - 00:00:44] 软件化 智能化 自动化
[00:00:44 - 00:00:46] 这么一个倾向
[00:00:46 - 00:00:47] 所以说原来我在学机械的时候
[00:00:47 - 00:00:50] 我可能只学的是理论力材料力
[00:00:50 - 00:00:51] 机械原理 机械设计
[00:00:51 - 00:00:53] 但是现在的机械可能我除了学
[00:00:53 - 00:00:55] 理论力材料力 机械原理 机械设计以外
[00:00:55 - 00:00:56] 我可能还有学计算机
[00:00:56 - 00:00:57] 我可能还有学算法
[00:00:57 - 00:01:00] 我可能还有学通信等等这样的专业课
[00:01:00 - 00:01:01] 所以说的话就相当于
[00:01:01 - 00:01:04] 一就是让学生在这个专业的学习基础史上
[00:01:04 - 00:01:08] 有这个专业的新的发展方向的一些知识的学习
[00:01:08 - 00:01:10] 第二就是所谓的
[00:01:10 - 00:01:11] 就是这个专业的同学
[00:01:11 - 00:01:12] 他的专业面会宽
[00:01:12 - 00:01:15] 那他将来如果说有这样自己的
[00:01:15 - 00:01:16] 就比如说我学
[00:01:16 - 00:01:17] 虽然我是学机械的
[00:01:17 - 00:01:19] 但是我算法学的很好
[00:01:19 - 00:01:20] 那我将来我去转算法稿
[00:01:20 - 00:01:22] 或者说我去转信息稿
[00:01:22 - 00:01:23] 也是能转的
[00:01:23 - 00:01:24] 所以说他其实这个心
[00:01:24 - 00:01:26] 现在指的就是一个交叉性
