BV号：BV1Zb411X7eZ
标题：BV1Zb411X7eZ
链接：https://www.bilibili.com/video/BV1Zb411X7eZ
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 16:09:04

[00:00:00 - 00:00:01] 我给大家举个例子
[00:00:01 - 00:00:02] 像我们去年爆炙
[00:00:02 - 00:00:04] 我遇到过比较崩溃的时候什么呢
[00:00:04 - 00:00:06] 就是家长天天换方向
[00:00:06 - 00:00:09] 家长天天换方向
[00:00:09 - 00:00:10] 第一天张老师
[00:00:10 - 00:00:11] 我们家孩子要当老师
[00:00:11 - 00:00:13] 我说好 没有问题
[00:00:13 - 00:00:15] 我们的老师按照当老师那个版本
[00:00:15 - 00:00:16] 给他爆了一百支院
[00:00:16 - 00:00:18] 第二天张老师
[00:00:18 - 00:00:20] 我们家孩子又不想当老师了
[00:00:20 - 00:00:21] 要当公务员
[00:00:21 - 00:00:23] 好 要给他按照公务员的版本
[00:00:23 - 00:00:24] 又给他爆了一百支院
[00:00:24 - 00:00:26] 第三天又回来了
[00:00:26 - 00:00:28] 说张老师我们家要充名校
[00:00:28 - 00:00:29] 专业无所谓了
[00:00:29 - 00:00:29] 我说你确定吗
[00:00:29 - 00:00:30] 确定
[00:00:30 - 00:00:31] 来吧
[00:00:31 - 00:00:32] 冲铃效果
[00:00:32 - 00:00:33] 第四天冲铃效果
[00:00:33 - 00:00:34] 第五天
[00:00:34 - 00:00:35] 又换方向了
[00:00:35 - 00:00:38] 这个时候要学计算移电的信息了
[00:00:38 - 00:00:39] 然后又按计算移电的信息
[00:00:39 - 00:00:40] 又给它报了100分
[00:00:40 - 00:00:41] 在最后的时候
[00:00:41 - 00:00:41] 张老师
[00:00:41 - 00:00:43] 你把这四个版本给我综合一下
[00:00:43 - 00:00:44] 那好
[00:00:44 - 00:00:45] 四个版本综合一下
[00:00:45 - 00:00:47] 我到底把哪个给你放前面
[00:00:47 - 00:00:49] 我最怕的就是这样
[00:00:49 - 00:00:51] 我最怕的就是这样
[00:00:51 - 00:00:53] 一会的一个变
[00:00:53 - 00:00:54] 一会的一个变
[00:00:54 - 00:00:55] 知道吧
[00:00:55 - 00:00:58] 这还不是最可怕的
[00:00:58 - 00:01:00] 你就都最可怕的是什么吗
