BV号：BV1q4o1Y3Eo1
标题：BV1q4o1Y3Eo1
链接：https://www.bilibili.com/video/BV1q4o1Y3Eo1
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 05:31:45

[00:00:00 - 00:00:02] 我是河南的男生
[00:00:02 - 00:00:03] 高四岸物化生
[00:00:04 - 00:00:07] 上一次巴士林考考了645
[00:00:07 - 00:00:10] 一般都是在640到680
[00:00:10 - 00:00:11] 字兼上次的位置
[00:00:11 - 00:00:13] 大概就是6958
[00:00:13 - 00:00:14] 7000位左右
[00:00:15 - 00:00:16] 然后就是这个孩子
[00:00:16 - 00:00:17] 他也问他了
[00:00:17 - 00:00:19] 就是说他不学医
[00:00:19 - 00:00:19] 不学农
[00:00:19 - 00:00:21] 其他的也没有什么
[00:00:21 - 00:00:23] 太明确的方向
[00:00:23 - 00:00:25] 他老师说
[00:00:25 - 00:00:27] 他在数学方面跟物理方面
[00:00:27 - 00:00:28] 除了马虎以外
[00:00:28 - 00:00:31] 他这个思维可能就是比着那种顶尖的孩子
[00:00:31 - 00:00:33] 稍微有一点的差距
[00:00:33 - 00:00:35] 就是有时候包括那个最后一道大题
[00:00:35 - 00:00:38] 那个有难度的他那个思维打不开
[00:00:38 - 00:00:39] 家长我这么说
[00:00:39 - 00:00:42] 就是我觉得这个老师说的这句话
[00:00:42 - 00:00:44] 跟你选专业关系不大
[00:00:44 - 00:00:46] 我个人觉得跟你选专业关系不大
[00:00:46 - 00:00:46] 为什么
[00:00:46 - 00:00:47] 家长他是考虑到什么
[00:00:47 - 00:00:49] 叫做平台
[00:00:49 - 00:00:51] 你不是说我在一个平台
[00:00:51 - 00:00:53] 我在所谓的顶尖我就
[00:00:53 - 00:00:54] 我就怎么怎么样
[00:00:54 - 00:00:54] 不是这个样子的
[00:00:54 - 00:00:56] 家长你要知道任何行业
[00:00:56 - 00:00:58] 他都有一个行业平台大小的问题
[00:00:58 - 00:00:59] 有的行业
[00:00:59 - 00:01:01] 你家孩子的分已经足够高的家长
[00:01:01 - 00:01:03] 虽然不是套捧
[00:01:03 - 00:01:04] 但是咱这么说
[00:01:04 - 00:01:06] 就是虽然不是荣耀王者
[00:01:06 - 00:01:07] 但也是个王者了
[00:01:07 - 00:01:08] 虽然不是最顶尖的
[00:01:08 - 00:01:09] 但其实也还不错了
[00:01:09 - 00:01:11] 虽然说拿不了第一第二第三
[00:01:11 - 00:01:12] 但是我进前拔进决赛
[00:01:12 - 00:01:13] 应该是没有问题的
[00:01:13 - 00:01:14] 所以说的话
[00:01:14 - 00:01:15] 就是有的行业领域
[00:01:15 - 00:01:16] 他平台大
[00:01:16 - 00:01:18] 你即使不是顶尖
[00:01:18 - 00:01:20] 你一个也可以混得很好
[00:01:20 - 00:01:22] 但是有的行业平台小
[00:01:22 - 00:01:23] 你就算是顶尖
[00:01:23 - 00:01:24] 你可能混的也不咋地
[00:01:24 - 00:01:25] 你懂我的意思吗
[00:01:25 - 00:01:26] 哦
[00:01:26 - 00:01:28] 所以说你不要因为老师一句话说
[00:01:28 - 00:01:29] 张老师说的说
[00:01:29 - 00:01:31] 他数学物理他不是顶尖思维
[00:01:31 - 00:01:34] 就代表的他的其他领域一定是顶尖思维
[00:01:34 - 00:01:36] 看什么看这个孩子对于这个学科
[00:01:36 - 00:01:37] 对于这个专业的喜好
[00:01:37 - 00:01:40] 看孩子对于他未来的就业的一个期待
[00:01:40 - 00:01:41] 是这样子
[00:01:41 - 00:01:42] 你不要到最后因为老师一句话
[00:01:42 - 00:01:44] 你就说老师那他数学物理不是顶尖
[00:01:44 - 00:01:45] 我让他选华学生物吧
[00:01:45 - 00:01:47] 你这个思维思路也是不对的
