BV号：BV1rx4y1X7Kb
标题：BV1rx4y1X7Kb
链接：https://www.bilibili.com/video/BV1rx4y1X7Kb
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 14:11:41

[00:00:00 - 00:00:02] 就是当我们人在做选择的时候
[00:00:02 - 00:00:03] 一种叫做
[00:00:03 - 00:00:04] I want
[00:00:04 - 00:00:05] 一种叫做
[00:00:05 - 00:00:06] I have to
[00:00:06 - 00:00:09] 一个是我发自内心的
[00:00:09 - 00:00:10] 我想改
[00:00:10 - 00:00:11] 我想去做
[00:00:11 - 00:00:12] 还有一种是
[00:00:12 - 00:00:14] 如果到一定程度不行的话
[00:00:14 - 00:00:15] 我不得不去
[00:00:15 - 00:00:17] 我跟你说像后面这种人
[00:00:17 - 00:00:19] 一般都是会失败的
[00:00:19 - 00:00:23] 因为他内心并不像
[00:00:23 - 00:00:25] 他内心是反感的
[00:00:25 - 00:00:29] 如果说孩子自己没有主动说
[00:00:29 - 00:00:30] 所谓的有
[00:00:30 - 00:00:32] 就是说我要考验啊这种
[00:00:32 - 00:00:34] 如果没有这种主动的
[00:00:34 - 00:00:36] 你就不要给他报那种必须考验
[00:00:36 - 00:00:37] 才能好久变得可以
[00:00:37 - 00:00:37] 知道吧
[00:00:37 - 00:00:39] 你如果说他
[00:00:39 - 00:00:41] 他现在内心的是不得不
[00:00:41 - 00:00:42] 你就就是他肯定做不成
[00:00:43 - 00:00:43] 好吧
[00:00:43 - 00:00:44] 真的就是不得不
[00:00:44 - 00:00:47] 就是当你去被逼着做一个事的时候
[00:00:47 - 00:00:48] 你大概率是
[00:00:50 - 00:00:52] 你内趋利
[00:00:53 - 00:00:54] 内趋利是不够的
