BV号：BV1t24y147mJ
标题：BV1t24y147mJ
链接：https://www.bilibili.com/video/BV1t24y147mJ
识别语言：zh
语言置信度：1
分段数：41
生成时间：2026-04-03 15:56:05

[00:00:00 - 00:00:04] 因為我們國家在很多內容上跟國外是有差距的
[00:00:04 - 00:00:05] 大家移動正式這個差距
[00:00:05 - 00:00:06] 我給你舉個簡單例子
[00:00:06 - 00:00:07] 國外的大學發展多少年了
[00:00:07 - 00:00:09] 我們的大學才發展多少年
[00:00:09 - 00:00:11] 就是我們生學考試恢復以後到現在
[00:00:11 - 00:00:13] 也就是40多年的歷史
[00:00:13 - 00:00:15] 你讓我們用40多年的歷史去年
[00:00:15 - 00:00:18] 國外大學140多年的歷史
[00:00:18 - 00:00:19] 你覺得可能性大嗎
[00:00:19 - 00:00:21] 咱不也得慢慢黏嗎
[00:00:21 - 00:00:22] 對不對
[00:00:22 - 00:00:23] 所以說我們在很多領域上
[00:00:23 - 00:00:25] 我們要向國外去學習
[00:00:25 - 00:00:27] 那我們向國外學習的工具是什麼
[00:00:27 - 00:00:28] 當然是語言
[00:00:28 - 00:00:29] 專業你學的再好
[00:00:29 - 00:00:31] 你自己在国内再怎么搞研究
[00:00:31 - 00:00:32] 那就要闭门造车
[00:00:32 - 00:00:36] 所以说一定要用国外的一些先进的技术
[00:00:36 - 00:00:37] 来给我们一些启发
[00:00:37 - 00:00:39] 让我们能够发展得更好
[00:00:39 - 00:00:40] 我要来给大家讲过
[00:00:40 - 00:00:41] 我特别喜欢的一个美剧
[00:00:41 - 00:00:43] 叫莎茲伊夫里边有一句话
[00:00:43 - 00:00:45] 叫Language Information
[00:00:45 - 00:00:46] Information is everything
[00:00:46 - 00:00:47] 如果说你英语不好的话
[00:00:47 - 00:00:49] 你去获取信息
[00:00:49 - 00:00:52] 都是获取变成翻译过来的二手信息
[00:00:52 - 00:00:53] 你理解的一定无偏差
[00:00:53 - 00:00:56] 因为翻译者会在翻译共产党当中夹在私货
[00:00:56 - 00:00:58] 但是如果说你英语比较好
[00:00:58 - 00:00:59] 你能获得一手信息的话
[00:00:59 - 00:01:01] 你獲取的信息渠道
[00:01:01 - 00:01:02] 更慢慢你就比別人快
[00:01:02 - 00:01:04] 所以說英語是一個很好的工具
[00:01:04 - 00:01:06] 它不是說你英語學好了
[00:01:06 - 00:01:06] 人就怎麼樣
[00:01:06 - 00:01:09] 而是說你獲取信息的渠道
[00:01:09 - 00:01:11] 和直接程度不一樣
