BV号：BV1P4421f7QR
标题：BV1P4421f7QR
链接：https://www.bilibili.com/video/BV1P4421f7QR
识别语言：zh
语言置信度：1
分段数：114
生成时间：2026-04-03 09:01:54

[00:00:00 - 00:00:03] 就是物理還有數學這樣的方面都能報嗎
[00:00:03 - 00:00:04] 對 都可以啊
[00:00:04 - 00:00:05] 比如說你像新功課
[00:00:05 - 00:00:06] 比如像電子信息
[00:00:06 - 00:00:07] 自動化
[00:00:07 - 00:00:08] 儀器科學與技術
[00:00:08 - 00:00:09] 然後的話
[00:00:09 - 00:00:10] 生物醫學工程
[00:00:10 - 00:00:12] 然後包括像機械這種專業
[00:00:12 - 00:00:13] 我覺得你都能學啊
[00:00:13 - 00:00:14] 包括像一些垂直類的
[00:00:14 - 00:00:15] 比如像冰器類
[00:00:15 - 00:00:16] 比如核工程類
[00:00:16 - 00:00:17] 都可以啊
[00:00:17 - 00:00:19] 那具體就是
[00:00:19 - 00:00:20] 這麼多專業
[00:00:20 - 00:00:20] 都可以
[00:00:20 - 00:00:21] 怎麼學
[00:00:21 - 00:00:23] 他們其實是相關相近的工學
[00:00:23 - 00:00:25] 他們現在深度交叉融合度特別高
[00:00:25 - 00:00:27] 因為他們都是專業
[00:00:27 - 00:00:28] 來我們直播間了解的
[00:00:28 - 00:00:30] 就是在产业里面干的朋友
[00:00:30 - 00:00:31] 家长可能不太了解
[00:00:31 - 00:00:33] 在产业里面干的朋友是不是这样
[00:00:33 - 00:00:34] 就是这些专业
[00:00:34 - 00:00:37] 它其实是干了一个共同的事情
[00:00:37 - 00:00:39] 就是人工智能行业
[00:00:39 - 00:00:40] 为制造业
[00:00:40 - 00:00:41] 为生产业富能
[00:00:41 - 00:00:42] 我给你举一个简单的例子
[00:00:42 - 00:00:43] 同学
[00:00:43 - 00:00:43] 你知不知道
[00:00:43 - 00:00:44] 杭州压缘会的时候
[00:00:44 - 00:00:46] 有一个东西特别的火
[00:00:46 - 00:00:47] 就是什么东西呢
[00:00:47 - 00:00:47] 一个狗
[00:00:47 - 00:00:49] 然后的话扔铁柄
[00:00:49 - 00:00:51] 然后一个运动员扔铁柄
[00:00:51 - 00:00:52] 扔个70米远
[00:00:52 - 00:00:53] 然后的话有一个机器狗
[00:00:53 - 00:00:54] 打打打打打打打打
[00:00:54 - 00:00:56] 然后机器狗就跑到那边去
[00:00:56 - 00:00:57] 然后那个裁判只需要把
[00:00:57 - 00:01:00] 那个铁饼上的狗的身上那个狗打打打打打回来了
[00:01:00 - 00:01:02] 要回到那个那个扔铁饼的那个运动员那
[00:01:03 - 00:01:04] 同学我就跟你这么说
[00:01:04 - 00:01:05] 就是这么一个机器狗
[00:01:05 - 00:01:06] 你想一想它需要什么软件
[00:01:07 - 00:01:08] 你最后它是一个
[00:01:08 - 00:01:08] 对呀
[00:01:08 - 00:01:09] 它是一个成型的产品
[00:01:09 - 00:01:10] 什么专业同学
[00:01:10 - 00:01:11] 它不是什么学科
[00:01:11 - 00:01:13] 你说的物理是什么学科
[00:01:13 - 00:01:14] 你想这么一个机器狗
[00:01:14 - 00:01:15] 首先你控制它
[00:01:15 - 00:01:16] 是不是需要软件去控制
[00:01:16 - 00:01:18] 这就是计算机了
[00:01:18 - 00:01:18] 对吧
[00:01:18 - 00:01:19] 然后你这么一个机器狗
[00:01:19 - 00:01:20] 它有没有芯片
[00:01:21 - 00:01:22] 同学你们有发现我们现在身边
[00:01:22 - 00:01:24] 越来越多的东西都在电子信息化
[00:01:24 - 00:01:25] 都在电子化
[00:01:25 - 00:01:27] 所有的东西都在有芯片
[00:01:27 - 00:01:28] 甚至我们现在买一个台灯
[00:01:28 - 00:01:30] 台灯里边都有芯片
[00:01:30 - 00:01:32] 我们现在可以用手机去控制台灯的开合关
[00:01:32 - 00:01:34] 我们不用说我去按一下那个台灯开
[00:01:34 - 00:01:36] 我按一下那个台灯关
[00:01:36 - 00:01:38] 我现在我通过手机我就能控制它
[00:01:38 - 00:01:39] 那我控制它的话
[00:01:39 - 00:01:39] 它是一个电子产品
[00:01:39 - 00:01:42] 电子产品一定会有芯片
[00:01:42 - 00:01:44] 然后我用手机去控制那个台灯
[00:01:44 - 00:01:46] 我用这个手机去控制那个机器锅往前走
[00:01:46 - 00:01:49] 涉及到我这个手机像那个机器锅发射信号
[00:01:49 - 00:01:50] 那这是什么
[00:01:50 - 00:01:51] 这是通信
[00:01:51 - 00:01:53] 然后我要控制控制叫什么
[00:01:53 - 00:01:54] 控制叫自动化
[00:01:54 - 00:01:57] 然后这个机器果身上一定有一些感知的仪器
[00:01:57 - 00:01:59] 小镰件这个叫仪器
[00:01:59 - 00:02:01] 然后的话这个机器果身上它一定会有电
[00:02:01 - 00:02:02] 你别管用电池也好
[00:02:02 - 00:02:03] 还是用什么样也好
[00:02:03 - 00:02:05] 它一定有相应的弱电
[00:02:05 - 00:02:05] 这个弱电是什么
[00:02:05 - 00:02:07] 这个弱电是便器
[00:02:07 - 00:02:08] 所以说同学你要知道
[00:02:08 - 00:02:11] 现在专业和专业之间没有那么所谓的独立
[00:02:11 - 00:02:15] 它是大家共同把一个域
[00:02:15 - 00:02:17] 就是共同去创造出一个产品
[00:02:17 - 00:02:18] 这个产品具需要接触机
[00:02:18 - 00:02:19] 又需要电的信息
[00:02:19 - 00:02:20] 又需要自动化
[00:02:20 - 00:02:21] 又需要仪器
[00:02:21 - 00:02:22] 又需要电器
[00:02:22 - 00:02:23] 听明白了吗
[00:02:23 - 00:02:25] 所以说你说老师我具体我学哪个专业
[00:02:25 - 00:02:26] 我个人觉得不重要
[00:02:26 - 00:02:29] 而是你在哪一个专业学习
[00:02:29 - 00:02:31] 你未来进入到人工智能领域里边
[00:02:31 - 00:02:32] 都是能进去的
[00:02:32 - 00:02:33] 来我们直播间的家长
[00:02:33 - 00:02:35] 如果你在人工智能产业干的话
[00:02:35 - 00:02:36] 老张讲的对不对
[00:02:36 - 00:02:38] 你学你学这些专业
[00:02:38 - 00:02:40] 你都可以为人工智能这个领域
[00:02:40 - 00:02:43] 都可以为这个产业的信息化
[00:02:43 - 00:02:46] 数字化智能化去负能
[00:02:46 - 00:02:47] 所以说你学哪个
[00:02:47 - 00:02:48] 我个人觉得都是可以接受
