BV号：BV1ch411U74Y
标题：BV1ch411U74Y
链接：https://www.bilibili.com/video/BV1ch411U74Y
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-04 00:26:50

[00:00:00 - 00:00:05] 上一期咱們說了花了兩個月才到的大學報道
[00:00:05 - 00:00:08] 土匪都被他們震撼的大學員拆出來了嗎
[00:00:08 - 00:00:10] 這個大學可就牛了
[00:00:10 - 00:00:15] 它是在1937年與長沙、清華大學、北京大學和南開大學聯合成立的大學
[00:00:15 - 00:00:16] 原名叫做長沙聯合大學
[00:00:16 - 00:00:21] 後來轉移到昆明改名為國立西南聯合大學
[00:00:21 - 00:00:24] 想想清華北大單林出來
[00:00:24 - 00:00:25] 那都是一個重量級別了
[00:00:25 - 00:00:27] 更別提這三個一起
[00:00:27 - 00:00:32] 不過當時這三所大學可沒時間忙著慶祝強強聯合
[00:00:32 - 00:00:33] 自己老家都快毀了
[00:00:33 - 00:00:36] 忙著脫家帶口重振旗鼓
[00:00:36 - 00:00:38] 本來在長沙已經都站穩腳跟了
[00:00:38 - 00:00:42] 沒想到戰火難言只能再次轉移到昆明
[00:00:42 - 00:00:44] 由於戰時內地交通困難
[00:00:44 - 00:00:47] 女同學和體弱的同學由越漢鐵路到廣州
[00:00:47 - 00:00:49] 經香港越南進入昆明
[00:00:49 - 00:00:51] 而一部分同學
[00:00:51 - 00:00:55] 沿香貴公路到桂林經過柳州南寧越南進入昆明
[00:00:55 - 00:00:57] 而另外一部分同學就厲害了
[00:00:57 - 00:01:01] 組織了二百餘人的鄉秦甸旅行團
[00:01:01 - 00:01:03] 也就是張老師一開始說到那樣
[00:01:03 - 00:01:05] 那群走路上大學的人
[00:01:05 - 00:01:08] 形成3200多里
[00:01:08 - 00:01:09] 歷時68天
[00:01:09 - 00:01:12] 橫穿了湖南、貴州、雲南三省
[00:01:12 - 00:01:15] 學校的很多領導、老師、校友
[00:01:15 - 00:01:18] 可能都是叫我的上號的歷史人物
[00:01:18 - 00:01:19] 但是說一個中文系的老師
[00:01:19 - 00:01:22] 就有朱子清、文一多、胡適等等
[00:01:22 - 00:01:25] 這樣的大學是不是讓大家心動了
[00:01:25 - 00:01:27] 不過你們是沒機會了
[00:01:27 - 00:01:29] 這一所大學只存在了8年
[00:01:29 - 00:01:31] 戰後北京大學、清華大學、南開大學
[00:01:31 - 00:01:32] 遷回了原址
[00:01:32 - 00:01:35] 師範學院留在了昆明獨立設置
[00:01:35 - 00:01:38] 改名為國立昆明師範學院
[00:01:38 - 00:01:42] 1984年昆明師範學院更名為雲南師範大學
[00:01:42 - 00:01:43] 魯迅說過
[00:01:43 - 00:01:46] 當時雖然他在歷史上僅僅存在了8年
[00:01:46 - 00:01:48] 但後來的80年裡
[00:01:48 - 00:01:51] 不斷有人無限流連的提起他
[00:01:51 - 00:01:54] 因為再也沒有一所大學能夠超越他了
[00:01:54 - 00:01:55] 那麼問題來了
[00:01:55 - 00:01:57] 如果你想往南方發展
[00:01:57 - 00:01:59] 或者是報考比較窩裡哼的大學
[00:01:59 - 00:02:02] 雲南生發大學會不會是你比較好的選擇呢
[00:02:02 - 00:02:03] 就算它不是雙一流
[00:02:03 - 00:02:04] 不是RU985
[00:02:04 - 00:02:05] 但又怎樣
[00:02:05 - 00:02:07] 歷史實力雄厚啊
[00:02:07 - 00:02:08] 怎麼樣
[00:02:08 - 00:02:10] 今天的院校選擇小技巧
[00:02:10 - 00:02:11] 你改得到了嗎
[00:02:11 - 00:02:12] 妥妥的
