BV号：BV15Xq3YoEdm
标题：BV15Xq3YoEdm
链接：https://www.bilibili.com/video/BV15Xq3YoEdm
识别语言：zh
语言置信度：1
分段数：66
生成时间：2026-04-03 07:08:36

[00:00:00 - 00:00:01] 什么叫做调技
[00:00:01 - 00:00:03] 我给大家给大家讲一下调技啊
[00:00:03 - 00:00:04] 就是你在报约的时候
[00:00:04 - 00:00:06] 不是报院校专业组啊
[00:00:06 - 00:00:10] 如果说你的组内是不到六个专业
[00:00:10 - 00:00:11] 因为你每一个院校专业组
[00:00:11 - 00:00:13] 让你添六个专业
[00:00:13 - 00:00:16] 你组内的专业一共就不到六个专业
[00:00:16 - 00:00:18] 那你就肯定不会被调技
[00:00:19 - 00:00:20] 但是这里边我给大家讲
[00:00:20 - 00:00:21] 很多家人在报约的时候
[00:00:21 - 00:00:23] 特别有一个有意思的情况
[00:00:23 - 00:00:24] 叫眼耳盗灵
[00:00:24 - 00:00:26] 很多家人报约的时候眼耳盗灵
[00:00:26 - 00:00:27] 什么叫眼耳盗灵呢
[00:00:27 - 00:00:28] 很有意思啊
[00:00:28 - 00:00:31] 就是这个学校比如说中外合作办学
[00:00:31 - 00:00:32] 就三个专业
[00:00:32 - 00:00:34] 一个计算机
[00:00:34 - 00:00:35] 一个生物技术
[00:00:35 - 00:00:37] 一个食品科学工程
[00:00:37 - 00:00:39] 这三个专业肯定是在一个组
[00:00:39 - 00:00:40] 就在一个表里边
[00:00:40 - 00:00:42] 然后的话就是很多家人特别好玩
[00:00:42 - 00:00:43] 标准师
[00:00:43 - 00:00:44] 我报追
[00:00:44 - 00:00:45] 我就报计算机
[00:00:45 - 00:00:47] 另外两个我不添
[00:00:47 - 00:00:49] 你以为不添你就不录了吗
[00:00:49 - 00:00:51] 特别好玩你知道吧
[00:00:51 - 00:00:53] 那种专业组一共有大专业
[00:00:53 - 00:00:55] 然后那个家人只添一个自己最喜欢的
[00:00:55 - 00:00:56] 另外两个就不添了
[00:00:56 - 00:00:58] 然后后面添了一个胡同条计
[00:00:58 - 00:01:01] 你这个就是典型的眼耳道灵
[00:01:01 - 00:01:02] 包括有的学校
[00:01:02 - 00:01:03] 他四个专业
[00:01:03 - 00:01:04] 他四个专业
[00:01:04 - 00:01:07] 计算机电子信息自动化
[00:01:07 - 00:01:07] 统一
[00:01:07 - 00:01:09] 然后那个加上天资源表的时候
[00:01:09 - 00:01:11] 指天计算机电子信息自动化
[00:01:11 - 00:01:12] 统一就不填了
[00:01:12 - 00:01:14] 后面填了一个普通球技
[00:01:14 - 00:01:16] 你以为你不填
[00:01:16 - 00:01:17] 你以为你不填统一
[00:01:17 - 00:01:19] 你就不会被露到统一了吗
[00:01:19 - 00:01:20] 就完全没有意义的事
[00:01:20 - 00:01:22] 这就叫眼耳道灵
[00:01:22 - 00:01:22] 你知道吧
[00:01:22 - 00:01:23] 很多家人抱住院的时候
[00:01:23 - 00:01:24] 干这种事
[00:01:24 - 00:01:26] 是没有意义的
[00:01:26 - 00:01:26] 所以说
[00:01:26 - 00:01:29] 如果说你那个专业
[00:01:29 - 00:01:30] 你那个专业表里边
[00:01:30 - 00:01:32] 就是你那个专业组里边
[00:01:32 - 00:01:33] 他是不到6个专业的话
[00:01:33 - 00:01:35] 他不会出现调剂的情况
[00:01:35 - 00:01:37] 因为你报什么就是什么
[00:01:37 - 00:01:38] 因为他一共就不到6个专业
[00:01:38 - 00:01:40] 那什么情况下会被调剂呢
[00:01:40 - 00:01:42] 你报的这个组里边
[00:01:42 - 00:01:45] 专业数量超过6个
[00:01:45 - 00:01:48] 且你够了这个组的最低提挡线
[00:01:48 - 00:01:51] 还没被这6个专业录到就会被调剂
