BV号：BV1ar4y1h7K4
标题：BV1ar4y1h7K4
链接：https://www.bilibili.com/video/BV1ar4y1h7K4
识别语言：zh
语言置信度：1
分段数：16
生成时间：2026-04-03 20:33:05

[00:00:00 - 00:00:03] 我曾经讲过一个学校社会人学会人压分压到什么程度
[00:00:03 - 00:00:04] 社会人的学会以主观体为主
[00:00:04 - 00:00:06] 他妈在考灵粉
[00:00:08 - 00:00:10] 大概相当于什么概念各位同学
[00:00:10 - 00:00:11] 主观体为主
[00:00:11 - 00:00:13] 就你高考语人作文
[00:00:13 - 00:00:14] 你作说说说等满分不容易对的
[00:00:15 - 00:00:17] 可灵粉是不是比等满分还难
[00:00:18 - 00:00:19] 这也很难对吧
[00:00:19 - 00:00:21] 这人写了呀
[00:00:21 - 00:00:21] 对吧
[00:00:21 - 00:00:23] 你除非说你在悬门口苦莲花
[00:00:23 - 00:00:24] 对吧
[00:00:26 - 00:00:27] 老师你妈
[00:00:28 - 00:00:30] 你不那么写人家干嘛给你灵粉呢
[00:00:30 - 00:00:31] 对不对
