BV号：BV1db421i7Ho
标题：BV1db421i7Ho
链接：https://www.bilibili.com/video/BV1db421i7Ho
识别语言：zh
语言置信度：1
分段数：112
生成时间：2026-04-03 11:07:32

[00:00:00 - 00:00:01] 之前直播联邦的时候呢
[00:00:01 - 00:00:03] 我发现有一所学校
[00:00:03 - 00:00:04] 大家问的比较多
[00:00:04 - 00:00:05] 就是沈阳药科大学
[00:00:05 - 00:00:06] 说实话
[00:00:06 - 00:00:08] 我个人一直都非常认可沈耀
[00:00:08 - 00:00:09] 之前我也讲过
[00:00:09 - 00:00:11] 咱们国家叫药科大学的
[00:00:11 - 00:00:12] 满大满算
[00:00:12 - 00:00:13] 九三所
[00:00:13 - 00:00:14] 它就是齐律之一
[00:00:14 - 00:00:15] 而且呢
[00:00:15 - 00:00:16] 咱们同学经常挂在嘴边的
[00:00:16 - 00:00:18] 北药说的就是它
[00:00:18 - 00:00:20] 总之就是药实力有实力
[00:00:20 - 00:00:21] 药性价比呢
[00:00:21 - 00:00:22] 它也有性价比
[00:00:22 - 00:00:24] 所以说今天我给大家仔细的讲一讲
[00:00:24 - 00:00:24] 拿个小本本
[00:00:24 - 00:00:26] 咱们记好啊
[00:00:26 - 00:00:27] 不说别的
[00:00:27 - 00:00:28] 就光看半学的背景
[00:00:28 - 00:00:30] 就知道沈耀他不一般
[00:00:30 - 00:00:33] 他一九三一年就在江西瑞金建校了
[00:00:33 - 00:00:34] 后来呢
[00:00:34 - 00:00:35] 还跟着红军一块长征
[00:00:35 - 00:00:37] 可以说是跟踪苗红的
[00:00:37 - 00:00:38] 九十来年发展下来
[00:00:38 - 00:00:40] 沈耀整体的办学史力
[00:00:40 - 00:00:41] 那是有目共睹
[00:00:41 - 00:00:43] 在全国同历学校里头
[00:00:43 - 00:00:45] 那基本也是能排在前头的
[00:00:45 - 00:00:48] 学校到现在已经排养了五位院士
[00:00:48 - 00:00:49] 十位长江学者
[00:00:49 - 00:00:50] 二十四例结清
[00:00:50 - 00:00:53] 不管是搞科研还是办企业
[00:00:53 - 00:00:55] 在行业内任可度都很高
[00:00:55 - 00:00:56] 而且咱们正日八经说
[00:00:56 - 00:00:57] 一要这个行业
[00:00:57 - 00:00:59] 不管是放在啥时候
[00:00:59 - 00:01:00] 它都是刚需啊
[00:01:00 - 00:01:00] 未来呢
[00:01:00 - 00:01:02] 这所学校的发展前景
[00:01:02 - 00:01:03] 肯定是差不了
[00:01:03 - 00:01:04] 说心里话
[00:01:04 - 00:01:06] 沈耀这个学校一直都很低调
[00:01:06 - 00:01:08] 从来靠的都是硬实力
[00:01:08 - 00:01:09] 学科这一块
[00:01:09 - 00:01:12] 它的六个学科进入到ESI全球前1%
[00:01:12 - 00:01:14] 药理学与独立学呢
[00:01:14 - 00:01:16] 也是世界排名第46位
[00:01:16 - 00:01:19] 突破全球前万分之四的位置
[00:01:19 - 00:01:19] 专业这块
[00:01:19 - 00:01:20] 像什么
[00:01:20 - 00:01:21] 药物之计呀
[00:01:21 - 00:01:22] 临床药学呀
[00:01:22 - 00:01:23] 制药工程啊
[00:01:23 - 00:01:25] 药学中药学药室管理
[00:01:25 - 00:01:28] 反正但凡是跟要有关系的专业
[00:01:28 - 00:01:31] 基本上都是国家级的一流本科专业
[00:01:31 - 00:01:32] 除了要学这块王牌
[00:01:32 - 00:01:34] 它的环境科学 食品科学
[00:01:34 - 00:01:35] 应用化学这些功科专业
[00:01:35 - 00:01:38] 也都获得了辽宁省的官方认证
[00:01:38 - 00:01:39] 今年的招生专业里边
[00:01:39 - 00:01:42] 九成都是国家级省一级的一流专业
