BV号：BV1cu41137ib
标题：BV1cu41137ib
链接：https://www.bilibili.com/video/BV1cu41137ib
识别语言：zh
语言置信度：1
分段数：55
生成时间：2026-04-03 13:37:30

[00:00:00 - 00:00:02] 然后就是我现在还有一个问题就是
[00:00:02 - 00:00:05] 英语和语文上课的时候听的也是比较认真
[00:00:05 - 00:00:07] 但是你做起的时候就是做不明白
[00:00:07 - 00:00:08] 我问你个问题
[00:00:08 - 00:00:09] 我先说英语的问题
[00:00:09 - 00:00:11] 英语的问题误会就四个
[00:00:11 - 00:00:12] 单词语法的语法的语法是你写过
[00:00:12 - 00:00:13] 你觉得你是哪个问题
[00:00:13 - 00:00:15] 呃
[00:00:15 - 00:00:16] 我感觉
[00:00:16 - 00:00:18] 然后都多少有点问题
[00:00:18 - 00:00:20] 那你单词和语法的问题是你的基础没打了
[00:00:20 - 00:00:22] 如果是你的语法的问题的话
[00:00:22 - 00:00:23] 那就一定要去想一想
[00:00:23 - 00:00:26] 你当时选B答案给的是C
[00:00:26 - 00:00:28] 你想一想你当时为什么要选B
[00:00:28 - 00:00:30] 答案为什么是C
[00:00:30 - 00:00:30] 懂吗
[00:00:30 - 00:00:31] 我给你举个简单的例子
[00:00:31 - 00:00:33] 说张雪峰长得帅不帅
[00:00:33 - 00:00:35] A选项说张雪峰长得很为所
[00:00:35 - 00:00:37] 我觉得我还不知语
[00:00:37 - 00:00:38] 然后D选项说
[00:00:38 - 00:00:39] 张雪峰长得跟个女的似的
[00:00:39 - 00:00:41] 我觉得我也不知语
[00:00:41 - 00:00:41] 然后的话
[00:00:41 - 00:00:43] 特别的理解给你说了两个张雪峰的特点
[00:00:43 - 00:00:44] 第一个张雪峰特点是
[00:00:44 - 00:00:46] 张雪峰第一两长得特别的高
[00:00:46 - 00:00:49] 那么按照中国人对于帅的理解的话
[00:00:49 - 00:00:51] 可能高比良就相对比较帅
[00:00:51 - 00:00:52] 但是张雪峰的代言评
[00:00:52 - 00:00:53] 按照中国人的标准
[00:00:53 - 00:00:55] 代言评可能就不是那么很帅的
[00:00:55 - 00:00:57] 那为张雪峰长得怎么样
[00:00:57 - 00:00:59] A他长得很没所 明显不对 对吧
[00:00:59 - 00:01:02] B 张永康长得跟个女的似的 明显也不对
[00:01:02 - 00:01:05] 那么B他长得很帅 C他长得不帅
[00:01:05 - 00:01:06] 然后的话呢
[00:01:06 - 00:01:08] 那这个老师我应该不是B就是C 对吧
[00:01:08 - 00:01:09] 那我到底是B还是C呢
[00:01:09 - 00:01:10] 按照高比良才应该是B
[00:01:10 - 00:01:12] 按照大语篇才应该是C
[00:01:12 - 00:01:14] 老师我认为他帅 嘎巴我选B
[00:01:14 - 00:01:15] 结果答案给了C
[00:01:15 - 00:01:16] 你就知道了
[00:01:16 - 00:01:17] 以后遇到这种情况
[00:01:17 - 00:01:19] 那就应该是负面的那一个
[00:01:19 - 00:01:21] 所以说在做英语读理解的时候
[00:01:21 - 00:01:24] 不是问你是怎样理解的
[00:01:24 - 00:01:25] 他是问
[00:01:25 - 00:01:28] 作者是怎样理解的
[00:01:28 - 00:01:29] 其实语文也是一样
[00:01:29 - 00:01:32] 你要去探究作者给这个答案
[00:01:32 - 00:01:33] 他的思路是什么
