BV号：BV1SM4y1c7vx
标题：BV1SM4y1c7vx
链接：https://www.bilibili.com/video/BV1SM4y1c7vx
识别语言：zh
语言置信度：1
分段数：101
生成时间：2026-04-03 21:02:34

[00:00:00 - 00:00:03] 那我们今天呢一个非常有意思的话题呢叫做财富自由
[00:00:03 - 00:00:05] 我们刚才也在说这个财富自由这个东西啊
[00:00:06 - 00:00:07] 我们说财富自由的概念是什么
[00:00:07 - 00:00:10] 大家注意财富自由的概念跟大家想象的不太一样
[00:00:10 - 00:00:13] 它不是说让你钱多到你想干什么干什么
[00:00:13 - 00:00:17] 而是说让你钱多到你不想干的事可以不干
[00:00:18 - 00:00:21] 这就是最近啊很多朋友在网上
[00:00:21 - 00:00:24] 当学习不下去的时候都会在网上刷我一个视频
[00:00:24 - 00:00:26] 我说各位同学你记住
[00:00:26 - 00:00:33] 学习是你这一辈子你能够做的最简单的把握你人生的事。
[00:00:33 - 00:00:41] 因为你一旦到了工作以后,我跟大家说实话,很多事情你是没有办法的,知道吗?
[00:00:41 - 00:00:43] 它比学习难多了。
[00:00:43 - 00:00:47] 我在那个视频当中给大家讲过,我说你会遇到很多很多的事情,
[00:00:47 - 00:00:51] 比如说一个公司里边有一个人长得很傻,
[00:00:51 - 00:00:56] 对吧,然后的话,就我也不说脏话了哈,就傻傻的,对吧,长得很傻,
[00:00:56 - 00:01:00] 工作能力特别差,但是你得夸他,你得捧他,为什么?
[00:01:00 - 00:01:03] 因为这,他是你们老板的孩子。
[00:01:03 - 00:01:09] 然后的话,有一个室友,一个人在一起住,你会非常非常的讨厌他,对吧,
[00:01:09 - 00:01:14] 然后的话,那每天你想早点睡觉,但是他不,他就在那打游戏,
[00:01:14 - 00:01:15] 打游戏还在这喊。
[00:01:15 - 00:01:19] 然后的话,你说你小点声,人家给你举一句话,你有钱你出你租卷,
[00:01:19 - 00:01:21] 但你又没有那么多情
[00:01:21 - 00:01:23] 你怎么办
[00:01:23 - 00:01:25] 包括在有的时候
[00:01:25 - 00:01:27] 很多女同学长得很漂亮
[00:01:27 - 00:01:29] 工作当中
[00:01:29 - 00:01:31] 有的时候你会遇到那种比较恶心的客户
[00:01:31 - 00:01:32] 包括男同学
[00:01:32 - 00:01:34] 你如果将来你要做销售的话
[00:01:34 - 00:01:36] 也可能会遇到这样的问题
[00:01:36 - 00:01:38] 你明明就喝不下去酒了
[00:01:38 - 00:01:39] 有的时候在酒中
[00:01:39 - 00:01:41] 就会遇到这种情况
[00:01:41 - 00:01:42] 今天你喝这杯
[00:01:42 - 00:01:43] 你就是兄弟
[00:01:43 - 00:01:44] 什么事都好办
[00:01:44 - 00:01:45] 你不喝这一杯咱就不是兄弟
[00:01:45 - 00:01:46] 什么事都不好办
[00:01:46 - 00:01:48] 你喝还是不喝
[00:01:48 - 00:01:53] 你觉得这些事跟学习相比,哪个事简单?
[00:01:53 - 00:01:59] 学习是你能干的,能把握住你未来人生的最简单最简单的事。
[00:01:59 - 00:02:06] 所以说大家你要知道,现在看你有机会能够去学习,有机会去能够掌握你自己的命运的时候,
[00:02:06 - 00:02:12] 大家一定要去想办法掌握自己的命运,因为一旦你进入这个社会,社会会教你做人的,
[00:02:12 - 00:02:15] 他会让你知道很多事情
[00:02:15 - 00:02:18] 你大部分情况你是没有办法的
[00:02:18 - 00:02:19] 知道吧
[00:02:19 - 00:02:21] 就包括说有的同学说张老师你是不是财富自由了
[00:02:21 - 00:02:23] 我跟他说实话我还没有财富自由
[00:02:23 - 00:02:24] 如果我财富自由的话
[00:02:24 - 00:02:27] 今天你不会在直播间看到我
[00:02:27 - 00:02:28] 大晚上的
[00:02:28 - 00:02:29] 对吧
[00:02:29 - 00:02:30] 良辰没敬
[00:02:30 - 00:02:31] 对吧
[00:02:31 - 00:02:32] 我不希望陪家人吗
[00:02:32 - 00:02:34] 我在这会儿给你做直播
[00:02:34 - 00:02:35] 为什么呢
[00:02:35 - 00:02:36] 你有没有想过
[00:02:36 - 00:02:37] 为什么呢
[00:02:37 - 00:02:38] 对吧
[00:02:38 - 00:02:39] 我在收局比较直白的话
[00:02:39 - 00:02:40] 各位朋友
[00:02:40 - 00:02:46] 为什么我是我们青春画师的第一季的这个所谓的这个专属规划师啊?
[00:02:46 - 00:02:48] 为什么我坐在这里啊?
[00:02:48 - 00:02:51] 为什么我坐在这里?
[00:02:51 - 00:02:55] 你有没有想过为什么我坐在这里啊?
[00:02:55 - 00:02:57] 他如果说对吗?
[00:02:57 - 00:02:59] 说张老师你给我们做个工艺吧
[00:02:59 - 00:03:01] 然后的话我们面对面
[00:03:01 - 00:03:04] 我为什么坐在这里对吗?
[00:03:04 - 00:03:06] 所以说的话有些时候你要我有说不能权利吗?
[00:03:06 - 00:03:07] 我没有
[00:03:07 - 00:03:08] 为什么?
[00:03:08 - 00:03:09] 他对吧?
