BV号：BV1zh4y117qH
标题：BV1zh4y117qH
链接：https://www.bilibili.com/video/BV1zh4y117qH
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-03 14:14:39

[00:00:00 - 00:00:02] 因为众物理的专业你要不带化学
[00:00:02 - 00:00:04] 它一般上大学
[00:00:04 - 00:00:05] 大学当中数学有数学有三种
[00:00:05 - 00:00:07] 有叫数学一数学二数学三
[00:00:07 - 00:00:10] 就是考研的时候有数学一数学二数学三
[00:00:10 - 00:00:13] 众物理的功课且不带化学
[00:00:13 - 00:00:15] 它一定是数学一
[00:00:15 - 00:00:17] 它要学三重级分
[00:00:17 - 00:00:18] 要学曲面级分
[00:00:18 - 00:00:21] 这都是考研必考的内容
[00:00:21 - 00:00:23] 如果说你直接在选专业的时候
[00:00:23 - 00:00:25] 都想避开数学的话
[00:00:25 - 00:00:27] 那你要是说你最后报支援
[00:00:27 - 00:00:29] 报到数学一的专业
[00:00:29 - 00:00:31] 你这个数学一真的就不是很
[00:00:32 - 00:00:34] 反正曲面积分那个我什么听明白过
[00:00:34 - 00:00:35] 哈哈哈
[00:00:35 - 00:00:36] 我上大学的时候等着叫曲面积分
[00:00:36 - 00:00:38] 哎我们看到那个积分
[00:00:38 - 00:00:40] 看到这种积分我们拿出左手搬一下
[00:00:40 - 00:00:42] 看到这种积分我们拿出右手搬一下
[00:00:42 - 00:00:43] 当时我就
[00:00:44 - 00:00:45] 啥没给我干嘛了
