BV号：BV1qM411w7cR
标题：BV1qM411w7cR
链接：https://www.bilibili.com/video/BV1qM411w7cR
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 16:10:39

[00:00:00 - 00:00:02] 李克如果說你做一些科研項目的話
[00:00:02 - 00:00:03] 他有一些研發
[00:00:03 - 00:00:06] 有一些所謂的成果轉化
[00:00:06 - 00:00:08] 但是到了文科的話就不好玩了
[00:00:08 - 00:00:09] 文科的話
[00:00:09 - 00:00:10] 你沒有所謂的研發
[00:00:10 - 00:00:12] 沒有所謂的成果轉化
[00:00:12 - 00:00:14] 更沒有所謂的項目基金什麼的
[00:00:14 - 00:00:15] 你很難的
[00:00:15 - 00:00:17] 就是我證明說你理工科
[00:00:17 - 00:00:19] 你申請和科研經費
[00:00:19 - 00:00:20] 那都是大幾百萬起的
[00:00:20 - 00:00:22] 你文科科研經費
[00:00:22 - 00:00:23] 我的天哪
[00:00:23 - 00:00:28] 就是沒有辦法跟李克的一個領頭
[00:00:28 - 00:00:29] 你能申請下來
[00:00:29 - 00:00:31] 你就已经可以了
[00:00:31 - 00:00:33] 我没说文科没有科研经费
[00:00:33 - 00:00:36] 我只是说文科的科研经费相对可怜
[00:00:36 - 00:00:37] 文科的写书
[00:00:37 - 00:00:38] 大哥
[00:00:38 - 00:00:41] 你把写书这个事长得太简单了吧
[00:00:41 - 00:00:43] 文科大学老师出书
[00:00:43 - 00:00:45] 那都得自己卖书号
[00:00:45 - 00:00:46] 然后的话
[00:00:46 - 00:00:48] 这是我当论文一样发表
[00:00:48 - 00:00:50] 自己去包销
[00:00:50 - 00:00:53] 文科想走科研这条路想好
[00:00:53 - 00:00:54] 因为文科说实话
[00:00:54 - 00:00:56] 你想搞个新论文出来
[00:00:56 - 00:00:57] 我给你举个例子
[00:00:57 - 00:00:59] 你说老师我学文科的
[00:00:59 - 00:01:00] 我要搞中国古代文学
[00:01:00 - 00:01:02] 我是唐宋文学
[00:01:02 - 00:01:03] 好唐宋文学
[00:01:03 - 00:01:04] 大哥
[00:01:04 - 00:01:06] 唐宋文学都快被人给写麻了
[00:01:06 - 00:01:09] 你还想出新的科研方向
[00:01:09 - 00:01:11] 我一言一认就唐宋文学
[00:01:11 - 00:01:12] 都快被写麻了
[00:01:12 - 00:01:14] 你自己去看论文
[00:01:14 - 00:01:17] 还有什么方向可以去写
[00:01:17 - 00:01:19] 他们写论文太难了
[00:01:19 - 00:01:20] 理工科什么
[00:01:20 - 00:01:21] 我今天做个实验
[00:01:21 - 00:01:22] 我就是个新科体
[00:01:22 - 00:01:23] 文科呢
[00:01:23 - 00:01:25] 哪来的实验没有
[00:01:25 - 00:01:28] 你只能在前人的基础之上
[00:01:28 - 00:01:30] 再去做研究
