BV号：BV1TJ411Q7mN
标题：BV1TJ411Q7mN
链接：https://www.bilibili.com/video/BV1TJ411Q7mN
识别语言：zh
语言置信度：1
分段数：405
生成时间：2026-04-04 05:07:51

[00:00:02 - 00:00:05] 欢迎收看
[00:00:05 - 00:00:06] 当说我想问一下
[00:00:06 - 00:00:10] 你们干运营的头发都是这个样子的
[00:00:10 - 00:00:13] 比产品和工借师好一些
[00:00:13 - 00:00:15] 那改成我们欢投像全是因为你
[00:00:15 - 00:00:16] 对 造了个谣
[00:00:16 - 00:00:18] 除了几个特别专业的
[00:00:18 - 00:00:19] 然后的话
[00:00:19 - 00:00:20] 人们都说
[00:00:20 - 00:00:21] 师人是为了 Gardening
[00:00:21 - 00:00:23] 就赶紧看年龄清清
[00:00:23 - 00:00:33] 干得呢运营总监
[00:00:33 - 00:00:35] 大好欢迎收看小型豆腐拖可秀
[00:00:35 - 00:00:36] 打开眼界
[00:00:36 - 00:00:38] 我是让学习变得更快乐的张雪丰
[00:00:38 - 00:00:41] 关注大开眼界,了解不同职业背后的故事
[00:00:41 - 00:00:44] 为你的专业选择提供更多的帮助
[00:00:44 - 00:00:48] 我们本期请到的嘉宾是额场著名的大威运营
[00:00:48 - 00:00:51] 我们的苍老师,苍老师跟大家打个招呼吧
[00:00:51 - 00:00:53] 大家好,我叫胡凡
[00:00:53 - 00:00:57] 然后现在是腾讯的一个社群运营总监
[00:00:57 - 00:00:59] 然后当然逆称叫小苍叔
[00:00:59 - 00:01:00] 所以叫我苍老师
[00:01:00 - 00:01:03] 苍老师啊,苍老师你怎么变成男的了
[00:01:03 - 00:01:05] 哈哈哈哈哈哈
[00:01:05 - 00:01:06] 对
[00:01:06 - 00:01:07] 他说我想问一下
[00:01:07 - 00:01:10] 就是你们干运营的头发都是这个样子的
[00:01:10 - 00:01:11] 哈哈哈
[00:01:11 - 00:01:13] 比产品和工资师好一些
[00:01:13 - 00:01:14] 比产品和工资师好一些是吧
[00:01:14 - 00:01:16] 哎那个我就一直就是有一个疑问啊
[00:01:16 - 00:01:19] 就是这个运营啊
[00:01:19 - 00:01:20] 他到底是干啥的
[00:01:20 - 00:01:22] 通俗的来说
[00:01:22 - 00:01:24] 运营应该是产品官
[00:01:24 - 00:01:27] 产品和工资师们负责生孩子
[00:01:27 - 00:01:28] 我们负责养孩子
[00:01:28 - 00:01:30] 呃什么叫是什么意思呢
[00:01:30 - 00:01:33] 就比如说我们简单举一个例子
[00:01:33 - 00:01:39] 有一个产品或说有个APP主体设计上面还有就是说把它设计出来
[00:01:39 - 00:01:44] 是产品和工程师他们就是我们的所谓的那些算法技术啊
[00:01:44 - 00:01:45] 他们他们来做的
[00:01:45 - 00:01:47] 但是做出来之后呢
[00:01:47 - 00:01:48] 实际上是需要有人来玩
[00:01:48 - 00:01:49] 对吧
[00:01:49 - 00:01:50] 有用户来
[00:01:50 - 00:01:52] 那你就需要有用户去去拉星
[00:01:52 - 00:01:54] 去把用户呃来下载
[00:01:54 - 00:01:55] 现在完了之后呢
[00:01:55 - 00:01:57] 你还需要让他在里面使用
[00:01:57 - 00:02:00] 对我不能下下完之后我就不管了
[00:02:00 - 00:02:00] 对吧
[00:02:00 - 00:02:01] 长草了
[00:02:01 - 00:02:01] 对
[00:02:01 - 00:02:04] 然后所以呢就需要通过有各种的方式
[00:02:04 - 00:02:06] 比如说内容啊活动
[00:02:06 - 00:02:07] 然后用户
[00:02:07 - 00:02:11] 然后各种的这种运营策略和方式
[00:02:11 - 00:02:12] 让它在里面活跃起来
[00:02:12 - 00:02:13] 哦
[00:02:13 - 00:02:16] 你有没有什么一些你运作过的一些比较经典的
[00:02:16 - 00:02:17] 给大家介绍介绍
[00:02:17 - 00:02:20] 让大家知道我请来的不是说大街上随便拉了一个
[00:02:20 - 00:02:21] 对吧
[00:02:21 - 00:02:22] 叫张老师的人就给来个节目来了
[00:02:22 - 00:02:23] 对吧
[00:02:23 - 00:02:25] 运营过什么比较让大家一说
[00:02:25 - 00:02:27] 大多数人都知道的项目
[00:02:27 - 00:02:28] 有没有
[00:02:28 - 00:02:29] 最近其实就有一个
[00:02:29 - 00:02:34] 就是在國慶期間大家都可能有經歷過被刷平的一個事情
[00:02:34 - 00:02:36] 就是換頭像
[00:02:36 - 00:02:36] 換頭像
[00:02:36 - 00:02:39] 你說那是國企那個是嗎
[00:02:39 - 00:02:39] 對
[00:02:39 - 00:02:41] 那就是你做的
[00:02:41 - 00:02:42] 是的
[00:02:42 - 00:02:44] 那敢說我們換頭像全是因為你
[00:02:44 - 00:02:45] 對造了個搖
[00:02:45 - 00:02:46] 是吧
[00:02:46 - 00:02:49] 那你當時怎麼想起來要做這麼一個事情的
[00:02:49 - 00:02:52] 或者說是你最後能達到一個怎樣的效果呢
[00:02:52 - 00:02:53] 對於你們這個APP來講
[00:02:53 - 00:02:54] 其實是這樣的
[00:02:54 - 00:02:57] 就是說我們每到像這種國慶期間
[00:02:57 - 00:03:03] 像我们腾讯可能还有像其他的一些友商都会有一些固定的动作
[00:03:03 - 00:03:05] 毕竟这是一件大事情
[00:03:05 - 00:03:07] 而且相对来说建国其实中年是
[00:03:07 - 00:03:10] 全国人民都非常关注的一件事情
[00:03:10 - 00:03:12] 所以我们肯定会有一些策划
[00:03:12 - 00:03:15] 目的就是说我们这个平台有一些好玩的东西
[00:03:15 - 00:03:21] 或者说有些活动你可以来参与提升这个产品的活跃度和它的运货体谅
[00:03:21 - 00:03:25] 所以在我们做策划的阶段其实就在考虑
[00:03:25 - 00:03:28] 我们到底应该有一个什么样的活动
[00:03:28 - 00:03:30] 或者是什么样的方案
[00:03:30 - 00:03:32] 能够让大家觉得这件事情好玩
[00:03:32 - 00:03:34] 或者说能够觉得有一些意思
[00:03:34 - 00:03:36] 策划会实际上开了三四个
[00:03:36 - 00:03:38] 你要考虑到
[00:03:38 - 00:03:40] 比如说你到底针对谁
[00:03:40 - 00:03:42] 有了呢我就比如说我会针对学生
[00:03:42 - 00:03:44] 学生喜欢玩嘛
[00:03:44 - 00:03:45] 他们喜欢新鲜的玩意
[00:03:45 - 00:03:47] 他老的东西他就不喜欢嘛
[00:03:47 - 00:03:48] 但是我当时想的就是说
[00:03:48 - 00:03:52] 既然我们腾新新闻是一个这么大的一个产品
[00:03:52 - 00:03:53] 所以我们服务的是全国人民
[00:03:53 - 00:03:55] 那我们门槛就要低
[00:03:55 - 00:03:57] 然后操作比较简单
[00:03:57 - 00:03:59] 而且甚至就是说文化程度不高的
[00:03:59 - 00:04:02] 他也一样能够参与进去
[00:04:02 - 00:04:03] 所以就是
[00:04:03 - 00:04:04] 可能原来的一些方案
[00:04:04 - 00:04:05] 他要么就太高大上
[00:04:05 - 00:04:06] 对
[00:04:06 - 00:04:07] 要么就是操作太繁瑣
[00:04:07 - 00:04:08] 对
[00:04:08 - 00:04:10] 导致可能就是达不到
[00:04:10 - 00:04:12] 像见过七六中年这么全国人民
[00:04:12 - 00:04:14] 都非常关注的一个事情
[00:04:14 - 00:04:16] 都要去庆祝的一个事情
[00:04:16 - 00:04:18] 那如果说我想干运营这个工作的话
[00:04:18 - 00:04:21] 我需要具备怎样的能力呢
[00:04:21 - 00:04:23] 这个就比较就是比较复杂
[00:04:23 - 00:04:23] 通用的来说
[00:04:23 - 00:04:26] 就是说我们我们行业内有一句话是说
