BV号：BV1MVwLz2Etb
标题：BV1MVwLz2Etb
链接：https://www.bilibili.com/video/BV1MVwLz2Etb
识别语言：zh
语言置信度：1
分段数：64
生成时间：2026-04-03 00:05:36

[00:00:00 - 00:00:01] 如果有一句这种放声
[00:00:01 - 00:00:03] 你追求妈你饿不死
[00:00:03 - 00:00:04] 只要思想不划破
[00:00:04 - 00:00:06] 方法永远比困难多了
[00:00:06 - 00:00:08] 张老师什么叫主动调劲
[00:00:08 - 00:00:09] 主动调劲呢
[00:00:09 - 00:00:11] 就是如果你的位置不高
[00:00:11 - 00:00:13] 你就在那个专业组里边呢
[00:00:13 - 00:00:14] 去找一些跟你这个位置
[00:00:14 - 00:00:17] 差不多的你能接受的专业
[00:00:17 - 00:00:18] 你别都冲一些
[00:00:18 - 00:00:19] 烂起麻刀的什么
[00:00:19 - 00:00:20] 什么清新专业
[00:00:20 - 00:00:21] 热门专业
[00:00:21 - 00:00:23] 到最后你六个专业弄完了
[00:00:23 - 00:00:24] 给你调去到别的专业
[00:00:24 - 00:00:26] 你接受不了那就完了
[00:00:26 - 00:00:28] 所以说大家一定要在专业表当中
[00:00:28 - 00:00:30] 放几个你能接受的
[00:00:30 - 00:00:31] 你这个位置够的卓越
[00:00:31 - 00:00:32] 这就叫做个手机了
[00:00:32 - 00:00:33] 啊
[00:00:33 - 00:00:35] 孩子选的文科400多分
[00:00:35 - 00:00:37] 想学授意怎么办
[00:00:37 - 00:00:37] 怎么选啊
[00:00:37 - 00:00:39] 你专科人他又不限制选科
[00:00:39 - 00:00:40] 对不对
[00:00:40 - 00:00:41] 想学就学知道吧
[00:00:41 - 00:00:44] 孩子学习能力和社会能力
[00:00:44 - 00:00:45] 都一般该学什么
[00:00:45 - 00:00:46] 你要学习能力
[00:00:46 - 00:00:47] 所以我能留一般的
[00:00:47 - 00:00:48] 你就听我的
[00:00:48 - 00:00:49] 你就学个技术
[00:00:49 - 00:00:50] 你有一技之能忘身
[00:00:50 - 00:00:52] 你最起码你饿不死
[00:00:52 - 00:00:53] 知道吧
[00:00:53 - 00:00:54] 你学一个什么像机械啊
[00:00:54 - 00:00:55] 自动化啊
[00:00:55 - 00:00:57] 什么护理啊
[00:00:57 - 00:00:58] 对吧 你宣布技术啊
[00:00:58 - 00:00:59] 肯定没问题啊
[00:00:59 - 00:01:00] 为啥我叫孩子
[00:01:00 - 00:01:01] 每天特别努力
[00:01:01 - 00:01:03] 但升高三后
[00:01:03 - 00:01:04] 成绩下降等厉害
[00:01:04 - 00:01:06] 首先高1高2
[00:01:06 - 00:01:07] 实在是在洗了一些基础知识
[00:01:07 - 00:01:08] 你到了高三以后呢
[00:01:08 - 00:01:10] 他各个张底的集都叫做松核
[00:01:10 - 00:01:11] 所以说他这个时候
[00:01:11 - 00:01:12] 你就要想办法去做一些
[00:01:12 - 00:01:13] 这样的松核体
[00:01:13 - 00:01:14] 这是第一点
[00:01:14 - 00:01:15] 如果他成绩不高的话
[00:01:15 - 00:01:16] 你一定要分析原因
[00:01:16 - 00:01:17] 就是遇到问题不可怕
[00:01:17 - 00:01:18] 你要分析一下
[00:01:18 - 00:01:20] 这个问题到底出在哪里
[00:01:20 - 00:01:21] 只要思想不划破
[00:01:21 - 00:01:22] 方法永远比困难多
[00:01:22 - 00:01:24] 你一定要自己有信心
[00:01:24 - 00:01:25] 孩子也一定要有信心
[00:01:27 - 00:01:29] 拯住高爆不迷路
