BV号：BV1Qq4y1U7R5
标题：BV1Qq4y1U7R5
链接：https://www.bilibili.com/video/BV1Qq4y1U7R5
识别语言：zh
语言置信度：1
分段数：50
生成时间：2026-04-03 22:35:51

[00:00:00 - 00:00:02] 大家好 我上学习变得更快的张雪峰老师
[00:00:02 - 00:00:04] 我们上一周跟大家互动的话题是
[00:00:04 - 00:00:06] 我们上大学以后要不要参加学生会
[00:00:06 - 00:00:09] 最后得出的结果就是40%的同学能说
[00:00:09 - 00:00:11] 要参加60%的同学说
[00:00:11 - 00:00:12] 不要参加了 没有那个必要
[00:00:12 - 00:00:14] 那如果说你问我对于这个问题的观点
[00:00:14 - 00:00:17] 其实我有一个关键词
[00:00:17 - 00:00:19] 什么呢 叫做同评
[00:00:19 - 00:00:21] 我觉得在一个组织当中
[00:00:21 - 00:00:23] 最重要的就是你能不能在这个组织当中
[00:00:23 - 00:00:26] 学到东西 认识一帮好朋友
[00:00:26 - 00:00:28] 当然学到东西的前提是
[00:00:28 - 00:00:30] 你得认识一帮好朋友
[00:00:30 - 00:00:31] 就是上面的人
[00:00:31 - 00:00:32] 他愿意带你
[00:00:32 - 00:00:32] 他愿意教你
[00:00:32 - 00:00:34] 这一点很重要
[00:00:34 - 00:00:36] 这个同频非常非常的重要
[00:00:36 - 00:00:38] 那你在面试的时候
[00:00:38 - 00:00:39] 其实
[00:00:39 - 00:00:41] 训练会的人在面试你
[00:00:41 - 00:00:44] 其实你也在面试那个学生会的人
[00:00:44 - 00:00:45] 那如果说你觉得
[00:00:45 - 00:00:46] 他们那个组织
[00:00:46 - 00:00:49] 他们那边的人跟你不同频
[00:00:49 - 00:00:51] 那你就不要参加这种训练会组织
[00:00:51 - 00:00:52] 但你觉得说
[00:00:52 - 00:00:52] 哎
[00:00:52 - 00:00:54] 这边有几个学长学姐是比较可爱的
[00:00:54 - 00:00:56] 他是能够教我一些东西
[00:00:56 - 00:00:58] 我能够学到一些东西的
[00:00:58 - 00:01:00] 那你就可以去加入学生会组织
[00:01:00 - 00:01:04] 当然你进去以后有可能会发现跟你想象的不一样
[00:01:04 - 00:01:07] 有的时候该选择放弃就选择放弃
[00:01:07 - 00:01:11] 因为最近我们也看到了网上有很多
[00:01:11 - 00:01:14] 尤其是我们海中江某学校
[00:01:14 - 00:01:16] 这个霸气式的那种
[00:01:16 - 00:01:19] 那如果说你到那个组织发现
[00:01:19 - 00:01:21] 那个组织根本就跟我他不一样
[00:01:21 - 00:01:21] 对吧
[00:01:21 - 00:01:23] 那不是我想要的
[00:01:23 - 00:01:24] 那你就不要去参加
[00:01:24 - 00:01:25] 关于这个话题我们就说到这
[00:01:25 - 00:01:27] 我们下一期的话题就是
[00:01:27 - 00:01:30] 马上各个学校就要陆陆续续的
[00:01:30 - 00:01:32] 我们大一新生就要开学了
[00:01:32 - 00:01:33] 那你开学报道的时候
[00:01:33 - 00:01:37] 你觉得要带着父母一块去吗
[00:01:37 - 00:01:41] 希望大家也能够积极地参与我们的讨论
