BV号：BV1uJ411K7H3
标题：BV1uJ411K7H3
链接：https://www.bilibili.com/video/BV1uJ411K7H3
识别语言：zh
语言置信度：1
分段数：331
生成时间：2026-04-04 06:59:55

[00:00:00 - 00:00:02] 大家好 我上学习变得更快乐的张雪峰老师
[00:00:02 - 00:00:05] 欢迎大家收看本期的法律其实很好玩
[00:00:05 - 00:00:10] 王某是建湖县某郵政储蓄营业所的一个营业员
[00:00:10 - 00:00:12] 那么他有一天在办理业务的时候
[00:00:12 - 00:00:14] 发现某储户张某
[00:00:14 - 00:00:17] 他在他的存折里边夹了一张字条
[00:00:17 - 00:00:20] 这个字条上是一个6个数字
[00:00:20 - 00:00:24] 他推测这6个数字应该是存折的密码
[00:00:24 - 00:00:27] 他就按按记下了这6个数字
[00:00:27 - 00:00:29] 等到他在闲着的时候
[00:00:29 - 00:00:31] 他就试验了一下
[00:00:31 - 00:00:35] 看看这个数字是不是张某的密码
[00:00:35 - 00:00:35] 一是
[00:00:36 - 00:00:37] 针对了
[00:00:37 - 00:00:38] 他就拿了一个废弃存质
[00:00:38 - 00:00:40] 把人家账号给打上
[00:00:40 - 00:00:41] 然后密码记下来
[00:00:41 - 00:00:43] 给他的男朋友打电话说
[00:00:43 - 00:00:45] 你赶紧到另外一个营业点
[00:00:45 - 00:00:47] 看咱们能不能把上面的钱给取出来
[00:00:47 - 00:00:47] 一共多少钱
[00:00:47 - 00:00:49] 一共是12万
[00:00:49 - 00:00:51] 他男朋友还真的把这个钱给取出来了
[00:00:51 - 00:00:54] 但是你说你干这种特别缺德的事
[00:00:54 - 00:00:55] 那只能包得住活吗
[00:00:55 - 00:00:57] 当然被人发现了
[00:00:57 - 00:00:58] 那么最后公安机关检察院
[00:00:58 - 00:01:00] 对他提起公诉的时候
[00:01:00 - 00:01:03] 他认为我这个行为是贪污罪
[00:01:03 - 00:01:04] 为什么呢
[00:01:04 - 00:01:05] 贪污罪定得清
[00:01:05 - 00:01:07] 但是检察员在起诉他的时候
[00:01:07 - 00:01:09] 却是以盗窃罪来起诉的
[00:01:09 - 00:01:11] 那么像他这种行为
[00:01:11 - 00:01:12] 贪污还是盗窃呢
[00:01:12 - 00:01:16] 且听我们本期法律专家给大家做解析吧
[00:01:25 - 00:01:25] 大家好
[00:01:25 - 00:01:27] 我上学习变得更快乐的张雪峰老师
[00:01:27 - 00:01:29] 欢迎大家收看本期的法律习诗
[00:01:29 - 00:01:29] 很好玩
[00:01:29 - 00:01:31] 我们本期请到的法律专家
[00:01:31 - 00:01:33] 依旧是我们的研途教育的
[00:01:33 - 00:01:33] 千元老师
[00:01:33 - 00:01:34] 杨艳侠老师
[00:01:34 - 00:01:34] 杨老师
[00:01:34 - 00:01:35] 大家招呼
[00:01:35 - 00:01:35] 好
[00:01:35 - 00:01:36] 大家好
[00:01:36 - 00:01:39] 杨老师,你看本案当中这个王某
[00:01:39 - 00:01:42] 他这人真是好,你说一个好好干为对吧
[00:01:42 - 00:01:47] 六位数字密码还给记住了,他一查还真有钱,还是让他给取出来了
[00:01:47 - 00:01:51] 像他这种行为呢,在实际共产党当中,他是属于贪污还是属于盗窃啊
[00:01:52 - 00:01:55] 是这样的,就是我们定贪污还是定盗窃
[00:01:56 - 00:01:58] 主要看你有没有利用职务上的便利
[00:01:59 - 00:02:01] 因为呢,其实贪污也有一种方法
[00:02:01 - 00:02:02] 是窃取的方法
[00:02:02 - 00:02:03] 所以
[00:02:03 - 00:02:05] 主要看他有沒有利用職務上便利
[00:02:05 - 00:02:07] 這個什麼叫職務上的便利呢
[00:02:07 - 00:02:10] 就是你要管理某種財務
[00:02:10 - 00:02:12] 或者管理某件事情
[00:02:12 - 00:02:13] 有一定的職權
[00:02:13 - 00:02:18] 這個權是權力的力量的權力
[00:02:18 - 00:02:22] 不是利益的權力
[00:02:22 - 00:02:23] 是一種權力
[00:02:23 - 00:02:26] 那麼你要是能夠管理這個東西
[00:02:26 - 00:02:28] 然後比如說你偷偷地把這個賬
[00:02:28 - 00:02:30] 給他做的 讓你這筆錢不見了
[00:02:30 - 00:02:32] 這個就是貪污
[00:02:32 - 00:02:36] 那本案中人家来取钱
[00:02:36 - 00:02:37] 他表现人家的密码
[00:02:37 - 00:02:39] 只是看见人家的密码
[00:02:39 - 00:02:41] 然后自己伪造了一个存折
[00:02:41 - 00:02:43] 然后拿这个密码取钱
[00:02:43 - 00:02:46] 这个时候对于他得到这个密码
[00:02:46 - 00:02:47] 和这个取钱
[00:02:47 - 00:02:53] 没有利用他管理储蓄的职务上的权
[00:02:53 - 00:02:55] 但是你看他最起码
[00:02:55 - 00:02:58] 他应该是知道张某的帐号
[00:02:58 - 00:03:00] 这个不算是
[00:03:00 - 00:03:03] 对知道张某的账号这个我们叫工作便利
[00:03:03 - 00:03:06] 就说你因为工作能够接触到这个账号
[00:03:06 - 00:03:07] 对吧
[00:03:07 - 00:03:08] 但是呢
[00:03:08 - 00:03:12] 他并不是对张某这个金钱进行管理的人
[00:03:12 - 00:03:14] 他不是管理这个财务的人
[00:03:14 - 00:03:16] 所以这个案子呢
[00:03:16 - 00:03:18] 应该说道歉更合适
[00:03:18 - 00:03:18] 哦
[00:03:18 - 00:03:18] 哎
[00:03:18 - 00:03:20] 那比如说我再举一个例子
[00:03:20 - 00:03:22] 假如说我们看到本案当中王某
[00:03:22 - 00:03:25] 他拿到这个张某的这个这个密码
[00:03:25 - 00:03:26] 是一个非常偶然的事情
[00:03:26 - 00:03:27] 就是他人家村子里面
[00:03:27 - 00:03:28] 夹了一个密码
[00:03:28 - 00:03:29] 让人发望
[00:03:29 - 00:03:31] 但如果说他这个银行是属于那种
[00:03:31 - 00:03:32] 他作为工作人员
[00:03:32 - 00:03:34] 他又能看到账号
[00:03:34 - 00:03:36] 又能看到密码
[00:03:36 - 00:03:38] 这个时候他起了贪念之心
[00:03:38 - 00:03:39] 然后的话
[00:03:39 - 00:03:42] 利用他自己管理这个账户的便利
[00:03:42 - 00:03:45] 来来窃取这12万块钱的话
