BV号：BV1Be4y1S72k
标题：BV1Be4y1S72k
链接：https://www.bilibili.com/video/BV1Be4y1S72k
识别语言：zh
语言置信度：1
分段数：23
生成时间：2026-04-03 17:20:35

[00:00:00 - 00:00:02] 有些时候你自己愿意去做
[00:00:02 - 00:00:03] 你就自己能做
[00:00:03 - 00:00:04] 你自己不愿意去做的时候
[00:00:04 - 00:00:05] 谁都说不了你
[00:00:05 - 00:00:06] 你看张掌说我本人
[00:00:06 - 00:00:07] 我今天38岁
[00:00:07 - 00:00:09] 我在体重190斤的时候
[00:00:09 - 00:00:10] 开始突发气象
[00:00:10 - 00:00:11] 我要跑马拉松
[00:00:11 - 00:00:12] 我第一次跑5公里的时候
[00:00:12 - 00:00:14] 我差点没死跑步机上
[00:00:14 - 00:00:15] 但是通过我的不懈努力
[00:00:15 - 00:00:16] 我慢慢慢慢
[00:00:16 - 00:00:18] 我一次可以跑5公里
[00:00:18 - 00:00:19] 一次可以跑10公里
[00:00:19 - 00:00:20] 一次可以跑20公里
[00:00:20 - 00:00:21] 一次可以跑全马
[00:00:21 - 00:00:23] 终于我在前年2020年
[00:00:23 - 00:00:24] 参加了杭州马拉松
[00:00:24 - 00:00:25] 我是以4小时的成绩
[00:00:25 - 00:00:27] 完成了我左位跑马拉松的梦想
[00:00:27 - 00:00:29] 所以说人只要有梦想
[00:00:29 - 00:00:31] 你態度是最重要的
