BV号：BV13b421p7y5
标题：BV13b421p7y5
链接：https://www.bilibili.com/video/BV13b421p7y5
识别语言：zh
语言置信度：1
分段数：87
生成时间：2026-04-03 09:24:44

[00:00:00 - 00:00:01] 家长发现没有啊
[00:00:01 - 00:00:03] 这两年整个工作是越来越绝了
[00:00:03 - 00:00:05] 不光考功考编看你的学校层次
[00:00:05 - 00:00:09] 听说有很多有名的私企都开始卡第一学历了
[00:00:09 - 00:00:10] 我们看不是985啊
[00:00:10 - 00:00:12] 系统直接就给你筛了
[00:00:12 - 00:00:14] 连面试的机会都没有
[00:00:14 - 00:00:17] 有同学肯定要说985是那么好考的吗
[00:00:17 - 00:00:20] 你还别说还真有一所实力强就业好
[00:00:20 - 00:00:22] 关键分还没有那么高的
[00:00:22 - 00:00:23] 就是西北農林科技大学
[00:00:23 - 00:00:26] 有同学一听带農林这俩字就开始坏下
[00:00:26 - 00:00:27] 哎呀
[00:00:27 - 00:00:28] 这面朝黄土被朝天
[00:00:28 - 00:00:29] 肯定是又苦又累
[00:00:29 - 00:00:30] 但张老师告诉你啊
[00:00:30 - 00:00:32] 时代变了
[00:00:32 - 00:00:34] 现在的农业可不是你想的那样
[00:00:34 - 00:00:36] 有个词不知道大家听过没有啊
[00:00:36 - 00:00:37] 叫农业数字革命
[00:00:37 - 00:00:38] 说的就是生物技术
[00:00:38 - 00:00:39] 信息技术
[00:00:39 - 00:00:40] 新能源
[00:00:40 - 00:00:41] 这些新科技
[00:00:41 - 00:00:43] 新技术和农业不断的融合
[00:00:43 - 00:00:45] 导通出了智慧农业
[00:00:45 - 00:00:46] 农业数字经济
[00:00:46 - 00:00:49] 生物能源这样的新兴产业
[00:00:49 - 00:00:49] 像谷歌
[00:00:49 - 00:00:50] 阿里
[00:00:50 - 00:00:50] 华为
[00:00:50 - 00:00:51] 腾训
[00:00:51 - 00:00:53] 这些大厂都已经开始在这方面布局了
[00:00:53 - 00:00:54] 说明这是一个疯口
[00:00:54 - 00:00:56] 以后的发展不会差
[00:00:56 - 00:00:58] 之前张老师也讲过
[00:00:58 - 00:01:00] 要想在一个行业做到最出色
[00:01:00 - 00:01:01] 农学是最有性价比的
[00:01:01 - 00:01:04] 况且西农还是最有的农林院修之一
[00:01:04 - 00:01:06] 在很多学科领域
[00:01:06 - 00:01:08] 那都是全国一流世界领先
[00:01:08 - 00:01:09] 尤其是农学
[00:01:09 - 00:01:12] 不光拿到了ESI全球前万分之一
[00:01:12 - 00:01:14] 在最新的软科学科的排名里边
[00:01:14 - 00:01:16] 也是排到了世界第一
[00:01:16 - 00:01:18] 你要想学农林专业的话
[00:01:18 - 00:01:20] 那西农绝对是有保障
[00:01:20 - 00:01:23] 再说西农这个学校现在发展的也很综合了
[00:01:23 - 00:01:23] 像电子信息
[00:01:23 - 00:01:26] 机械软件这些热门专业的西农
[00:01:26 - 00:01:28] 那都是国家级省级一流专业
[00:01:28 - 00:01:30] 半学水平完全跟上
[00:01:30 - 00:01:34] 这几年西农还搞了三个基础学科拔尖学生培养班
[00:01:34 - 00:01:35] 六类卓越班
[00:01:35 - 00:01:37] 三个中外合作半学专业
[00:01:37 - 00:01:39] 都是通过高考直接招生
[00:01:39 - 00:01:40] 性价比非常高
[00:01:40 - 00:01:42] 今天咱们就不气讲了
[00:01:42 - 00:01:44] 感兴趣的同学之后可以专门去了解一下
[00:01:44 - 00:01:47] 最后知道大家还是关心毕业生去向问题
[00:01:47 - 00:01:49] 我就这么说
[00:01:49 - 00:01:50] 你顶着西农的牌子
[00:01:50 - 00:01:53] 不管是读研还是就研都是很有优势的
[00:01:53 - 00:01:54] 你就说口供口编
[00:01:54 - 00:01:57] 很多好岗位都是首选985毕业生的
[00:01:57 - 00:01:58] 再说选调
[00:01:58 - 00:02:01] 西农几乎进了所有省市的选调生招入门槛
[00:02:01 - 00:02:02] 另外
[00:02:02 - 00:02:03] 就张老师找到的资料
[00:02:03 - 00:02:07] 200多家有影响的大中型企业和西农都有合作
[00:02:07 - 00:02:10] 每年去校招的单位是又多又好
[00:02:10 - 00:02:11] 进国企单位
[00:02:11 - 00:02:13] 世界500强机会很大
[00:02:13 - 00:02:14] 要是想继续读研
[00:02:14 - 00:02:15] 那也是没有问题的
[00:02:15 - 00:02:18] 西农有超过一半的毕业生都能上岸
[00:02:18 - 00:02:21] 有些学院的生学比例甚至能到七成
[00:02:21 - 00:02:23] 总的保研也有25%左右
[00:02:23 - 00:02:25] 出国深遭率能到5%
[00:02:25 - 00:02:26] 就照而言了解到的
[00:02:26 - 00:02:29] 这个数据放在全国也是比较不错的
[00:02:29 - 00:02:32] 进双一流或者是中科院下面这些科研院所
[00:02:32 - 00:02:33] 问题都不是很大
[00:02:33 - 00:02:35] 想冲清北也完全有可能
[00:02:35 - 00:02:38] 总之你要想找个有前景好酒业
[00:02:38 - 00:02:39] 还好上岸的酒吧舞
[00:02:39 - 00:02:41] 西农绝对是个好选择
