BV号：BV1e341137m3
标题：BV1e341137m3
链接：https://www.bilibili.com/video/BV1e341137m3
识别语言：zh
语言置信度：1
分段数：31
生成时间：2026-04-03 19:15:44

[00:00:00 - 00:00:01] 我们今天在直播间宣布一个事情
[00:00:01 - 00:00:03] 因为大家都知道我是黑中江人
[00:00:03 - 00:00:05] 黑中江也有很多贫困的地区
[00:00:05 - 00:00:08] 也有很多想去通过支持改变自己命运的学生
[00:00:08 - 00:00:10] 黑中江省希望工程协会有一个活动
[00:00:10 - 00:00:12] 每一年的一个助学活动
[00:00:12 - 00:00:14] 风学未来会捐款三十万
[00:00:14 - 00:00:15] 我希望风学未来
[00:00:15 - 00:00:19] 未来能够成为一个有社会责任担当的一个企业
[00:00:19 - 00:00:20] 能够真真真正帮助到大家
[00:00:20 - 00:00:22] 当然今年第一年
[00:00:22 - 00:00:24] 我的个人实力比较有限
[00:00:24 - 00:00:25] 只能针对这么一个省份
[00:00:25 - 00:00:26] 针对这么多的学生
[00:00:26 - 00:00:29] 能够给那些贫困地区的孩子
[00:00:29 - 00:00:30] 教育欠发带地区的孩子
[00:00:30 - 00:00:31] 据像我所说的
[00:00:31 - 00:00:32] 给他们打开一上窗
[00:00:32 - 00:00:33] 照尽一树光
[00:00:33 - 00:00:35] 给他们未来生活希望
[00:00:35 - 00:00:37] 这个事是在我们今年召完胜颖后的话
[00:00:37 - 00:00:38] 6月2号
[00:00:38 - 00:00:39] 就在今年高考之前
[00:00:39 - 00:00:40] 我跟这个
[00:00:40 - 00:00:41] 彭荣江希望工程的老师说
[00:00:41 - 00:00:43] 我说今年希望在高考之前
[00:00:43 - 00:00:44] 把这个事给做了
[00:00:44 - 00:00:47] 因为我希望让那些贫困生放心去考
[00:00:47 - 00:00:47] 你不用考虑说
[00:00:47 - 00:00:49] 我考完大学没学费怎么办
[00:00:49 - 00:00:51] 希望能够帮助更多的人吧
