BV号：BV1V5411g7Yo
标题：BV1V5411g7Yo
链接：https://www.bilibili.com/video/BV1V5411g7Yo
识别语言：zh
语言置信度：1
分段数：70
生成时间：2026-04-03 23:55:20

[00:00:02 - 00:00:05] 大家看到另外一个华中政法大学的法学
[00:00:06 - 00:00:07] 这专案好不好
[00:00:08 - 00:00:10] 你看很多家人说
[00:00:10 - 00:00:12] 你给孩子报吗?639分
[00:00:12 - 00:00:14] 你还得考虑639分,你给孩子报吗?
[00:00:15 - 00:00:18] 这个你觉得是639到640分比较好个选择吗?
[00:00:20 - 00:00:21] 我们来看一下法学类
[00:00:21 - 00:00:23] 法学的专业,各位家人你们想过
[00:00:23 - 00:00:25] 你给孩子一旦选了这个专业以后
[00:00:25 - 00:00:27] 孩子85%就要被自然淘汰
[00:00:27 - 00:00:30] 为什么?想当律师必须得考一个东西
[00:00:30 - 00:00:33] 叫律师自个证 原来叫司法考试
[00:00:33 - 00:00:37] 近五年中国司法考试的过关率你上网查过没有
[00:00:37 - 00:00:40] 中国司法考试的过关率15%
[00:00:40 - 00:00:43] 孩子到了法学80%大概率怎么样
[00:00:43 - 00:00:46] 他就就业不了 他无法在法学专业上就业
[00:00:46 - 00:00:48] 而且你知不知道 各位家人我问一下
[00:00:48 - 00:00:54] 有多少家人知道法学这个专业是在国外是没有本科的
[00:00:54 - 00:00:58] 有多少家人知道法学就专业在国外是没有本科的
[00:00:58 - 00:01:00] 在國外法學根本就不開本科
[00:01:00 - 00:01:05] 為什麼?法律影響到人的司法公正
[00:01:05 - 00:01:06] 這麼重要的一個事情
[00:01:06 - 00:01:10] 能交給一個當畢業的小毛華嗎?
[00:01:10 - 00:01:12] 為什麼國外根本不開到法學本科?
[00:01:12 - 00:01:14] 你先學別的卓業
[00:01:14 - 00:01:16] 你現在受不上立念幾年
[00:01:16 - 00:01:17] 你先不考駕
[00:01:17 - 00:01:18] 你學法律以後
[00:01:18 - 00:01:19] 你要解決哪方面問題
[00:01:19 - 00:01:21] 然後都過來考研
[00:01:21 - 00:01:24] 那個研究上的名字叫法律碩士
[00:01:24 - 00:01:25] 中國在2000年的時候
[00:01:25 - 00:01:29] 就像國外學習引入了這樣的法律碩士
[00:01:29 - 00:01:33] 給一些本科不學法律的同學給他們機會
[00:01:33 - 00:01:36] 讓他們從事法律專業
[00:01:36 - 00:01:38] 所以說你本科不報法學
[00:01:38 - 00:01:39] 你將來當不了律師嗎
[00:01:39 - 00:01:42] 不是等你考研考法律碩士就可以了
[00:01:42 - 00:01:44] 那他說本科為什麼不學法學呢
[00:01:44 - 00:01:46] 因為你本科學法學
[00:01:46 - 00:01:49] 你會把孩子扔到一個學校房子
[00:01:49 - 00:01:51] 可能沒有那麼高的學校
[00:01:51 - 00:01:52] 華盛頓政法大學
[00:01:52 - 00:01:54] 这985也可以吗?
[00:01:54 - 00:01:56] 它是21985吗?
[00:01:56 - 00:01:57] 它是985吗?
[00:01:57 - 00:01:57] 各位
[00:01:57 - 00:01:58] 它不是985吗?
[00:01:58 - 00:02:00] 上海是41985
[00:02:00 - 00:02:03] 上交代同地复旦和华东十大
[00:02:03 - 00:02:05] 不计不是华东政法
[00:02:05 - 00:02:08] 上海是去年刚刚登陆一个政客
[00:02:08 - 00:02:11] 上海市的985同地上交代复旦
[00:02:11 - 00:02:14] 华东十大四个学生毕业就给上海户口
[00:02:14 - 00:02:15] 这个学生毕业没有上海户口
[00:02:15 - 00:02:17] 你得自己去争取
[00:02:17 - 00:02:18] 你说老师
[00:02:18 - 00:02:21] 我能上华东十大的什么专业社会工作
[00:02:21 - 00:02:22] 那你放哪个呢?
[00:02:22 - 00:02:25] 不肯定選華學
[00:02:26 - 00:02:27] 但很多家長都那麼想
[00:02:28 - 00:02:31] 他以為學什麼專業就幹什麼專業
[00:02:32 - 00:02:33] 就給爆了華學
[00:02:33 - 00:02:34] 看到了嗎
[00:02:34 - 00:02:36] 639分到640分
[00:02:37 - 00:02:38] 你懂於不懂
[00:02:38 - 00:02:41] 給孩子報紋資源同分不同名
[00:02:42 - 00:02:43] 孩子那麼努力
[00:02:43 - 00:02:44] 你最後資源沒報好
[00:02:44 - 00:02:45] 白八
