BV号：BV1JJ411R762
标题：BV1JJ411R762
链接：https://www.bilibili.com/video/BV1JJ411R762
识别语言：zh
语言置信度：1
分段数：405
生成时间：2026-04-04 05:11:20

[00:00:02 - 00:00:03] 诶 你的
[00:00:03 - 00:00:04] 大胆
[00:00:04 - 00:00:05] 哈哈哈哈
[00:00:05 - 00:00:06] 可以
[00:00:06 - 00:00:09] 你看 我要求发乎我主持人的本质能力
[00:00:09 - 00:00:11] 我们本期强大的嘉宾是张雪豐老师
[00:00:11 - 00:00:12] 哈哈哈哈
[00:00:12 - 00:00:13] 能不能猜出来我跟邵承鄞老师
[00:00:13 - 00:00:14] 咱们两个
[00:00:14 - 00:00:16] 我们两个谁年龄大
[00:00:16 - 00:00:17] 这很用猜吗
[00:00:17 - 00:00:19] 就现在说的比较严重的词就异语啊
[00:00:19 - 00:00:22] 我真的就是难受过到那种重处
[00:00:22 - 00:00:22] 是吗
[00:00:22 - 00:00:24] 你真看不出来
[00:00:24 - 00:00:33] 大家好
[00:00:33 - 00:00:37] 欢迎各位收看小型豆腑脱口秀大开眼界
[00:00:37 - 00:00:38] 我是让学习变得更快乐的
[00:00:38 - 00:00:41] 张雪峰老师的朋友上生意
[00:00:41 - 00:00:43] 欢迎各位关注大开眼界
[00:00:43 - 00:00:45] 了解不同职业背后的故事
[00:00:45 - 00:00:47] 为您的职业选择提供更多帮助
[00:00:47 - 00:00:49] 哎 你的大胆
[00:00:49 - 00:00:50] 哈哈哈哈
[00:00:50 - 00:00:51] 可以
[00:00:51 - 00:00:54] 你看 我要求发挥我主持人的本质能力
[00:00:54 - 00:00:56] 体会一下张老师这个开头有多难
[00:00:56 - 00:00:57] 可以的 确实难度还很大
[00:00:57 - 00:00:59] 我们本期强大在嘉宾
[00:00:59 - 00:00:59] 是张雪峰老师
[00:00:59 - 00:01:01] 哈哈哈哈
[00:01:01 - 00:01:02] 这期聊什么张老师
[00:01:02 - 00:01:04] 首先我觉得要为大家猜一猜
[00:01:04 - 00:01:05] 就是能不能猜出来
[00:01:05 - 00:01:06] 我跟邵晨仪老师咱们两个
