BV号：BV1FJ411d7vq
标题：BV1FJ411d7vq
链接：https://www.bilibili.com/video/BV1FJ411d7vq
识别语言：zh
语言置信度：1
分段数：477
生成时间：2026-04-04 05:19:51

[00:00:02 - 00:00:34] 大家好欢迎收看小型杜比托火秀大开演戒
[00:00:34 - 00:00:36] 我是让许细贝恩的更快乐的张雪锋老师
[00:00:36 - 00:00:40] 关注大开眼界了解不同职业背后的故事
[00:00:40 - 00:00:42] 为你的专业选择提供更多的帮助
[00:00:42 - 00:00:44] 我们本期请到的嘉宾依然是我们
[00:00:44 - 00:00:47] 庄电视台著名的体育解说
[00:00:47 - 00:00:48] 助职人我们的邵称伊老师
[00:00:48 - 00:00:49] 谢谢张老师
[00:00:49 - 00:00:51] 很高兴的邵老师的作客
[00:00:51 - 00:00:53] 邵老师你看上一期我们说到
[00:00:53 - 00:00:55] 你想干我这个职业对吧
[00:00:55 - 00:00:57] 我还想干你这个职业
[00:00:57 - 00:00:58] 你看
[00:00:58 - 00:01:01] 咱们就给对方哪个职场
[00:01:01 - 00:01:01] 你可以啊
[00:01:01 - 00:01:03] 就是说看看对方职业
[00:01:03 - 00:01:06] 你觉得哪些东西里面有困难
[00:01:06 - 00:01:07] 我先问你
[00:01:07 - 00:01:09] 就是我想干这个提语解说
[00:01:09 - 00:01:10] 尤其是组织解说
[00:01:10 - 00:01:13] 你觉得哪些困难可能是我面对要克服的
[00:01:13 - 00:01:14] 张老师你照过镜子吗
[00:01:16 - 00:01:18] 你还不 你说
[00:01:18 - 00:01:20] 我第一次我是卡洛里说一说
[00:01:20 - 00:01:24] 你们说球的时候又不把脸放在那个角落里边
[00:01:24 - 00:01:26] 对我们还是有出境的需求
[00:01:26 - 00:01:26] 但是我觉得
[00:01:26 - 00:01:27] 还可以
[00:01:27 - 00:01:28] 对吧
[00:01:28 - 00:01:29] 我没告诉你
[00:01:29 - 00:01:31] 因为说看起来就要对
[00:01:31 - 00:01:32] 不是
[00:01:32 - 00:01:33] 对吧
[00:01:33 - 00:01:34] 那你出了这个意外
[00:01:34 - 00:01:35] 是这样
[00:01:35 - 00:01:36] 首先我觉得
[00:01:36 - 00:01:37] 干我们这个行
[00:01:37 - 00:01:39] 它的难度在于说
[00:01:39 - 00:01:41] 瞬间反应
[00:01:41 - 00:01:43] 就是你要的是语言的瞬间
[00:01:43 - 00:01:44] 组织和表达能力
[00:01:44 - 00:01:46] 这个就是说你看到一个画面之后
[00:01:46 - 00:01:48] 你迅速过脑子
[00:01:48 - 00:01:48] 然后怎么把它
[00:01:48 - 00:01:50] 变成语言给它表达出来
[00:01:50 - 00:01:51] 我们曾经有一个例子
[00:01:51 - 00:01:54] 就是说有一个著名的解说员
[00:01:54 - 00:01:55] 他是看到的是A
[00:01:55 - 00:01:56] 想的是B
[00:01:56 - 00:01:57] 说的是C
[00:01:57 - 00:01:58] 大家听的是D
[00:01:58 - 00:01:59] 对对对
[00:01:59 - 00:01:59] 我就是知道
[00:01:59 - 00:02:01] 我就是
[00:02:01 - 00:02:02] 我就是
[00:02:02 - 00:02:03] 这只是一个玩笑和比喻
[00:02:03 - 00:02:04] 但是这什么呢
[00:02:04 - 00:02:07] 其实他告诉你这个体育解说和体育主持的难度在哪
[00:02:07 - 00:02:12] 你在高强度的这种高压力的情况底下去连续表述的时候
[00:02:12 - 00:02:14] 不出错我认为是不可能的
[00:02:14 - 00:02:17] 就是我们每个人都说错过只是多和少的问题
[00:02:17 - 00:02:17] 对
[00:02:17 - 00:02:19] 在这种压力情况底下
[00:02:19 - 00:02:21] 你要在比赛快速紧张的情况底下
[00:02:21 - 00:02:22] 很快的过脑子
[00:02:22 - 00:02:25] 然后把这个语言又尽可能说的剪裂精彩
[00:02:25 - 00:02:26] 又表达说的你的意思
[00:02:26 - 00:02:27] 不出错真的是不可能的
[00:02:27 - 00:02:29] 有的时候你出错可能没意识到
[00:02:29 - 00:02:29] 你知道吗
[00:02:29 - 00:02:31] 你这口误你说完
[00:02:31 - 00:02:33] 是红王有爱我或者发私信给我
[00:02:33 - 00:02:34] 我说你把什么说成什么
[00:02:34 - 00:02:35] 我说怎么可能
[00:02:35 - 00:02:36] 然后你去一份
[00:02:36 - 00:02:38] 那是确实
[00:02:38 - 00:02:38] 那样
[00:02:38 - 00:02:39] 对
[00:02:39 - 00:02:40] 你根本没有意识到
[00:02:40 - 00:02:41] 这个确实是
[00:02:41 - 00:02:42] 所以对于我们来说
[00:02:42 - 00:02:44] 零误差几乎是不可能的
[00:02:44 - 00:02:45] 你只能说减小误差
[00:02:45 - 00:02:46] 另外是什么呢
[00:02:46 - 00:02:48] 就是我上一期咱们也聊到过
[00:02:48 - 00:02:50] 这个行业门槛其实不搞
[00:02:50 - 00:02:52] 入门不难
[00:02:52 - 00:02:53] 但是你要做好了
[00:02:53 - 00:02:54] 是一辈子的事
[00:02:54 - 00:02:56] 这个逼自己成长的过程特别难
[00:02:56 - 00:02:58] 你觉得这个最难的
[00:02:58 - 00:02:58] 对
[00:02:58 - 00:02:59] 我觉得你这个行业难
[00:02:59 - 00:03:01] 第一就是情侣控制啊
[00:03:01 - 00:03:02] 第一
[00:03:02 - 00:03:06] 第二点呢就是当比赛踢得特别无聊的时候
[00:03:06 - 00:03:07] 没有招花有多多
[00:03:07 - 00:03:08] 你说对了
[00:03:08 - 00:03:11] 我不知道你们再遇到这种比赛的时候你们就怎么办
[00:03:11 - 00:03:13] 我们曾经也有每个处理票是它不一样
[00:03:13 - 00:03:16] 有的你就非常无聊的时候场上场面
[00:03:16 - 00:03:17] 把一传给BB 传给C总是可以说的
[00:03:17 - 00:03:18] 对对对
[00:03:18 - 00:03:20] 另外一线的车单有没的讲故事
[00:03:20 - 00:03:22] 讲八卦这也是一种路子
[00:03:22 - 00:03:24] 你讲比如说秋元谁搞外遇了
[00:03:24 - 00:03:26] 那个秋元什么私生子了
[00:03:26 - 00:03:29] 谁跟谁是原来的情敌了
[00:03:29 - 00:03:30] 这种也有的
[00:03:30 - 00:03:30] 对吧
[00:03:30 - 00:03:31] 還有一種路子
[00:03:32 - 00:03:33] 講歷史
[00:03:33 - 00:03:35] 比如說這兩個球隊
[00:03:35 - 00:03:36] 原來這兩個城市有什麼歷史
[00:03:36 - 00:03:37] 延展到文化層面
[00:03:37 - 00:03:38] 包括這兩個
[00:03:38 - 00:03:39] 如果說玩樂
[00:03:39 - 00:03:40] 兩個國家隊梯
