BV号：BV1QM4y1Y7TS
标题：BV1QM4y1Y7TS
链接：https://www.bilibili.com/video/BV1QM4y1Y7TS
识别语言：zh
语言置信度：1
分段数：79
生成时间：2026-04-03 15:08:27

[00:00:00 - 00:00:03] 要說最近這段時間哪所高校最火
[00:00:03 - 00:00:05] 答案毫無疑問是北京航空航天大學了
[00:00:05 - 00:00:09] 你看先是大飛機C929商業手航
[00:00:09 - 00:00:11] 然後又是神石六航天員
[00:00:11 - 00:00:15] 首位核載專家貴海潮火遍全網
[00:00:15 - 00:00:16] 這一中宣傳下來
[00:00:16 - 00:00:18] 北航它的關注度能夠高嗎
[00:00:18 - 00:00:20] 其實關注張老師的考生
[00:00:20 - 00:00:21] 大家都應該知道
[00:00:21 - 00:00:23] 北航這個學校
[00:00:23 - 00:00:25] 在每年都在咱們的直播家裡面
[00:00:25 - 00:00:26] 出現的頻率都很高
[00:00:26 - 00:00:28] 那我們今天就順勢的講一講
[00:00:28 - 00:00:31] 好多人对北航的印象一直都是航空航天抢
[00:00:31 - 00:00:35] 的确在这个领域人家已经做到了航业顶尖了
[00:00:35 - 00:00:40] 航空航天工程学科已经连续五年被软科评为世界第一
[00:00:40 - 00:00:42] 产出的成果那是不计其数
[00:00:42 - 00:00:44] 但人家北航可不只有这一个网牌
[00:00:44 - 00:00:46] 除了航空与航以外
[00:00:46 - 00:00:49] 像仪器 材料 软件工程 力学
[00:00:49 - 00:00:52] 控制科学业工程 计算机 交通律书
[00:00:52 - 00:00:54] 生物医学 管理科学业工程
[00:00:54 - 00:00:56] 这些学科的实力那都是顶尖的
[00:00:56 - 00:00:58] 专业设置上的光国家级省部级的
[00:00:58 - 00:01:00] 一流专业就有60个
[00:01:00 - 00:01:02] 学科专业这一块是没得说
[00:01:02 - 00:01:05] 直到考生科家长都很关心就业的问题
[00:01:05 - 00:01:06] 我也帮大家了解过了
[00:01:06 - 00:01:09] 这几年北航的就业率和生造率都很不错
[00:01:09 - 00:01:12] 尤其是这个生造率已经超过了70%了
[00:01:12 - 00:01:15] 在全国高校里面那是妥妥的前三
[00:01:15 - 00:01:17] 就业方面从北航出来的学生
[00:01:17 - 00:01:19] 大部分都能留在北京
[00:01:19 - 00:01:20] 每年有差不多1¾的人
[00:01:20 - 00:01:23] 能够进入到航空航天相关领域
[00:01:23 - 00:01:24] 还有像IT
[00:01:24 - 00:01:25] 金融
[00:01:25 - 00:01:27] 通信、电力、汽车、能源
[00:01:27 - 00:01:28] 直线行业里边
[00:01:28 - 00:01:30] 有很多非常有的企业
[00:01:30 - 00:01:32] 对北航倾赖有加
[00:01:32 - 00:01:32] 最后呢
[00:01:32 - 00:01:34] 赵老师先给大家再画几个重点
[00:01:34 - 00:01:36] 大家可以在报考之前留心一下
[00:01:36 - 00:01:39] 首先就是它的审源学院
[00:01:39 - 00:01:42] 包括拔尖计划和未来空天领军计划
[00:01:42 - 00:01:43] 两个部分
[00:01:43 - 00:01:45] 而且都是本国贯通知的培养
[00:01:45 - 00:01:47] 你只要达到了培养标准
[00:01:47 - 00:01:49] 就能够保研直播
[00:01:49 - 00:01:51] 咱们先说拔尖计划
[00:01:51 - 00:01:53] 北航一共获批了五个拔尖基地
[00:01:53 - 00:01:56] 包括像计算机 力学 数学 物理化学
[00:01:56 - 00:01:59] 除了计算机以外都提供双学位的培养方案
[00:01:59 - 00:02:02] 学生以后那都是附和型人才
[00:02:02 - 00:02:05] 再说未来空天领军计划
[00:02:05 - 00:02:06] 除了往年的那些专业以外
[00:02:06 - 00:02:10] 今年还新增了人工智能和网络空间安全两个专业
[00:02:10 - 00:02:12] 感兴趣的同学可以重点关注
[00:02:12 - 00:02:15] 第二就是它的这个中外合作办学
[00:02:15 - 00:02:19] 北航和法国国立民航大学合作的中法航空学院
[00:02:19 - 00:02:21] 今年就正式开始召生了
[00:02:21 - 00:02:22] 而且人家实行的是
[00:02:22 - 00:02:25] 本朔贯通6年坦信全是
[00:02:25 - 00:02:28] 还是中法英三语教学
[00:02:28 - 00:02:30] 可以说各方面资源都相当的不错
[00:02:30 - 00:02:31] 最后还有一个
[00:02:31 - 00:02:33] 一工交叉实验班
[00:02:33 - 00:02:35] 这是北航协和一块半的
[00:02:35 - 00:02:37] 实行4加4的培养模式
[00:02:37 - 00:02:40] 就是说从北航本科毕业以后
[00:02:40 - 00:02:42] 可以直接去协和读博
[00:02:42 - 00:02:44] 北航的功科加上协和的医学
[00:02:44 - 00:02:46] 简直就是墙上加强
[00:02:46 - 00:02:46] 总之一句话
[00:02:46 - 00:02:48] 像北航这样一所
[00:02:48 - 00:02:49] 行业顶尖
[00:02:49 - 00:02:51] 就业深造又有保证的大学
[00:02:51 - 00:02:52] 大家千万不要错过了
