BV号：BV1VtkKB2EB7
标题：BV1VtkKB2EB7
链接：https://www.bilibili.com/video/BV1VtkKB2EB7
识别语言：zh
语言置信度：1
分段数：121
生成时间：2026-04-03 00:39:07

[00:00:00 - 00:00:03] 我忘了是哪位美国的副总统
[00:00:03 - 00:00:04] 就是在N多年前的
[00:00:04 - 00:00:06] 就是创国的
[00:00:06 - 00:00:08] 他说我必须学习政治和展现
[00:00:08 - 00:00:09] 这样的话
[00:00:09 - 00:00:12] 我的孩子就可以能学习工业
[00:00:12 - 00:00:13] 学习制造
[00:00:13 - 00:00:16] 把我的孙子就能学习美术
[00:00:16 - 00:00:17] 调出艺术
[00:00:17 - 00:00:18] 因为大家你要知道
[00:00:18 - 00:00:20] 其实他最刚开始是什么
[00:00:20 - 00:00:22] 他是农业是一产
[00:00:22 - 00:00:23] 工业是二产
[00:00:23 - 00:00:25] 艺术类是三产
[00:00:25 - 00:00:26] 而三产是什么
[00:00:26 - 00:00:27] 三产是服务业
[00:00:27 - 00:00:30] 服务业的发展前提是需要什么呢
[00:00:30 - 00:00:32] 服务业的发展前提需要
[00:00:32 - 00:00:34] 它就是需要才是经济发展
[00:00:34 - 00:00:37] 你没有钱去享受艺术类
[00:00:37 - 00:00:38] 你说那么多干嘛呢
[00:00:38 - 00:00:38] 对吧
[00:00:38 - 00:00:40] 你最后你嘎巴嘎巴嘎巴
[00:00:40 - 00:00:42] 给他一顿学术
[00:00:42 - 00:00:43] 我们学校这个专业很好
[00:00:43 - 00:00:44] 然后的话怎么怎么样
[00:00:44 - 00:00:46] 到底有没有当地经济不行
[00:00:46 - 00:00:47] 对吧
[00:00:47 - 00:00:48] 当地经济不行
[00:00:48 - 00:00:49] 大家你要知道有的学校
[00:00:49 - 00:00:52] 它最后它是为了学术而去做学术的
[00:00:52 - 00:00:54] 有的学校是为了学术而学术
[00:00:54 - 00:00:55] 什么叫为了学术而学术呢
[00:00:55 - 00:00:57] 就专门为了做学术排名
[00:00:57 - 00:00:58] 知道吧
[00:00:58 - 00:00:59] 他专门为了做学术排名
[00:00:59 - 00:01:00] 而有的学校呢
[00:01:00 - 00:01:02] 他这种专业他排名不是很干净
[00:01:02 - 00:01:04] 但是人家就业是很不错的
[00:01:04 - 00:01:05] 因为人当地经济比较高
[00:01:05 - 00:01:06] 你当地经济不发达
[00:01:06 - 00:01:07] 你没有用
[00:01:07 - 00:01:08] 我跟你大家这样说
[00:01:08 - 00:01:10] 文科专业都是这样
[00:01:10 - 00:01:10] 知道吧
[00:01:10 - 00:01:12] 不光是美术类设计的
[00:01:12 - 00:01:14] 所有的文科专业都是这样
[00:01:14 - 00:01:15] 比如说各位家长
[00:01:15 - 00:01:15] 比如说法学
[00:01:15 - 00:01:18] 你以为法学不注重地域
[00:01:18 - 00:01:18] 你说老师啊
[00:01:18 - 00:01:20] 法学那个学生法学好
[00:01:20 - 00:01:21] 但是他经济欠法大
[00:01:21 - 00:01:23] 我要我我就不去
[00:01:23 - 00:01:23] 为什么
[00:01:23 - 00:01:24] 原因非常简单
[00:01:24 - 00:01:26] 没有那么多的法律需求
[00:01:26 - 00:01:29] 大家你想想法律需求增加是因为什么
[00:01:29 - 00:01:33] 以人多人多事就多
[00:01:33 - 00:01:34] 我提你一脚了你踩我一脚了
[00:01:34 - 00:01:37] 我撞你一下子你顶我一下是吧
[00:01:37 - 00:01:39] 人多它的法律就分一定多
[00:01:39 - 00:01:40] 第二企业多
[00:01:40 - 00:01:41] 对吧
[00:01:41 - 00:01:43] 不管说是从民事上还是从经济上
[00:01:43 - 00:01:45] 还是民商上经济法上
[00:01:45 - 00:01:45] 对吧
[00:01:45 - 00:01:46] 人多企业多
[00:01:46 - 00:01:49] 那你想想什么地方人多企业多
[00:01:49 - 00:01:51] 已经是经济法大代理区人多企业多
[00:01:51 - 00:01:52] 对吗
[00:01:52 - 00:01:54] 你说老师我是那个好学校的
[00:01:54 - 00:01:56] 我到当地去不好意思
