BV号：BV1rQ4y167sh
标题：BV1rQ4y167sh
链接：https://www.bilibili.com/video/BV1rQ4y167sh
识别语言：zh
语言置信度：1
分段数：58
生成时间：2026-04-03 22:15:56

[00:00:01 - 00:00:03] 物理计划也必须改
[00:00:03 - 00:00:05] 离去计划
[00:00:05 - 00:00:11] 我们家孩子
[00:00:11 - 00:00:12] 物理化所的定义
[00:00:12 - 00:00:21] 一半的时候和报本
[00:00:21 - 00:00:24] 趋迁刚好能够
[00:00:24 - 00:00:29] 二比一大学的口气
[00:00:29 - 00:00:30] 一比一化二比一
[00:00:30 - 00:00:40] 就没有考试的计划
[00:00:40 - 00:00:41] 物理理性的计划
[00:00:41 - 00:00:57] 我们大家这种话
[00:00:57 - 00:00:58] 理解这么理解
[00:00:58 - 00:00:59] 有没有问题
[00:00:59 - 00:00:59] 没有问题
[00:00:59 - 00:01:00] 这是正确的
[00:01:00 - 00:01:01] 因为一个物理计划的时候
[00:01:01 - 00:01:03] 就是物理一本书
[00:01:03 - 00:01:03] 历史一本书
[00:01:03 - 00:01:04] 能明白吗
[00:01:04 - 00:01:06] 但是大家不理解第二次的意思
[00:01:06 - 00:01:07] 第二次的意思就是什么呢
[00:01:07 - 00:01:08] 大家注意看
[00:01:08 - 00:01:18] 下边课期间应该看一看
[00:01:18 - 00:01:20] 但是
[00:01:20 - 00:01:22] 真的我跟大家說一下這個選球球在哪兒場
[00:01:22 - 00:01:24] 選球球在
[00:01:25 - 00:01:27] 聊天上這裏聽到官方網站大家注意
[00:01:27 - 00:01:29] 聊天上這裏聽到官方網站
[00:01:29 - 00:01:31] 你直接在官方網站
[00:01:31 - 00:01:33] 搜索來怎麼搜索
[00:01:33 - 00:01:34] 選考科
[00:01:35 - 00:01:36] 你就搜到了這個部件
[00:01:36 - 00:01:38] 大家看到這裏有首選科目標準
[00:01:38 - 00:01:40] 首選科目標準是三個學校
[00:01:40 - 00:01:43] 僅物理僅歷史或物理均科
[00:01:43 - 00:01:44] 大家能聽得到
[00:01:44 - 00:01:45] 後面有選球球有的是
[00:01:45 - 00:01:47] 不錯選球球有的是
[00:01:47 - 00:01:50] 必化有的是化和省有的是化和省
[00:01:50 - 00:01:51] 有的是还要做别的选择的时候
[00:01:51 - 00:01:52] 大家能理解了
[00:01:52 - 00:01:53] 大家注意看
[00:01:53 - 00:01:55] 这里边的这条码
[00:01:55 - 00:01:56] 这个武力和历史军可
[00:01:57 - 00:01:59] 这个是什么意思呢
[00:01:59 - 00:02:00] 各位大家请注意
[00:02:00 - 00:02:01] 这句话的意思是
[00:02:01 - 00:02:04] 只要它在当年做选择的时候
[00:02:04 - 00:02:07] 就所说物力军可的话
[00:02:07 - 00:02:09] 它就必须给物力计划
[00:02:09 - 00:02:11] 也必须给
[00:02:11 - 00:02:16] 那结果呢
[00:02:16 - 00:02:17] 大家注意看下边这个
[00:02:18 - 00:02:20] 就放上上一个结果
[00:02:20 - 00:02:21] 什么结果
[00:02:21 - 00:02:23] 很多学校和很多的专业
[00:02:23 - 00:02:25] 去年在遥远球
[00:02:25 - 00:02:30] 指招李克强选历史城能报
