BV号：BV1bT411T7VE
标题：BV1bT411T7VE
链接：https://www.bilibili.com/video/BV1bT411T7VE
识别语言：zh
语言置信度：1
分段数：34
生成时间：2026-04-03 17:30:37

[00:00:00 - 00:00:02] 你们都知道我们考研报名的官方网站吧
[00:00:02 - 00:00:04] 你要知道那个网站它有一个很神奇的功能
[00:00:04 - 00:00:08] 它可以帮你找到你那个专业全国所有的招生院校
[00:00:08 - 00:00:10] 比如说你要考某一个专业
[00:00:10 - 00:00:12] 今年全国招生院校一共是200所
[00:00:12 - 00:00:14] 然后你这是今年9月份去搜
[00:00:14 - 00:00:17] 你就会发现它有200所院校在招生
[00:00:17 - 00:00:20] 然后的话你明年9月份你在考研报名那一年
[00:00:20 - 00:00:21] 你再去搜
[00:00:21 - 00:00:24] 然后你会发现有210所院校在招生
[00:00:24 - 00:00:26] 说明有10所学校是今年新增的
[00:00:26 - 00:00:30] 你去想一下9月份还有多少人没有订院校
[00:00:30 - 00:00:32] 当这个学校今年刚刚发布招行点账
[00:00:32 - 00:00:34] 说我们今年是第一年招生
[00:00:34 - 00:00:37] 会有多少人没有订院校呢
[00:00:37 - 00:00:41] 但是你关注了今年第一年招生院校
[00:00:41 - 00:00:43] 那么报的人一般不会特别多
[00:00:43 - 00:00:44] 大家听懂了吗
[00:00:44 - 00:00:46] 你今年9月底去搜的时候
[00:00:46 - 00:00:49] 你搜到的是今年的招生院校名单
[00:00:49 - 00:00:51] 然后你考研那一年去搜
[00:00:51 - 00:00:54] 你搜到的是你考研那一年的
[00:00:54 - 00:00:56] 你这个专业的招生院校名单
[00:00:56 - 00:00:57] 这样的话你做对比
[00:00:57 - 00:00:59] 你就看到了哪些学校
[00:00:59 - 00:01:02] 今年在你这个专业上第一年周末
[00:01:02 - 00:01:04] 尤其像一些R198部高手
[00:01:04 - 00:01:06] 看在你这个专业上今年第一年周末
[00:01:06 - 00:01:07] 一般情况下
[00:01:07 - 00:01:08] 考试的难度
[00:01:08 - 00:01:09] 考研难度
[00:01:09 - 00:01:10] 上岸的难度
[00:01:10 - 00:01:11] 不会那么大
[00:01:11 - 00:01:12] 来快夸张老师是个小机灵鬼
