BV号：BV1jiPjzqEkj
标题：BV1jiPjzqEkj
链接：https://www.bilibili.com/video/BV1jiPjzqEkj
识别语言：zh
语言置信度：1
分段数：107
生成时间：2026-04-03 00:10:14

[00:00:00 - 00:00:03] 一般情话下强级是给你往八年方向培养的
[00:00:03 - 00:00:04] 我是这样子的
[00:00:04 - 00:00:06] 如果说你要为了读985去报强级
[00:00:06 - 00:00:08] 我个人觉得没必要
[00:00:08 - 00:00:11] 如果说你要是为了报985报强级
[00:00:11 - 00:00:12] 我个人觉得没必要
[00:00:12 - 00:00:12] 但是你说老师
[00:00:12 - 00:00:14] 我确实是想在这个专业上
[00:00:14 - 00:00:16] 一直科研下去研究下去
[00:00:16 - 00:00:19] 然后的话我要花八年时间去读到博士毕业
[00:00:19 - 00:00:20] 那是你自己的选择
[00:00:20 - 00:00:22] 那你有这个理想就好
[00:00:22 - 00:00:24] 因为加拿尼要知道博士这个玩意不太好毕业
[00:00:24 - 00:00:25] 我再给大家说一下强级
[00:00:25 - 00:00:27] 他的一般的培养模式是什么样
[00:00:27 - 00:00:28] 强级一般人说
[00:00:28 - 00:00:30] 为什么8年就给你毕业了呢
[00:00:30 - 00:00:31] 博士就能毕业呢
[00:00:31 - 00:00:32] 大家你要注意一下
[00:00:32 - 00:00:34] 正常读博士的话是
[00:00:34 - 00:00:36] 本次硕三博五
[00:00:36 - 00:00:37] 正常是这样
[00:00:37 - 00:00:39] 大家你算本次硕三博五
[00:00:39 - 00:00:39] 这是多少年
[00:00:39 - 00:00:40] 是12年
[00:00:40 - 00:00:41] 那我8年能毕业
[00:00:41 - 00:00:43] 为什么那8年能毕业呢
[00:00:43 - 00:00:44] 加上你要知道他发毕业证
[00:00:44 - 00:00:46] 不是说说我看你这个孩子
[00:00:46 - 00:00:47] 你当年是8年毕业
[00:00:47 - 00:00:48] 我承诺你8年毕业了
[00:00:48 - 00:00:48] 我就给你毕业证
[00:00:48 - 00:00:50] 博士毕业不是这样子的
[00:00:50 - 00:00:52] 你得搞到一定的科研
[00:00:52 - 00:00:53] 你得有科研能力
[00:00:53 - 00:00:56] 你得在SCI上几区发表什么样的论文
[00:00:56 - 00:00:57] 我才能让你毕业
[00:00:57 - 00:00:58] 你到最后你说老师
[00:00:58 - 00:01:00] 我读了强基
[00:01:00 - 00:01:03] 强基是前三年都在上本课阶段的基础专业课
[00:01:03 - 00:01:05] 然后第四年的手务上研医的课
[00:01:05 - 00:01:07] 如果大家你读研究中的话
[00:01:07 - 00:01:09] 你会发现研究中的课基本上就一年
[00:01:09 - 00:01:10] 研医第一年都是在上课
[00:01:10 - 00:01:13] 研二研三的时候是跟老师搞项目搞科研
[00:01:13 - 00:01:15] 那我现在我是争取在四年间
[00:01:15 - 00:01:18] 把本课药上的课和硕士药上的课给你讲完
[00:01:18 - 00:01:19] 顺带再做点科研
[00:01:19 - 00:01:21] 然后从第五年开始的话
