BV号：BV1vT5XzbECt
标题：BV1vT5XzbECt
链接：https://www.bilibili.com/video/BV1vT5XzbECt
识别语言：zh
语言置信度：1
分段数：77
生成时间：2026-04-03 05:09:58

[00:00:00 - 00:00:02] 就是快捷将来考研究生的话
[00:00:02 - 00:00:04] 他是有高速这门课程的
[00:00:04 - 00:00:06] 如果是学术是有高速的
[00:00:06 - 00:00:07] 如果是专术是没有的
[00:00:07 - 00:00:08] 哦 专术
[00:00:08 - 00:00:10] 像咱就奋着他就业去的
[00:00:10 - 00:00:12] 一般是不是要赌专术
[00:00:12 - 00:00:12] 加两
[00:00:12 - 00:00:13] 其实我这么跟你说
[00:00:13 - 00:00:15] 其实财快最重要的是经验
[00:00:15 - 00:00:15] 经验
[00:00:15 - 00:00:18] 对 财快最重要的是你的经验和你的证
[00:00:18 - 00:00:20] 比如说你的证
[00:00:20 - 00:00:21] 你有没有相应的证
[00:00:21 - 00:00:22] 第二的话就是你的经验
[00:00:22 - 00:00:24] 经验是非常非常重要的
[00:00:24 - 00:00:25] 财快的学校其实不重要
[00:00:25 - 00:00:26] 学历也不重要
[00:00:26 - 00:00:28] 经验是最重要的
[00:00:28 - 00:00:30] 我前天在长沙
[00:00:30 - 00:00:30] 然后的话呢
[00:00:30 - 00:00:32] 就是有一个家长去问那个问题
[00:00:32 - 00:00:33] 就问得很有意思
[00:00:33 - 00:00:35] 说张掌师我们家学财务管理的
[00:00:35 - 00:00:38] 然后的话希望通过学体去变现
[00:00:38 - 00:00:40] 然后然后写还特别有意思
[00:00:40 - 00:00:42] 我常常那个我不知道前天在长沙
[00:00:42 - 00:00:43] 有没有家长在现场的
[00:00:43 - 00:00:45] 那个孩子那个家长
[00:00:45 - 00:00:47] 居然还写了一个具体的年薪
[00:00:47 - 00:00:48] 要年薪70万以上
[00:00:49 - 00:00:51] 就是我也不知道那家长怎么想的
[00:00:51 - 00:00:53] 他提问的时候就直接写了
[00:00:53 - 00:00:55] 说张掌师我们家学财务管理的
[00:00:55 - 00:00:57] 然后期望年薪70万以上
[00:00:57 - 00:00:59] 我說你知道學財務管理年薪70萬以上
[00:00:59 - 00:01:00] 大概是個什麼概念
[00:01:00 - 00:01:02] 財務管理專業年薪70萬以上
[00:01:02 - 00:01:04] 大概有可能會有這麼幾個港元
[00:01:04 - 00:01:09] 第一的話就是上市公司的財務副總級以上
[00:01:09 - 00:01:10] 他可能是年薪70萬以上
[00:01:10 - 00:01:13] 第二的話是住以上市公司的財務總
[00:01:13 - 00:01:15] 大概是在年薪70萬以上
[00:01:15 - 00:01:18] 第三是在會計師事務所當中
[00:01:18 - 00:01:23] 有著大概10年能夠帶團隊的審計經理
[00:01:23 - 00:01:25] 大概是在年薪70萬以上
[00:01:25 - 00:01:27] 那这三个岗位不同点
[00:01:27 - 00:01:29] 就是他们干的工作是不同的
[00:01:29 - 00:01:30] 或者干的行业是不同的
[00:01:30 - 00:01:33] 相同点就是经验
[00:01:33 - 00:01:34] 所以说的话
[00:01:34 - 00:01:36] 这个行当其实最重要的就是经验
[00:01:36 - 00:01:37] 很重要
[00:01:37 - 00:01:40] 你处理过大型公司的财务的
[00:01:40 - 00:01:41] 就是某一类公司
[00:01:41 - 00:01:44] 就比如说我是制造型企业的财务
[00:01:44 - 00:01:47] 或者说我是一个教育类企业的财务
[00:01:47 - 00:01:49] 因为他财务他其实是分行业的
[00:01:49 - 00:01:51] 每一个行业和每一个行业的财务账
[00:01:51 - 00:01:52] 他的做法也好
[00:01:52 - 00:01:54] 它的暴障方法也好
[00:01:54 - 00:01:55] 处理方式也好
[00:01:55 - 00:01:56] 它都是不一样的
[00:01:56 - 00:01:56] 我给你这样说
[00:01:56 - 00:01:57] 你才快
[00:01:57 - 00:01:58] 你看着你是会借港
[00:01:58 - 00:02:00] 你从一个传统制造业
[00:02:00 - 00:02:02] 到一个互联网企业
[00:02:02 - 00:02:05] 它的财务障是完全不一样的
[00:02:05 - 00:02:06] 它什么东西能暴
[00:02:06 - 00:02:07] 什么东西不能暴动
[00:02:07 - 00:02:08] 完全不一样
[00:02:08 - 00:02:10] 你在一个行业内的经验
[00:02:10 - 00:02:11] 是非常非常重要的
[00:02:11 - 00:02:13] 它其实真的不是看雪立壳
[00:02:13 - 00:02:13] 看学校
[00:02:13 - 00:02:15] 它经验是最重要的
