BV号：BV1Hr4y1Q7GX
标题：BV1Hr4y1Q7GX
链接：https://www.bilibili.com/video/BV1Hr4y1Q7GX
识别语言：zh
语言置信度：1
分段数：53
生成时间：2026-04-03 21:26:10

[00:00:01 - 00:00:06] 欢迎
[00:00:06 - 00:00:08] 人生成功路 志愿第一步
[00:00:08 - 00:00:10] 大家好 我是让学习变得更快乐的
[00:00:10 - 00:00:12] 高考志愿填爆老师张雪峰老师
[00:00:12 - 00:00:14] 欢迎雪峰老朋友
[00:00:14 - 00:00:16] 我们首先来问一下我们的老朋友雪峰
[00:00:16 - 00:00:17] 我们刚才看见
[00:00:17 - 00:00:19] 特别开心
[00:00:19 - 00:00:21] 这个可能 韩哥我们认识五年了
[00:00:21 - 00:00:24] 你都不知道我是教什么的老师
[00:00:24 - 00:00:25] 对
[00:00:25 - 00:00:27] 要别人报志愿是吧
[00:00:27 - 00:00:31] 对 原来我们做研究生招生考试的院校专业选择的指导
[00:00:31 - 00:00:32] 然后现在的话呢
[00:00:32 - 00:00:33] 就又开始做这个
[00:00:33 - 00:00:34] 高考志愿填爆的职道
[00:00:35 - 00:00:37] 那你平常主要是跟家长沟通
[00:00:37 - 00:00:39] 还是跟孩子们沟通的
[00:00:39 - 00:00:41] 家长和孩子都要去沟通
[00:00:41 - 00:00:43] 因为他们两个的意见
[00:00:43 - 00:00:44] 很有可能会不一样
[00:00:45 - 00:00:46] 首先第一个点呢
[00:00:46 - 00:00:48] 就是家长和考生
[00:00:48 - 00:00:50] 对于有一些志愿填爆的方式
[00:00:50 - 00:00:51] 了解是错误的
[00:00:51 - 00:00:53] 比如说现在我们全国
[00:00:53 - 00:00:54] 正在进行新高考的改革
[00:00:54 - 00:00:55] 很多家长比如说
[00:00:55 - 00:00:56] 每年高考志愿填爆
[00:00:56 - 00:00:57] 经常问的一个问题
[00:00:57 - 00:00:59] 就是学校更重要
[00:00:59 - 00:01:00] 还是专业更重要
[00:01:01 - 00:01:02] 实际上这个东西应该是
[00:01:02 - 00:01:04] 理工课就自然科学学课
[00:01:04 - 00:01:05] 专业更重要
[00:01:05 - 00:01:06] 社会人文学课
[00:01:06 - 00:01:07] 学校更重要
[00:01:07 - 00:01:09] 因为自然科学学课的
[00:01:09 - 00:01:11] 专业就业对口率比较高
[00:01:11 - 00:01:13] 但是如果说社会人文学课的话
[00:01:13 - 00:01:15] 实际上地域相对是最重要
[00:01:15 - 00:01:17] 其次是学校比较重要
[00:01:17 - 00:01:18] 雪方老师
[00:01:18 - 00:01:18] 你就说吧
[00:01:18 - 00:01:21] 武汉大学你觉得怎么样
[00:01:21 - 00:01:23] 武汉大学相当好
[00:01:23 - 00:01:26] 对
[00:01:26 - 00:01:27] 但是他不是说
[00:01:27 - 00:01:28] 所有的专业都很
[00:01:28 - 00:01:29] 因为武汉大学
[00:01:29 - 00:01:30] 新闻传播学你觉得怎么样
[00:01:30 - 00:01:31] 有你在
[00:01:31 - 00:01:32] 西洋
