BV号：BV1nK421v744
标题：BV1nK421v744
链接：https://www.bilibili.com/video/BV1nK421v744
识别语言：zh
语言置信度：1
分段数：78
生成时间：2026-04-03 11:40:53

[00:00:00 - 00:00:01] 我们报社员怎么样
[00:00:01 - 00:00:02] 要因人而異
[00:00:02 - 00:00:03] 因为你不同的家庭
[00:00:03 - 00:00:05] 你的需求是不一样的
[00:00:05 - 00:00:06] 所以说的话
[00:00:06 - 00:00:07] 你像你这种需求
[00:00:07 - 00:00:08] 要有这种
[00:00:08 - 00:00:11] 贴合你这种需求的选择方式
[00:00:11 - 00:00:14] 而不是说什么专业就一定好
[00:00:14 - 00:00:15] 什么专业是适合所有人
[00:00:15 - 00:00:16] 大家理解吗
[00:00:16 - 00:00:18] 不是什么专业一定好
[00:00:18 - 00:00:19] 而不是什么专业
[00:00:19 - 00:00:20] 一定是切合所有人
[00:00:20 - 00:00:22] 一定是要因人而異
[00:00:22 - 00:00:23] 你不同的家庭
[00:00:23 - 00:00:24] 不同的学生
[00:00:24 - 00:00:24] 不同的底子
[00:00:24 - 00:00:26] 应该是有不同的选择
[00:00:26 - 00:00:27] 他不是说什么东西一定好
[00:00:27 - 00:00:28] 什么东西一定不好
[00:00:28 - 00:00:29] 像刚才我们所说的
[00:00:29 - 00:00:31] 另外刚才那个河北那个茬长
[00:00:31 - 00:00:33] 你说张老师我让他学法学
[00:00:33 - 00:00:34] 你那个分支段你学法学
[00:00:34 - 00:00:35] 你将来考公监法
[00:00:35 - 00:00:37] 你想考大城市
[00:00:37 - 00:00:38] 那肯定卷得要命
[00:00:38 - 00:00:39] 学校档次又不高
[00:00:39 - 00:00:41] 你大概率可能考地方法院
[00:00:41 - 00:00:42] 会相对稍微容易一些
[00:00:42 - 00:00:44] 但是你小孩
[00:00:44 - 00:00:45] 心思宰致
[00:00:45 - 00:00:46] 心思那么高
[00:00:46 - 00:00:47] 对吧
[00:00:47 - 00:00:48] 他都不像在你这样的
[00:00:48 - 00:00:50] 你们家庭里边的企业当中
[00:00:50 - 00:00:51] 去担任什么样的角色
[00:00:51 - 00:00:53] 他想到更大的平台区
[00:00:53 - 00:00:53] 对吧
[00:00:53 - 00:00:55] 你给他学法学
[00:00:55 - 00:00:56] 然后到将来只能回来
[00:00:56 - 00:00:58] 他肯定他的行为上
[00:00:58 - 00:01:00] 会跟你的想法是粗入的
[00:01:00 - 00:01:01] 大家能理解吧
[00:01:01 - 00:01:03] 就刚才那个河北的那个文科
[00:01:03 - 00:01:04] 那个低分的学生
[00:01:04 - 00:01:05] 我为什么给他那个建议
[00:01:05 - 00:01:06] 我说你把财块放下门
[00:01:06 - 00:01:08] 不需要把法学放下门
[00:01:08 - 00:01:10] 这个规划叫做因人而以
[00:01:10 - 00:01:11] 对吧
[00:01:11 - 00:01:12] 所以说为什么我跟大家说
[00:01:12 - 00:01:13] 说如果你在一个直播家里边
[00:01:13 - 00:01:14] 你看到一个老师
[00:01:14 - 00:01:15] 你随便给个分数
[00:01:15 - 00:01:16] 他就跟你说
[00:01:16 - 00:01:16] 报什么学
[00:01:16 - 00:01:17] 报什么专业比较好
[00:01:17 - 00:01:18] 这一定不是专业的老师
[00:01:19 - 00:01:21] 他一定是要根据不同的家庭
[00:01:21 - 00:01:22] 不同的背景
[00:01:22 - 00:01:23] 不同的需求
[00:01:23 - 00:01:25] 是有不同的选择
[00:01:25 - 00:01:26] 就是在我直播间
[00:01:26 - 00:01:27] 我希望大家能学到的是什么
[00:01:27 - 00:01:29] 真的就是嬰兒
[00:01:29 - 00:01:30] 你在直播間期間加兩天
[00:01:30 - 00:01:32] 你看有沒有一個家長
[00:01:32 - 00:01:33] 他的情況可能跟你是類似的
[00:01:33 - 00:01:34] 你大概知道了
[00:01:34 - 00:01:35] 我這樣的孩子
[00:01:35 - 00:01:36] 我應該怎麼去考慮
[00:01:36 - 00:01:36] 對吧
[00:01:36 - 00:01:37] 而不是說所有的人
[00:01:37 - 00:01:38] 都是什麼專業
[00:01:38 - 00:01:39] 最好什麼專業
[00:01:39 - 00:01:40] 挺適合那樣的
