BV号：BV1kkTezTEv3
标题：BV1kkTezTEv3
链接：https://www.bilibili.com/video/BV1kkTezTEv3
识别语言：zh
语言置信度：1
分段数：104
生成时间：2026-04-03 04:42:41

[00:00:00 - 00:00:01] 你这个问题其实说白的就是
[00:00:01 - 00:00:03] 中低分十段要不要学临床吗
[00:00:03 - 00:00:04] 中低分十段要不要学临床
[00:00:04 - 00:00:05] 三个点
[00:00:05 - 00:00:05] 第一家长
[00:00:05 - 00:00:06] 你家干啥的
[00:00:06 - 00:00:08] 过去也干过
[00:00:08 - 00:00:09] 也干过
[00:00:09 - 00:00:10] 但是
[00:00:10 - 00:00:10] 对
[00:00:10 - 00:00:11] 干过是干什么
[00:00:11 - 00:00:13] 临床过去干的是烧生
[00:00:13 - 00:00:14] 但是级别很低
[00:00:14 - 00:00:16] 我们也不喜欢
[00:00:16 - 00:00:16] 换句话说
[00:00:16 - 00:00:18] 就是如果孩子要去独博的话
[00:00:18 - 00:00:19] 你没有什么资源
[00:00:19 - 00:00:20] 可以提供孩子是吗
[00:00:20 - 00:00:21] 没有
[00:00:21 - 00:00:21] 好
[00:00:21 - 00:00:22] 第二点就是孩子的
[00:00:22 - 00:00:24] 性命管理能力强不强
[00:00:24 - 00:00:24] 今天有数
[00:00:24 - 00:00:26] 但是他不强
[00:00:26 - 00:00:27] 跟你说那个是
[00:00:27 - 00:00:28] 天老大地老二
[00:00:28 - 00:00:28] 他老三的时候
[00:00:28 - 00:00:29] 他现在不理解
[00:00:29 - 00:00:31] 我认为他有这个能力
[00:00:31 - 00:00:33] 但是需要后期磨练
[00:00:33 - 00:00:34] 才可能会
[00:00:34 - 00:00:36] 向上国内能力一定要强
[00:00:36 - 00:00:37] 其实林崇英学这个方面
[00:00:37 - 00:00:39] 大家说他老师关于读博这个东西
[00:00:39 - 00:00:41] 大家记住我下面这句话
[00:00:41 - 00:00:44] 林崇英学你能不能读博这个问题
[00:00:44 - 00:00:47] 就是本科在哪里读不重要
[00:00:47 - 00:00:50] 硕士在哪里读最重要
[00:00:50 - 00:00:53] 因为基本上在招博士的时候
[00:00:53 - 00:00:55] 他招的都是自己的硕
[00:00:55 - 00:00:59] 他基本上很少招外效的硕
[00:00:59 - 00:01:00] 去读自己的帕
[00:01:00 - 00:01:02] 除非一些特殊情况
[00:01:02 - 00:01:03] 比如说
[00:01:03 - 00:01:05] 他有一个大哥告诉他
[00:01:05 - 00:01:07] 这个人虽然是外校的
[00:01:07 - 00:01:09] 但是他很具备培养潜力
[00:01:09 - 00:01:11] 他才可能会找外校的朔
[00:01:11 - 00:01:12] 去读自己的帕
[00:01:12 - 00:01:13] 否则都是找本校
[00:01:13 - 00:01:14] 自己的朔
[00:01:14 - 00:01:15] 读自己的帕
[00:01:15 - 00:01:17] 所以说你读哪里的本
[00:01:18 - 00:01:19] 不重要
[00:01:19 - 00:01:21] 你要注意的是读哪里的朔
[00:01:21 - 00:01:23] 就你读哪里的朔
[00:01:23 - 00:01:26] 基本上就有可能会读哪里的帕
[00:01:26 - 00:01:29] 然后才是你所谓的向上管理能力的问题
[00:01:29 - 00:01:31] 要是你有大哥
[00:01:31 - 00:01:32] 那就是另外说了
[00:01:32 - 00:01:34] 所以说这是第二点
[00:01:34 - 00:01:35] 第三点就是家长
[00:01:35 - 00:01:36] 假如说
[00:01:36 - 00:01:37] 假如说家长
[00:01:37 - 00:01:39] 你做过是苏大的本
[00:01:39 - 00:01:42] 然后的话也能读到苏大的数
[00:01:42 - 00:01:43] 但是因为各种各样的原因
[00:01:43 - 00:01:45] 你没有读成苏大的帛
[00:01:45 - 00:01:46] 那你是苏大的本
[00:01:46 - 00:01:47] 苏大的数
[00:01:47 - 00:01:49] 你现在不能在苏州的医院
[00:01:49 - 00:01:50] 苏州市区
[00:01:50 - 00:01:52] 市下区的三家医院就业
[00:01:52 - 00:01:53] 这个你可能就业不了
[00:01:53 - 00:01:56] 但是如果说现在常属的三家医院
[00:01:56 - 00:01:57] 你可以去 你会去吗
[00:01:57 - 00:01:59] 我认为是可以的
[00:01:59 - 00:02:02] 他现在不怎么跟我们沟通
[00:02:02 - 00:02:05] 那就得去跟Ti Xiang跟他说好
[00:02:05 - 00:02:08] 因为如果说你去读了一个
[00:02:08 - 00:02:09] 还不错的学校的粉
[00:02:09 - 00:02:11] 还不错的学校的树
[00:02:11 - 00:02:13] 但是你没有读成这个学校的箔
[00:02:13 - 00:02:15] 市区的三甲医院
[00:02:15 - 00:02:16] 你大概率是进不去的
[00:02:16 - 00:02:18] 因为市区的三甲医院一定是要博士的
[00:02:18 - 00:02:19] 然后的话
[00:02:19 - 00:02:23] 但是市侠县市的三甲医院
[00:02:23 - 00:02:24] 你是可以进的
[00:02:24 - 00:02:26] 比如说你像我们苏州下边的
[00:02:26 - 00:02:29] 像渣甲港 像昆山 像长鼠
[00:02:29 - 00:02:32] 像我们下面的一些县都有
[00:02:32 - 00:02:34] 都有这样的参加医院
[00:02:34 - 00:02:36] 但是你能到县尼市的参加医院
[00:02:36 - 00:02:37] 你去不去
[00:02:37 - 00:02:38] 那就是另外一个问题了
[00:02:38 - 00:02:40] 否则的话你会很尴尬
[00:02:40 - 00:02:42] 其实学医学
[00:02:42 - 00:02:43] 最诺心的是什么
[00:02:43 - 00:02:45] 学医学最诺心的就是
[00:02:45 - 00:02:47] 能读得了朔 但是读不了朴
[00:02:47 - 00:02:48] 最诺心的就是这种
[00:02:48 - 00:02:51] 医学的读博资源真的太紧挑了
[00:02:51 - 00:02:53] 所以说的话想好 好吧
