BV号：BV177411t7Mn
标题：BV177411t7Mn
链接：https://www.bilibili.com/video/BV177411t7Mn
识别语言：zh
语言置信度：1
分段数：293
生成时间：2026-04-04 03:02:42

[00:00:02 - 00:00:05] 那你看你在整个的接生过程当中
[00:00:05 - 00:00:08] 你过程有没有遇到过那种比较危险的情况
[00:00:08 - 00:00:11] 所以我们印象深刻就是
[00:00:11 - 00:00:12] 你书血都输不进去
[00:00:12 - 00:00:15] 血管别的血都流干了
[00:00:15 - 00:00:16] 出血出1万多毫升
[00:00:16 - 00:00:19] 身上自身可能也就是5千1万多毫升
[00:00:19 - 00:00:20] 对
[00:00:20 - 00:00:23] 烧伤啊这些杂伤都是很危险的
[00:00:23 - 00:00:25] 包括那玻璃啊什么的
[00:00:34 - 00:00:35] 大家好
[00:00:35 - 00:00:37] 我是让学习编的更快乐的张雪峰老师
[00:00:37 - 00:00:39] 欢迎来致看看小型独逼脱口秀
[00:00:39 - 00:00:41] 大開眼界我們本期強調的嘉賓
[00:00:41 - 00:00:43] 依然是我們北京明哥醫院的院長
[00:00:43 - 00:00:44] 我們的王二院長
[00:00:44 - 00:00:45] 王老師給大家打個招呼
[00:00:45 - 00:00:46] 大家好
[00:00:46 - 00:00:48] 王院長像電視劇當中
[00:00:48 - 00:00:49] 包括我們生活當中
[00:00:49 - 00:00:52] 我們都覺得醫生我覺得好帥的一個之間
[00:00:52 - 00:00:52] 是吧
[00:00:52 - 00:00:55] 比如說像你像穿著這麼一身衣服
[00:00:55 - 00:00:56] 白大褂
[00:00:56 - 00:00:59] 我再抖起來我覺得很光鮮
[00:00:59 - 00:01:00] 是嗎
[00:01:00 - 00:01:02] 謝謝我們沒有感覺到
[00:01:02 - 00:01:05] 我覺得這就是一個工作服嘛
[00:01:05 - 00:01:05] 制服
[00:01:05 - 00:01:07] 但我覺得真的你們穿件是挺帥的
[00:01:07 - 00:01:09] 而且大家都覺得說
[00:01:09 - 00:01:10] 尤其是在电视剧里边演的
[00:01:10 - 00:01:11] 对对对
[00:01:11 - 00:01:12] 就正常演的医生说
[00:01:12 - 00:01:14] 这个妙说回来
[00:01:14 - 00:01:14] 对对
[00:01:14 - 00:01:16] 那有点艺术化了吗
[00:01:16 - 00:01:17] 可能更加的那个
[00:01:17 - 00:01:18] 那平时真实的
[00:01:18 - 00:01:20] 你们的工作状态是什么样的
[00:01:20 - 00:01:22] 真实的工作状态有
[00:01:22 - 00:01:22] 有脏有泪
[00:01:22 - 00:01:23] 我记得你说过
[00:01:23 - 00:01:25] 你要回来还是有脏有泪
[00:01:25 - 00:01:25] 是的
[00:01:25 - 00:01:26] 真实的工作状态有时候
[00:01:26 - 00:01:28] 我们一个班下来
[00:01:28 - 00:01:30] 可能这个八小时
[00:01:30 - 00:01:32] 甚至十几个小时
[00:01:32 - 00:01:33] 那碰头勾面的
[00:01:33 - 00:01:35] 头尾是梳不上
[00:01:35 - 00:01:37] 这个连行也顾不上鞋
[00:01:37 - 00:01:41] 哎 这个衣服反正 当然了制服嘛
[00:01:41 - 00:01:43] 你也勒他不到哪去
[00:01:43 - 00:01:45] 但是整体人看的就是
[00:01:45 - 00:01:46] 皮背
[00:01:46 - 00:01:49] 然后就是反正头发蓬蓬散散的
[00:01:49 - 00:01:51] 就不是那种
[00:01:51 - 00:01:53] 这个像电视剧里头演的那样了
[00:01:53 - 00:01:55] 哎 那你
[00:01:55 - 00:01:56] 你也是副科学厂的
[00:01:56 - 00:01:57] 我副科厂的都搞
[00:01:57 - 00:01:59] 哎 那你看你在这个
[00:01:59 - 00:02:00] 整个的接生过程当中
[00:02:00 - 00:02:02] 你一共上有没有遇到过
[00:02:02 - 00:02:04] 那种比较紧急或者危险
[00:02:04 - 00:02:05] 这肯定是会的
[00:02:05 - 00:02:06] 在我印象当中
[00:02:06 - 00:02:09] 我当医生30多年 碰过例数不多
[00:02:09 - 00:02:11] 这辈子不能天天碰
[00:02:11 - 00:02:13] 那这辈子多冷
[00:02:13 - 00:02:14] 对啊
[00:02:14 - 00:02:14] 所以说
[00:02:14 - 00:02:16] 但是在你的职业生涯中
[00:02:16 - 00:02:18] 一定会碰到
[00:02:18 - 00:02:20] 所以我们印象深刻
[00:02:20 - 00:02:22] 就是你书血都输不进去
[00:02:22 - 00:02:23] 血管别的
[00:02:23 - 00:02:25] 血都流干了
[00:02:25 - 00:02:26] 出血出1万多号生
[00:02:26 - 00:02:28] 身上自身可能也就是
[00:02:28 - 00:02:29] 1万多号
[00:02:29 - 00:02:29] 对
