BV号：BV1V54y117Sn
标题：BV1V54y117Sn
链接：https://www.bilibili.com/video/BV1V54y117Sn
识别语言：zh
语言置信度：1
分段数：264
生成时间：2026-04-04 01:22:50

[00:00:00 - 00:00:02] 大家好 我是咱们中国首党苦口婆心
[00:00:02 - 00:00:05] 劝借职场年轻人找工作
[00:00:05 - 00:00:09] 别瞎跳的化疗节目领跳员张学峰
[00:00:12 - 00:00:15] 为什么是别瞎跳的领跳员呢
[00:00:15 - 00:00:19] 就是因为跳槽已经成为影响年轻人职场竞争力当中
[00:00:19 - 00:00:22] 非常非常具有破坏性的因素之一
[00:00:22 - 00:00:25] 所以我们今天就好好来聊一聊跳槽的这个事
[00:00:25 - 00:00:26] 跳槽分两种
[00:00:26 - 00:00:28] 一种就是主动跳槽
[00:00:28 - 00:00:30] 你因为有了所谓更好的机会
[00:00:30 - 00:00:30] 对吧
[00:00:30 - 00:00:32] 更长远的职业规划
[00:00:32 - 00:00:33] 或者说是更多的钱
[00:00:33 - 00:00:33] 对吧
[00:00:33 - 00:00:34] 你就给跳槽了
[00:00:34 - 00:00:37] 那么这种跳槽是一种进步的阶梯
[00:00:37 - 00:00:37] 我呢
[00:00:37 - 00:00:38] 是举双手大致的
[00:00:38 - 00:00:39] 还有一种呢
[00:00:39 - 00:00:40] 是被动的跳槽
[00:00:40 - 00:00:41] 就是
[00:00:41 - 00:00:42] 你也许是因为
[00:00:42 - 00:00:44] 你不喜欢咱们公司里边的某个同事
[00:00:44 - 00:00:47] 或者说不喜欢老板给你安排的某个工作
[00:00:47 - 00:00:48] 或者就是单纯的
[00:00:48 - 00:00:51] 就想改变一下现在混日的这种状态
[00:00:51 - 00:00:51] 于是呢
[00:00:51 - 00:00:52] 你就跳槽了
[00:00:52 - 00:00:54] 还没情命约炒老板的犹豫
[00:00:54 - 00:00:54] 一句话呢
[00:00:54 - 00:00:57] 总结就是你解决不了当下工作当中
[00:00:57 - 00:00:59] 所面临的种种的问题
[00:00:59 - 00:00:59] 所以呢
[00:00:59 - 00:01:02] 就选择换个工作来解决这个问题
[00:01:02 - 00:01:05] 这个就是明显逃避型的人格亚朋友
[00:01:05 - 00:01:07] 这种解决问题的思考方式
[00:01:07 - 00:01:09] 放在职场上就是跳槽
[00:01:09 - 00:01:11] 如果说你放在一段恋爱关系当中
[00:01:11 - 00:01:13] 那就是妥妥的渣男
[00:01:13 - 00:01:14] 如果说你遇到问题
[00:01:14 - 00:01:16] 跳槽并不能解决问题
[00:01:16 - 00:01:19] 你一定要先去试着解决这个问题
[00:01:19 - 00:01:21] 再来考虑是否跳槽
[00:01:21 - 00:01:24] 这是一个职场成年人应该必备的职业素质
[00:01:24 - 00:01:25] 就像我们开头所说的
[00:01:25 - 00:01:28] 为了摆脱讨厌的以前的同事而选择跳槽
[00:01:28 - 00:01:31] 結果呢他還成了自己的甲方爸爸
[00:01:31 - 00:01:32] 這何止是翻車呀
[00:01:32 - 00:01:34] 他簡直就是掉進了水溝啊
[00:01:34 - 00:01:36] 跳槽啊是個技術活
[00:01:36 - 00:01:37] 魯迅先生曾經說過
[00:01:37 - 00:01:38] 所以一個人啊
[00:01:38 - 00:01:40] 改變醫生的命運有兩次第一回
[00:01:40 - 00:01:42] 第一次叫做搞考
[00:01:42 - 00:01:44] 第二次叫做跳槽
[00:01:44 - 00:01:45] 一個會跳槽的人
[00:01:45 - 00:01:48] 他在職場當中升職加薪的這個概率呀
[00:01:48 - 00:01:51] 不比一個9852的畢業生的人差
[00:01:51 - 00:01:52] 但是很可惜
[00:01:52 - 00:01:54] 這麼重要的一個職業技能
[00:01:54 - 00:01:56] 沒有任何一個做知識付費的平台
[00:01:56 - 00:01:59] 会专门开一门课叫做跳槽学
[00:01:59 - 00:02:00] 这个跳槽呢
[00:02:00 - 00:02:02] 不是一个简单的从一栋梦工大楼
[00:02:02 - 00:02:04] 换到了另一座梦工大楼
[00:02:04 - 00:02:06] 千万不要说你脑袋一热
[00:02:06 - 00:02:07] 这个就跳了
[00:02:07 - 00:02:08] 那就不叫跳槽
[00:02:08 - 00:02:09] 那叫跳楼
[00:02:09 - 00:02:09] 跳之前呢
[00:02:09 - 00:02:11] 你先把三个问题给考虑清楚
[00:02:11 - 00:02:13] 就是该不该跳
[00:02:13 - 00:02:15] 要用什么样的姿势去跳
[00:02:15 - 00:02:16] 第三呢
[00:02:16 - 00:02:19] 就是跳完以后该如何能够苟度
[00:02:19 - 00:02:21] 首先咱们该不该跳
[00:02:21 - 00:02:23] 如果说把找工作比喻成为找对象
[00:02:23 - 00:02:24] 那么辞职呢
[00:02:24 - 00:02:25] 就是闹分手了
[00:02:25 - 00:02:27] 现在这个社会选择太多
[00:02:27 - 00:02:29] 一些年轻人脑子里边
[00:02:29 - 00:02:30] 根本就没有东西坏了
[00:02:30 - 00:02:31] 先修一修的概念
[00:02:31 - 00:02:32] 手机卡了
[00:02:32 - 00:02:33] 咱就买个新的
[00:02:33 - 00:02:34] 谈恋爱也如此
[00:02:34 - 00:02:35] 不行
[00:02:35 - 00:02:36] 我们就分手
[00:02:36 - 00:02:37] 我再换一个
[00:02:37 - 00:02:38] 干工作也是这样
[00:02:38 - 00:02:39] 今天不爽了
[00:02:39 - 00:02:40] 明天就可以走人
[00:02:40 - 00:02:43] 你可以说这是年轻人的真性情
[00:02:43 - 00:02:44] 也可以说是什么
[00:02:44 - 00:02:45] 太年轻了
[00:02:45 - 00:02:46] 你拍被屁股就走人
[00:02:46 - 00:02:47] 非常的容易
[00:02:47 - 00:02:48] 男的是什么
[00:02:48 - 00:02:49] 男的是在你走之前
[00:02:49 - 00:02:51] 你要搞清楚你为什么要分手
[00:02:51 - 00:02:52] 你为什么要走
[00:02:52 - 00:02:54] 道理很简单
[00:02:54 - 00:02:55] 闹分手关键在于什么?
[00:02:55 - 00:02:56] 在于
[00:02:56 - 00:02:57] 闹
[00:02:57 - 00:02:57] 哎
[00:02:57 - 00:02:58] 你得闹
[00:02:58 - 00:02:59] 你得聊
[00:02:59 - 00:03:01] 得闹出个名堂出来
[00:03:01 - 00:03:02] 你才能够明白咱们两个
[00:03:02 - 00:03:03] 为什么不合适
[00:03:03 - 00:03:04] 你这样
[00:03:04 - 00:03:05] 你再找下一阵的时候
[00:03:05 - 00:03:07] 你才知道该如何趋利避害
[00:03:07 - 00:03:08] 很多人跟我说
[00:03:08 - 00:03:09] 哎呀
[00:03:09 - 00:03:09] 老师
[00:03:09 - 00:03:11] 我才懒得跟老板聊呢
[00:03:11 - 00:03:12] 别逗了朋友
[00:03:12 - 00:03:13] 你在哪里是懒的
[00:03:13 - 00:03:15] 你这明明就是怂啊
[00:03:15 - 00:03:16] 你要承认自己怂
[00:03:16 - 00:03:17] 我觉得啊
[00:03:17 - 00:03:19] 如果说你要是真想挑槽
[00:03:19 - 00:03:21] 在条件允许的情况下
[00:03:21 - 00:03:23] 你得和老板来一场真正的对话
[00:03:23 - 00:03:24] 和自己的老板给谈透
[00:03:24 - 00:03:25] 但说句难听
[00:03:25 - 00:03:27] 只有你聊透了以后
[00:03:27 - 00:03:30] 你才知道这个前瞻的老板他到底有多啥
[00:03:30 - 00:03:33] 你这样的话就算分手以后你也不够鬼啊对吧
[00:03:33 - 00:03:34] 那咱们具体谈什么呢
[00:03:34 - 00:03:37] 比如说我对目前的工作哪里哪里呢
[00:03:37 - 00:03:38] 我不够满意
[00:03:38 - 00:03:40] 是领导的管理方式有问题呢
[00:03:40 - 00:03:42] 还是说我现在工作的内容不喜欢呢
[00:03:42 - 00:03:44] 还是说同事之间的关系也比较难相处呢
[00:03:44 - 00:03:47] 还是说我的付出和我的回报它不成正理呢
[00:03:47 - 00:03:49] 这个问题你得搞清楚
[00:03:49 - 00:03:50] 是公司的问题
[00:03:50 - 00:03:51] 是老板的问题
[00:03:51 - 00:03:53] 还是你自己的问题
[00:03:53 - 00:03:54] 如果咱们这些问题搞不清楚的话
[00:03:54 - 00:03:56] 那你跳槽那就是瞎跳
[00:03:56 - 00:03:57] 你想要得到的
[00:03:57 - 00:03:57] 你得不到
[00:03:57 - 00:03:59] 你想要甩掉的呢
[00:03:59 - 00:04:00] 你就甩不掉
[00:04:00 - 00:04:01] 反正都做好走的打算了
[00:04:01 - 00:04:03] 咱不如咱敞开心扉
[00:04:03 - 00:04:06] 毫无顾忌的和老板走一次心
[00:04:06 - 00:04:07] 如果老板不是冷血动物的话
[00:04:07 - 00:04:09] 大概率他也会给你聊个明白
[00:04:09 - 00:04:11] 如果说跟老板聊了以后
[00:04:11 - 00:04:12] 你还是想跳
[00:04:12 - 00:04:14] 那就明白咱们该以怎样的姿势去跳了
[00:04:14 - 00:04:16] 如果说入错行是毁一生
[00:04:16 - 00:04:18] 那么跟错老板
[00:04:18 - 00:04:19] 简直就是毁三代呀
[00:04:19 - 00:04:20] 跳到自己喜欢的行业
[00:04:20 - 00:04:22] 去能赚钱有潜力的岗位
[00:04:22 - 00:04:23] 很重要
[00:04:23 - 00:04:26] 跳到优秀的老板手下更为重要
[00:04:26 - 00:04:28] 如何提高遇到之音的概率
[00:04:28 - 00:04:29] 那方法就很简单
[00:04:29 - 00:04:32] 就是广沙王找更多的老板谈
[00:04:32 - 00:04:34] 建议的遵循N加3的原则
[00:04:34 - 00:04:36] 就是说你要找工作工作了三年
[00:04:36 - 00:04:38] 你就得找至少六个老板谈员
[00:04:38 - 00:04:39] 你再做决定
[00:04:39 - 00:04:41] 那上哪找这么多老板呢
[00:04:41 - 00:04:43] 你随便去打开一个招聘的软件
[00:04:43 - 00:04:44] 比如说我们都知道的
[00:04:44 - 00:04:44] Boss直聘
[00:04:44 - 00:04:45] 对吧
[00:04:45 - 00:04:46] 你上去以后
[00:04:46 - 00:04:47] 你就多找几个公司
[00:04:47 - 00:04:48] 你去投减力
[00:04:48 - 00:04:49] 这广沙板
[00:04:49 - 00:04:50] 这老板资源它不就是有了吗
[00:04:50 - 00:04:52] 但就直接可以跟老板談了
[00:04:52 - 00:04:53] 如果你說
[00:04:53 - 00:04:54] 我也想找個好老板
[00:04:54 - 00:04:56] 但是缺乏的會員
[00:04:56 - 00:04:57] 那找老板有什麼樣的標準
[00:04:57 - 00:04:58] 我覺得是有的
[00:04:58 - 00:04:59] 如果說一個老板
[00:04:59 - 00:05:01] 具備以下三個推點
[00:05:01 - 00:05:03] 他大概也差不到哪裡去
[00:05:03 - 00:05:04] 第一就是有人品
[00:05:04 - 00:05:06] 這個就不用多說
[00:05:06 - 00:05:07] 三好學生還得得知
[00:05:07 - 00:05:09] 平美勞全面發展
[00:05:09 - 00:05:10] 什麼牌第一
[00:05:10 - 00:05:11] 是得牌第一
[00:05:11 - 00:05:14] 一個人最關鍵的關鍵是要看人品
[00:05:14 - 00:05:15] 同情打理
[00:05:15 - 00:05:16] 將心比心
[00:05:16 - 00:05:17] 這樣的老板
[00:05:17 - 00:05:18] 你跟著也疏忏
[00:05:18 - 00:05:19] 拼命的展演樂意
[00:05:19 - 00:05:20] 二呢就是有能力
[00:05:20 - 00:05:24] 这里边的能力呢是指着多方面多维度的一个综合实力
[00:05:24 - 00:05:26] 比如说带领团队对吧
[00:05:26 - 00:05:27] 解决问题对吧
[00:05:27 - 00:05:30] 最终落脚到带来的收益的能力
[00:05:30 - 00:05:34] 当然只有能力和人体人家不打理念
[00:05:34 - 00:05:35] 他也不行
[00:05:35 - 00:05:36] 最后一点呢同也也很重要
[00:05:36 - 00:05:37] 就是好老板呀
[00:05:37 - 00:05:39] 他得懂得爱惜你
[00:05:39 - 00:05:41] 他得懂得气中你
[00:05:41 - 00:05:44] 他能从你身上看到你独一丸的油点和东西
[00:05:44 - 00:05:47] 而不是什么铁打的鹰蛮流水的冰
[00:05:47 - 00:05:49] 觉得谁都可以替代你
[00:05:49 - 00:05:53] 所以說不要覺得廣撒網找更多的老闆談的跳逃姿勢
[00:05:53 - 00:05:54] 費時又費力
[00:05:54 - 00:05:57] 只有這樣才可能找到更優質的老闆
[00:05:57 - 00:05:58] 發現沒有
[00:05:58 - 00:06:00] 其實他和鄉親他是一樣的
[00:06:00 - 00:06:01] 你總要多見幾位
[00:06:01 - 00:06:02] 你多了幾個
[00:06:02 - 00:06:04] 尤其是標準
[00:06:04 - 00:06:06] 比如人品、能力、愛心
[00:06:06 - 00:06:08] 畢竟瞎跳一時闖
[00:06:08 - 00:06:09] 跳錯毀三代
[00:06:09 - 00:06:11] 姿勢一時累
[00:06:11 - 00:06:13] 找到爽三倍
[00:06:13 - 00:06:15] 那麼跳錯以後該如何站穩九根呢?
[00:06:15 - 00:06:17] 同樣還是要跟老闆談
[00:06:17 - 00:06:18] 俗話說
[00:06:18 - 00:06:20] 直比之急 百战不带
[00:06:20 - 00:06:21] 那么去找一份新的工作
[00:06:21 - 00:06:23] 如何才能够直比呢
[00:06:23 - 00:06:26] 方法就是和能拍板的老板谈
[00:06:26 - 00:06:28] 小公司咱们可以直接跟老板谈
[00:06:28 - 00:06:29] 咱们大公司呢
[00:06:29 - 00:06:31] 咱们直接可以去跟那个直属的领导
[00:06:31 - 00:06:33] 或者直属的领导的领导去谈嘛
[00:06:33 - 00:06:33] 对吧
[00:06:33 - 00:06:34] 面试的时候呢
[00:06:34 - 00:06:36] 一定要当做相亲
[00:06:36 - 00:06:37] 别怕多见几个
[00:06:37 - 00:06:37] 而且呢
[00:06:37 - 00:06:38] 要谈条件
[00:06:38 - 00:06:39] 看家事
[00:06:39 - 00:06:40] 了解逛门以后
[00:06:40 - 00:06:42] 咱们家庭的地位
[00:06:42 - 00:06:43] 生意嘛
[00:06:43 - 00:06:43] 不喊着
[00:06:43 - 00:06:44] 具体谈什么
[00:06:44 - 00:06:45] 跳入到新草
[00:06:45 - 00:06:49] 是你一個和曹雙向了解的一個過程
[00:06:49 - 00:06:52] 你在展示自己無處安放的魅力的同時呢
[00:06:52 - 00:06:54] 更要多問多聽多了解
[00:06:54 - 00:06:57] 歇落板對你所在的指揮的定位和期待
[00:06:57 - 00:07:00] 有的方式才能夠鄭重把心
[00:07:00 - 00:07:01] 獲得老闆的放心
[00:07:01 - 00:07:03] 在以後的工作當中站穩九根
