BV号：BV1ys421M7L4
标题：BV1ys421M7L4
链接：https://www.bilibili.com/video/BV1ys421M7L4
识别语言：zh
语言置信度：1
分段数：79
生成时间：2026-04-03 10:31:16

[00:00:00 - 00:00:03] 这段时间给大家推了不少理工科的大学
[00:00:03 - 00:00:05] 但很多都是搞重工业的
[00:00:05 - 00:00:07] 实际上跟重工业相对的
[00:00:07 - 00:00:11] 轻工业作为我国国民经济的传统优势产业
[00:00:11 - 00:00:13] 重要的民生产业都是满足人民
[00:00:13 - 00:00:15] 美好生活 发展循环经济
[00:00:15 - 00:00:17] 促进绿色消费的重要支撑
[00:00:17 - 00:00:21] 肩负着推动绿色低碳和高质量发展的生命
[00:00:21 - 00:00:25] 所以说今天张老师就准备给大家讲一所在轻工这一块
[00:00:25 - 00:00:26] 非常厉害的学校
[00:00:26 - 00:00:27] 齐鲁工业大学
[00:00:27 - 00:00:29] 有的朋友可能知道
[00:00:29 - 00:00:33] 以前有很多亲功特色的院校名字里边都在亲功两字
[00:00:33 - 00:00:36] 齐鲁公大以前就叫山东亲工业学院
[00:00:36 - 00:00:39] 2013年升格之后改成的齐鲁工业大学
[00:00:39 - 00:00:43] 所以说他在亲工业领域的成绩基地
[00:00:43 - 00:00:44] 那是相当的深厚
[00:00:44 - 00:00:47] 17年的时候他又合并了山东省科学院
[00:00:47 - 00:00:49] 实力是进一步增强
[00:00:49 - 00:00:52] 现在预算经费、科研经费
[00:00:52 - 00:00:54] 在山东省属高速里边也是属于所而
[00:00:54 - 00:00:56] 发展势头非常猛
[00:00:56 - 00:01:00] 齐魯公当现在的亲工学部最早可以追溯到1958年
[00:01:00 - 00:01:04] 发展到现在已经是学校最有特色和优势的学部之一
[00:01:04 - 00:01:07] 他现在的五个榜盘专业各个都不简单
[00:01:07 - 00:01:10] 亲化工程和印刷工程都是国家级一流专业
[00:01:10 - 00:01:12] 包装工程是省级一流专业
[00:01:12 - 00:01:16] 功能材料和新媒体技术是新工科专业
[00:01:16 - 00:01:17] 从这你就能看得出来
[00:01:17 - 00:01:20] 他的专业实力还是非常靠谱的
[00:01:20 - 00:01:24] 而且近几年这五个专业在山东的最低录取位置
[00:01:24 - 00:01:27] 那都是一年一万名的网上掌
[00:01:27 - 00:01:28] 多关注一下没毛病
[00:01:28 - 00:01:30] 不光专业在学科这一块
[00:01:30 - 00:01:32] 他的实力也是刚刚的
[00:01:32 - 00:01:34] 清工学科是山东省的
[00:01:34 - 00:01:36] 高水平优势特色学科
[00:01:36 - 00:01:39] 第五轮学科评估里又提了一堂
[00:01:39 - 00:01:40] 应该说同学们都能接触到
[00:01:40 - 00:01:42] 他的学科资源
[00:01:42 - 00:01:45] 还有未来硕士博士深造
[00:01:45 - 00:01:47] 这些都是有保障的
[00:01:47 - 00:01:48] 在这多提一嘴
[00:01:48 - 00:01:51] 清工学部明年预计招200个硕士
[00:01:51 - 00:01:52] 根据以往的经验
[00:01:52 - 00:01:54] 学术基本过线就能录
[00:01:54 - 00:01:57] 本校生造的录也不能走
[00:01:57 - 00:01:58] 学院还会定期的选派
[00:01:58 - 00:01:59] 优秀的研究生
[00:01:59 - 00:02:01] 本科生出国交流
[00:02:01 - 00:02:02] 这对大家以后的发展
[00:02:02 - 00:02:04] 也是很有帮助的
[00:02:04 - 00:02:05] 还有一点不得不说
[00:02:05 - 00:02:06] 那就是亲工学部
[00:02:06 - 00:02:09] 在平台失资这些硬实力上
[00:02:09 - 00:02:10] 也是相当到位的
[00:02:10 - 00:02:11] 据我了解
[00:02:11 - 00:02:12] 山东省
[00:02:12 - 00:02:13] 设在高校里的
[00:02:13 - 00:02:15] 国家重点实验室并不算多
[00:02:15 - 00:02:17] 其中一个就在他这
[00:02:17 - 00:02:19] 至于说省部级的平台
[00:02:19 - 00:02:20] 也有十来个
[00:02:20 - 00:02:21] 而且学部现在还用上了
[00:02:21 - 00:02:25] 新国众大楼硬件设施这一块也是很不错的
[00:02:25 - 00:02:26] 实质方面
[00:02:26 - 00:02:29] 整个学部90%以上的教师都有博士学位
[00:02:29 - 00:02:31] 不仅凭上了黄大年教学团队
[00:02:31 - 00:02:34] 还有不少长江学者特聘教授
[00:02:34 - 00:02:36] 中国青年女科学家
[00:02:36 - 00:02:37] 国家科技奖获得者
[00:02:37 - 00:02:39] 山东省教书育人
[00:02:39 - 00:02:41] 凯摩等等这样的大师
[00:02:41 - 00:02:43] 名识教学水平完全不用担心
[00:02:43 - 00:02:46] 骑路公大他本身学风就很好
[00:02:46 - 00:02:49] 亲工学部的底韵实力和前景也都挺不错
[00:02:49 - 00:02:54] 加上山东已经将轻功列入十强产业重点发展
[00:02:54 - 00:02:55] 如果说想学功课的话
[00:02:55 - 00:02:58] 那还是非常建议大家多留意一下的
