BV号：BV16s411h7dn
标题：BV16s411h7dn
链接：https://www.bilibili.com/video/BV16s411h7dn
识别语言：zh
语言置信度：1
分段数：119
生成时间：2026-04-04 13:34:36

[00:00:05 - 00:00:06] 啊 干啥呀
[00:00:10 - 00:00:12] 好 欢迎大家来到张老师课堂
[00:00:12 - 00:00:13] 我是张雪峰老师
[00:00:17 - 00:00:19] 大家注意 在这考验小伙伴的时候
[00:00:19 - 00:00:21] 有以下这种人万万不得找
[00:00:21 - 00:00:22] 明白吗
[00:00:22 - 00:00:23] 生命的人第一种人能觉得
[00:00:23 - 00:00:25] 他跟你考同一个学校
[00:00:25 - 00:00:26] 同一个专业万万不得找
[00:00:27 - 00:00:29] 这他们不叫小伙伴 知道吗
[00:00:29 - 00:00:31] 这个叫竞争对手 知道吧
[00:00:31 - 00:00:32] 你们两个在一起上这期
[00:00:32 - 00:00:34] 不输人命就是好事
[00:00:34 - 00:00:36] 感谢大学四年不杀学
[00:00:36 - 00:00:37] 那明白吧
[00:00:37 - 00:00:39] 真的 每年都让出来找的这种
[00:00:39 - 00:00:40] 你有必要吗
[00:00:41 - 00:00:42] 同学你说你们两天在上次习
[00:00:42 - 00:00:44] 你会把军力放在夫妻在身上
[00:00:44 - 00:00:45] 还是放在对方的身上
[00:00:45 - 00:00:47] 你怎么能对方的身上对不对
[00:00:47 - 00:00:48] 还有很多女同学小心点对不对
[00:00:48 - 00:00:50] 老师她跟我考一个学业业一个专业
[00:00:50 - 00:00:51] 臭不要脸的
[00:00:52 - 00:00:54] 每一个必要你说对不对
[00:00:54 - 00:00:55] 说大家第一不要找口水
[00:00:55 - 00:00:57] 要同一个专业人在一起上次习
[00:00:57 - 00:00:58] 那么要把人家出人命知道吧
[00:00:58 - 00:00:59] 第二个问题
[00:00:59 - 00:01:00] 大家不要找什么人在一起上次习
[00:01:00 - 00:01:02] 不要找那种做无辜版的
[00:01:02 - 00:01:04] 你会发现你们在一起上次习
[00:01:04 - 00:01:05] 有没有人做无辜版的
[00:01:05 - 00:01:06] 要吧皮肤上跟长睛有什么
[00:01:06 - 00:01:08] 哥吧刚玩一做没做到5分钟的
[00:01:08 - 00:01:10] 看着你咱回去吧
[00:01:12 - 00:01:13] 干死他知道吗
[00:01:13 - 00:01:14] 不带下玩知道吧
[00:01:14 - 00:01:16] 第三种人最不闷闷什么样的人
[00:01:17 - 00:01:18] 没有自信的人
[00:01:18 - 00:01:20] 你搞不好见你们同学有目障的人
[00:01:20 - 00:01:21] 讨厌没有自信的
[00:01:21 - 00:01:23] 总不觉得自己考不上对吧
[00:01:23 - 00:01:24] 总不觉得自己考不上
[00:01:24 - 00:01:26] 你觉得自己考不上你别考了呗
[00:01:26 - 00:01:27] 我还说在台语
[00:01:27 - 00:01:28] 知道吧
[00:01:28 - 00:01:29] 我跟你说你把这种人带上的话
[00:01:29 - 00:01:30] 你就废了你知道吧
