BV号：BV12D421M73X
标题：BV12D421M73X
链接：https://www.bilibili.com/video/BV12D421M73X
识别语言：zh
语言置信度：1
分段数：80
生成时间：2026-04-03 10:03:51

[00:00:00 - 00:00:01] 接着看新闻的朋友应该知道
[00:00:01 - 00:00:04] 这两年咱们国家搞了很多职业技术大学
[00:00:04 - 00:00:05] 虽然说名字叫职业
[00:00:05 - 00:00:06] 但毕竟是板根层次
[00:00:06 - 00:00:09] 未来就业发展上肯定会更有优势
[00:00:09 - 00:00:10] 前段时间我的老家东北
[00:00:10 - 00:00:13] 终于也有了一所公办的职业板根大学
[00:00:13 - 00:00:15] 庞村汽车职业技术大学
[00:00:15 - 00:00:17] 咱们今天就来见他
[00:00:17 - 00:00:19] 长汽大学
[00:00:19 - 00:00:21] 虽然说是今年财生级成为职业技术大学
[00:00:21 - 00:00:24] 但是要看历史底院也是一点都不差的
[00:00:24 - 00:00:26] 他最早可以追溯到1952年的
[00:00:26 - 00:00:28] 长春汽车技术学校
[00:00:28 - 00:00:30] 是新中国第一所专门为汽车工业
[00:00:30 - 00:00:31] 培养人才的取消
[00:00:31 - 00:00:34] 在相关领域的成绩相当深厚
[00:00:34 - 00:00:37] 培养的国家科技进步奖获得者
[00:00:37 - 00:00:39] 中国高技能人才开模
[00:00:39 - 00:00:42] 全国劳动模范等等加起来快有上百倍了
[00:00:42 - 00:00:45] 所以说也号称是中国汽车人才的摇篮
[00:00:45 - 00:00:47] 能有这么突突的培养成果
[00:00:47 - 00:00:49] 专业实力那肯定差不了
[00:00:49 - 00:00:52] 长期大学之前有33个专课软业
[00:00:52 - 00:00:54] 包括装备制造
[00:00:54 - 00:00:55] 能源动力与材料
[00:00:55 - 00:00:57] 交通运输等6个大类
[00:00:57 - 00:00:59] 涵蓋的汽车产业全链条
[00:00:59 - 00:01:00] 今天升本之后
[00:01:00 - 00:01:03] 也是首次开设了6个榜事专业
[00:01:03 - 00:01:04] 分别是机器而技术
[00:01:04 - 00:01:06] 新能源汽车工程技术
[00:01:06 - 00:01:08] 智能网联汽车工程技术
[00:01:08 - 00:01:10] 汽车服务工程技术
[00:01:10 - 00:01:12] 机械设计制造机器自动化
[00:01:12 - 00:01:14] 还有物流工程技术
[00:01:14 - 00:01:16] 都则和学校强势领域关联很密切
[00:01:16 - 00:01:18] 而且热门的专业
[00:01:18 - 00:01:18] 据我了解
[00:01:18 - 00:01:20] 这些专业首选科目
[00:01:20 - 00:01:22] 还是倾向于物理类
[00:01:22 - 00:01:24] 但再选科目不会做过多限制
[00:01:24 - 00:01:26] 感兴趣的同学可以多关注一下
[00:01:26 - 00:01:28] 对于职业大学来说
[00:01:28 - 00:01:30] 行业资源非常重要
[00:01:30 - 00:01:33] 那在这方面长期大学真的是可圈可点
[00:01:33 - 00:01:37] 它跟中国医气的关系可以说得上是同根同原
[00:01:37 - 00:01:40] 学校就在长春汽车场区
[00:01:40 - 00:01:42] 静靠中国医气总部
[00:01:42 - 00:01:45] 很多实讯基地直接就建在了医气的生产线上
[00:01:45 - 00:01:49] 这两年长期大学与医系集团以及三百多家高校
[00:01:49 - 00:01:53] 企业科研院所成立了一个汽车产业集群
[00:01:53 - 00:01:54] 产教联合体
[00:01:54 - 00:01:58] 布局新能源 智能制造 智能往年这些领域
[00:01:58 - 00:02:01] 校企 双方合作 开发课程 共建基地
[00:02:01 - 00:02:04] 等于是直接照着企业的需求订单式培养
[00:02:04 - 00:02:07] 你说这样交出来的学生能不受欢迎吗
[00:02:07 - 00:02:10] 之前我也说过 职业大学培养的是应用性人才
[00:02:10 - 00:02:11] 就业肯定是不成问题的
[00:02:11 - 00:02:14] 甚至比一些普通本科还要强
[00:02:14 - 00:02:15] 长期大学呢 它也不例外
[00:02:15 - 00:02:19] 它的毕业生就业率也已经连续多年保持在95%以上了
[00:02:19 - 00:02:21] 专业对口率也特别的高
[00:02:21 - 00:02:23] 近几年 每年都有很大比例的毕业生
[00:02:23 - 00:02:25] 能够进到世界500强
[00:02:25 - 00:02:27] 不光是家门口的一气
[00:02:27 - 00:02:30] 全国很多头部的车企都有它的效用
[00:02:30 - 00:02:32] 比如说像吉利亚比亚迪小米
[00:02:32 - 00:02:33] 和斯拉亚
[00:02:33 - 00:02:35] 还有像魏小李这种
[00:02:35 - 00:02:37] 毕业生遍布全国各个城市
[00:02:37 - 00:02:39] 在就业上可以说是很吃香的
[00:02:39 - 00:02:41] 职业奔坑虽然说是个新东西
[00:02:41 - 00:02:44] 但是在性价比和就业方面还是很有意识的
[00:02:44 - 00:02:46] 毕业生和普通的坑一样
[00:02:46 - 00:02:49] 符合条件的都能获得学历学位证书
[00:02:49 - 00:02:51] 在考工 考研等方面
[00:02:51 - 00:02:54] 它跟普通不合身的也都站在同一个气泡线上
[00:02:54 - 00:02:56] 所以说如果未来想往汽车行业发展
[00:02:56 - 00:02:59] 但不妨多考虑考虑长春汽车职业技术大学
