BV号：BV1WE411q78p
标题：BV1WE411q78p
链接：https://www.bilibili.com/video/BV1WE411q78p
识别语言：zh
语言置信度：1
分段数：425
生成时间：2026-04-04 05:41:04

[00:00:02 - 00:00:06] 双星衣上这个电商平台很多有卖这各种刚刚的奢侈品
[00:00:06 - 00:00:08] 然后有真正的有假的
[00:00:08 - 00:00:10] 假货是最烦烂的
[00:00:10 - 00:00:13] 它要编造一个它为什么便宜的理由
[00:00:13 - 00:00:16] 还能让消费者觉得能接受
[00:00:16 - 00:00:18] 它大几个以下它一路是这样的
[00:00:18 - 00:00:19] 它是不能跟你讲说的
[00:00:19 - 00:00:20] 哪些会儿不计算的
[00:00:20 - 00:00:21] 对
[00:00:21 - 00:00:23] 所有的假货商都无法放过
[00:00:23 - 00:00:24] 这么自贤
[00:00:37 - 00:00:37] 大家好
[00:00:37 - 00:00:40] 欢迎收看小型杜比托口秀大打开眼界
[00:00:40 - 00:00:42] 我是让学习变得更快乐的张雪峰老师
[00:00:42 - 00:00:46] 我们本期请到的嘉宾依然是我们国内的奢侈品的渐进专家
[00:00:46 - 00:00:48] 我们的张诚老师张老师跟大家打个招呼
[00:00:48 - 00:00:49] 哈喽大家好
[00:00:49 - 00:00:53] 哎张老师你看马上这个剁手节就要到了啊
[00:00:53 - 00:00:54] 双十一就要来了
[00:00:54 - 00:00:54] 对
[00:00:54 - 00:00:59] 哎双十一上这个电商平台很多有卖这各种杠的奢侈品啊
[00:00:59 - 00:01:02] 嗯有真的也有假的
[00:01:02 - 00:01:04] 哎我想问一下这个双十一的时候
[00:01:04 - 00:01:05] 那帮卖假货的店上
[00:01:05 - 00:01:07] 他们现在在干嘛呢
[00:01:07 - 00:01:09] 是不是要趁着这个时候多上点假货呢
[00:01:09 - 00:01:11] 还是说这个时候大家都在买
[00:01:11 - 00:01:13] 我稍微看点真的呢
[00:01:13 - 00:01:15] 首先是在这个行业里
[00:01:15 - 00:01:16] 没有真假混卖的
[00:01:16 - 00:01:18] 没有真假混卖的
[00:01:18 - 00:01:20] 要不然就是卖真的
[00:01:20 - 00:01:22] 要不然就都是卖假的
[00:01:22 - 00:01:26] 很少有这种真假混搭着一起卖的生家
[00:01:26 - 00:01:29] 然后您说双十一他们这些人在干嘛
[00:01:29 - 00:01:31] 其实他们现在也不用上货
[00:01:31 - 00:01:34] 因为货跟九月八月的那些
[00:01:34 - 00:01:36] 也基本没有什么变化
[00:01:36 - 00:01:37] 他们在干的是什么呢
[00:01:37 - 00:01:40] 就是他们在替消费者找理由
[00:01:40 - 00:01:41] 找到什么理由呢
[00:01:41 - 00:01:44] 就是他要编造一个
[00:01:44 - 00:01:45] 他为什么便宜的理由
[00:01:45 - 00:01:47] 还能让消费者觉得能接受
[00:01:47 - 00:01:50] 他们现在其实主要是大脑里面
[00:01:51 - 00:01:52] 在下工程
[00:01:52 - 00:01:53] 他平时不也
[00:01:53 - 00:01:56] 对 但是你看
[00:01:56 - 00:02:00] 在双十一往往是原来的折扣基础之下
[00:02:00 - 00:02:01] 还要再折扣
[00:02:11 - 00:02:11] 对 马尔迪
[00:02:11 - 00:02:12] 马尔迪
[00:02:12 - 00:02:12] 我也是一个
[00:02:12 - 00:02:13] 我也是一个
[00:02:13 - 00:02:13] 我也是一个
[00:02:13 - 00:02:14] 我也是一个
[00:02:14 - 00:02:14] 我也是一个
[00:02:14 - 00:02:15] 我也是一个
[00:02:15 - 00:02:15] 我也是一个
[00:02:15 - 00:02:16] 我也是一个
[00:02:16 - 00:02:16] 我也是一个
[00:02:16 - 00:02:18] 我也是一个
[00:02:18 - 00:02:20] 所以其实从我们的监灵数据
[00:02:20 - 00:02:23] 就是每年的双十一
[00:02:23 - 00:02:25] 包括6月的
[00:02:25 - 00:02:27] 618
[00:02:27 - 00:02:29] 假或是最烦烂的时候
[00:02:29 - 00:02:30] 因为那个时候
[00:02:30 - 00:02:32] 往往很多消费者会认为
[00:02:32 - 00:02:34] 原价1万的包
[00:02:34 - 00:02:35] 我现在5千都能买到
[00:02:35 - 00:02:37] 他该给折扣了
[00:02:37 - 00:02:38] 是不是
[00:02:38 - 00:02:38] 对 消费者
[00:02:38 - 00:02:40] 我觉得应该给折扣
[00:02:40 - 00:02:41] 那我问一下
[00:02:41 - 00:02:41] 就是
[00:02:41 - 00:02:43] 你说什么618也好
[00:02:43 - 00:02:44] 双十一也好
[00:02:44 - 00:02:45] 现在还有双十二
[00:02:45 - 00:02:47] 还得搞定
[00:02:47 - 00:02:48] 都是咱们中国的电商
[00:02:48 - 00:02:49] 搞出来的这种
