BV号：BV1st421K7Qy
标题：BV1st421K7Qy
链接：https://www.bilibili.com/video/BV1st421K7Qy
识别语言：zh
语言置信度：1
分段数：68
生成时间：2026-04-03 10:44:31

[00:00:00 - 00:00:01] 每年高考报名的时候
[00:00:01 - 00:00:04] 海南的存在感说实话确实不是特别高
[00:00:04 - 00:00:07] 但其实它的经济水平和依据水平都是很不错的
[00:00:07 - 00:00:11] 尤其是这两年海南自贸港的发展速度大家都看得到
[00:00:11 - 00:00:14] 未来风关的话前景肯定会更好
[00:00:14 - 00:00:17] 而且海南的教育资源其实也挺不错的
[00:00:17 - 00:00:19] 只是说大家不了解可能就忽略了
[00:00:19 - 00:00:21] 比如说张老师今天要给大家介绍的
[00:00:21 - 00:00:24] 海南一科大学就是一个学医的好去处
[00:00:24 - 00:00:27] 海医就是大家原来常说的海南医学院
[00:00:27 - 00:00:29] 前不久刚刚更了名
[00:00:29 - 00:00:31] 成为海南第一所一科大学
[00:00:31 - 00:00:33] 其实追溯起来我特地查了一下
[00:00:33 - 00:00:35] 他13年就祸皮了硕士点
[00:00:35 - 00:00:37] 现在已经有10个了
[00:00:37 - 00:00:39] 19年祸皮了博士点
[00:00:39 - 00:00:40] 他们的头牌
[00:00:40 - 00:00:42] 临床医学是有本硕博兜底的
[00:00:42 - 00:00:44] 那个全球学科排名ESI
[00:00:44 - 00:00:47] 已经达到了全球前千分之五的水平
[00:00:47 - 00:00:49] 实力还是很强的
[00:00:49 - 00:00:52] 全海南规模最大的三家医院
[00:00:52 - 00:00:54] 前三都是这个学校的直属服务院
[00:00:54 - 00:00:57] 啥意思呢?就是打底8000多张床
[00:00:57 - 00:00:59] 科工学生们实习实践
[00:00:59 - 00:01:02] 那更别说还有那么多的非直属富院
[00:01:02 - 00:01:04] 教学医院疾控中心
[00:01:04 - 00:01:06] 教学实习基地等等
[00:01:06 - 00:01:09] 实习啊就业啊肯定是更有优势的
[00:01:09 - 00:01:12] 家里边有人学医的同学啊应该都知道
[00:01:12 - 00:01:14] 医学处理要看地狱院校之外
[00:01:14 - 00:01:16] 有好多老师带你那也是非常重要的
[00:01:16 - 00:01:18] 你们知道不知道
[00:01:18 - 00:01:22] 中国科学院院省原上海交通大学医学院的院长
[00:01:22 - 00:01:26] 上海教堂大学副校长陈国强现在就是他们的校长
[00:01:26 - 00:01:29] 全职的不是什么柔性的花头
[00:01:29 - 00:01:32] 是他们海南省委省政府全职聘任的
[00:01:32 - 00:01:35] 院士校长就像当年带领上交一样
[00:01:35 - 00:01:38] 在海一样搞起了首政改革
[00:01:38 - 00:01:43] 据说已经一大批国家杰青优心这样的高层次人才到位了
[00:01:43 - 00:01:47] 现在学校专任教室里边博士占比已经超过了百分之五十
[00:01:47 - 00:01:48] 实资实印的
[00:01:48 - 00:01:51] 海南省医学科学院也设在海一
[00:01:51 - 00:01:54] 就是他们的科研的涌动机样
[00:01:54 - 00:01:55] 还有一个我觉得值得注意的
[00:01:55 - 00:01:57] 也是全国少有吧
[00:01:57 - 00:01:58] 你看海南
[00:01:58 - 00:02:00] 是咱们中国代表性的热带地区
[00:02:00 - 00:02:03] 海一呢是这个岛上唯一的工办本科医科大学
[00:02:03 - 00:02:06] 随时来的国内首个热带医学院
[00:02:06 - 00:02:09] 教育部重点实验室热带转化医学的
[00:02:09 - 00:02:12] 以及教育部工程研究中心
[00:02:12 - 00:02:13] 好多都在他这
[00:02:13 - 00:02:17] 覆盖四十多个国家和地区的热带医学联盟
[00:02:17 - 00:02:18] 也是他搞的
[00:02:18 - 00:02:19] 优势呢还是很突出的
[00:02:19 - 00:02:20] 那不光临床
[00:02:20 - 00:02:22] 他们国家级的一流本科就快
[00:02:22 - 00:02:27] 除了林床还有药学、护理学、医学检验技术和预防医学
[00:02:27 - 00:02:29] 就是咱们常说的医学类好专业
[00:02:29 - 00:02:32] 不是国家级一流本科那也是省级
[00:02:32 - 00:02:34] 那么总体来说呢
[00:02:34 - 00:02:36] 自孟港那可是站在时代的风口上
[00:02:36 - 00:02:38] 先往这方面发展
[00:02:38 - 00:02:39] 尤其是对医学感兴趣的同学
[00:02:39 - 00:02:42] 还有一个机会一定不要错过
[00:02:42 - 00:02:43] 现在入学的话呢
[00:02:43 - 00:02:46] 那可就是海南医科大学的第一届学生了
