BV号：BV19VyVY2E9M
标题：BV19VyVY2E9M
链接：https://www.bilibili.com/video/BV19VyVY2E9M
识别语言：zh
语言置信度：1
分段数：368
生成时间：2026-04-03 07:57:02

[00:00:00 - 00:00:01] 他得了这么重的饼
[00:00:01 - 00:00:02] 他没有所谓的怨天游
[00:00:02 - 00:00:05] 他感动于身边每一个对他好的同学
[00:00:05 - 00:00:06] 对他好的老师
[00:00:06 - 00:00:07] 对他好的亲人
[00:00:07 - 00:00:09] 然后的话想办法去
[00:00:09 - 00:00:11] 帮助这些所谓的
[00:00:11 - 00:00:13] 阿看头的恶事群体
[00:00:13 - 00:00:15] 孩子有这种努力拼搏的精神
[00:00:15 - 00:00:17] 我去帮助他人的用心
[00:00:17 - 00:00:19] 这个孩子就是一个好人
[00:00:19 - 00:00:19] 对吧
[00:00:19 - 00:00:20] 我们还是那句话
[00:00:20 - 00:00:22] 能帮多少帮多少
[00:00:22 - 00:00:23] 你好 我叫小方老师
[00:00:23 - 00:00:24] 你好 你说
[00:00:24 - 00:00:25] 我这边呢
[00:00:25 - 00:00:27] 其实应该算比较特殊
[00:00:27 - 00:00:28] 因为我猜
[00:00:28 - 00:00:31] 我本来如果按我这个年龄应该是在高三
[00:00:31 - 00:00:32] 因为我中间我休学了一年
[00:00:32 - 00:00:33] 因为自己的身体原因
[00:00:33 - 00:00:34] 嗯
[00:00:34 - 00:00:35] 然后我就从那个
[00:00:35 - 00:00:36] 原来是说花生的
[00:00:36 - 00:00:38] 然后就转到了一个立地证
[00:00:38 - 00:00:40] 但是吧我就是
[00:00:40 - 00:00:41] 按五按那个我们老师给我的介意
[00:00:41 - 00:00:44] 也是说我文科比你和稍微是有一些优势
[00:00:44 - 00:00:45] 我想问就是
[00:00:45 - 00:00:46] 首先第一个就是
[00:00:46 - 00:00:51] 我考虑就是后面我会学小学习的一个是法律经济
[00:00:51 - 00:00:56] 然后就是我想了解一下就是在师范法律和就是经济的三个方面是
[00:00:56 - 00:00:59] 怎么样去衡量分数段的价值
[00:00:59 - 00:01:00] 我现在才高二
[00:01:00 - 00:01:01] 因为分数
[00:01:01 - 00:01:02] 你现在多少分
[00:01:02 - 00:01:03] 没有完全定下来
[00:01:03 - 00:01:05] 我现在因为我刚复学
[00:01:05 - 00:01:06] 所以我的状态也没有很好
[00:01:06 - 00:01:10] 大概能考个大概500多分的样子
[00:01:10 - 00:01:11] 500多多少
[00:01:11 - 00:01:14] 534
[00:01:14 - 00:01:15] 因为数学现在比较差
[00:01:15 - 00:01:16] 其他的还好
[00:01:16 - 00:01:17] 你这个分之段
[00:01:17 - 00:01:18] 首先第一把吃饭先可以避掉了
[00:01:18 - 00:01:19] 您确实
[00:01:19 - 00:01:20] 但是老师
[00:01:20 - 00:01:23] 我是在我们试的一个数量号中
[00:01:23 - 00:01:24] 我知道
[00:01:24 - 00:01:25] 但是同学是这样子
[00:01:25 - 00:01:29] 理科它很可能会所谓的出题难
[00:01:29 - 00:01:31] 然后的话导师还这么做不出来
