BV号：BV1mi421m7v5
标题：BV1mi421m7v5
链接：https://www.bilibili.com/video/BV1mi421m7v5
识别语言：zh
语言置信度：1
分段数：91
生成时间：2026-04-03 10:59:51

[00:00:00 - 00:00:01] 在北京玄圆路一带
[00:00:01 - 00:00:03] 号称宇宙中心的位置
[00:00:03 - 00:00:05] 做出着一所宝藏院校
[00:00:05 - 00:00:06] 他在周总理官房下见笑
[00:00:06 - 00:00:08] 毛主席提醒校名
[00:00:08 - 00:00:09] 他以语言为名
[00:00:09 - 00:00:11] 还有个小联合国的美誉
[00:00:11 - 00:00:12] 对喽
[00:00:12 - 00:00:13] 今天要讲的就是
[00:00:13 - 00:00:14] 北京语言大学
[00:00:14 - 00:00:17] 北语是教育部指数的重点高校
[00:00:17 - 00:00:20] 是一所以语言教语和研究为优势的
[00:00:20 - 00:00:21] 多科性国际型大学
[00:00:21 - 00:00:23] 笑如其名
[00:00:23 - 00:00:25] 北京语言大学在语言方面
[00:00:25 - 00:00:26] 真的是有两把刷子的
[00:00:26 - 00:00:29] 学校同时拥有中国语言文学
[00:00:29 - 00:00:32] 和外国语言文学两个一级学科博士点
[00:00:32 - 00:00:34] 在区域国别学
[00:00:34 - 00:00:36] 国际中文教育
[00:00:36 - 00:00:38] 汉学与中国学
[00:00:38 - 00:00:41] 语言交叉学科这些领域也都很强
[00:00:41 - 00:00:44] 还有像首批国家基础学科拔尖学生
[00:00:44 - 00:00:45] 排养计划2.0基地
[00:00:45 - 00:00:48] 全国高校黄大年事教学团队
[00:00:48 - 00:00:50] 教育部1111引致基地
[00:00:50 - 00:00:52] 语言认知科学教育部
[00:00:52 - 00:00:54] 重点实验室等
[00:00:54 - 00:00:56] 众多优势团队和平台
[00:00:56 - 00:00:58] 确实是特色鲜明实力不足
[00:00:58 - 00:01:01] 另外 语言大学可不是只学语言
[00:01:01 - 00:01:05] 学科专业方面 北语有十一大学科门类
[00:01:05 - 00:01:07] 本科专业就有51个
[00:01:07 - 00:01:10] 其中国家和北京市一流本科专业22个
[00:01:10 - 00:01:12] 像它的王牌专业 汉语国际教育
[00:01:12 - 00:01:15] 以及外语中文相关专业的优势不用多说
[00:01:15 - 00:01:19] 学校非语言类专业强调以语言 负能
[00:01:19 - 00:01:21] 培养高端 负荷 血来财
[00:01:21 - 00:01:22] 比如说 计算机大类
[00:01:22 - 00:01:25] 以人工智能的语言智能为特色
[00:01:25 - 00:01:27] 新闻学 商科类等专业
[00:01:27 - 00:01:29] 部分課上是雙語教學
[00:01:29 - 00:01:31] 學校今年新增傳播學
[00:01:31 - 00:01:33] 無同計劃人才實驗班
[00:01:33 - 00:01:36] 不應與主持藝術中英雙語
[00:01:36 - 00:01:38] 國際組織與全球治理
[00:01:38 - 00:01:40] 數據科學與大數據技術
[00:01:40 - 00:01:42] 還有醫學類專業
[00:01:42 - 00:01:44] 聽力語言語康復學
[00:01:44 - 00:01:46] 學校還跟北京科技大學
[00:01:46 - 00:01:47] 北京化工大學等
[00:01:47 - 00:01:49] 重點高校強強聯合
[00:01:49 - 00:01:53] 先後開設五個聯合學士學位實驗班
[00:01:53 - 00:01:55] 都是結合語言和行業優勢
[00:01:55 - 00:01:57] 服務國家戰略
[00:01:57 - 00:01:58] 面向社会人才需求
[00:01:58 - 00:02:00] 今年肯定要活
[00:02:00 - 00:02:02] 北语人宿美语叫小联合国
[00:02:02 - 00:02:04] 国际化这一块必须得说说
[00:02:04 - 00:02:06] 中外学生同堂同校
[00:02:06 - 00:02:09] 不出校门就能开拓国际事业
[00:02:09 - 00:02:11] 北语跟全球400多所高校
[00:02:11 - 00:02:13] 以及教育机构有很多关系
[00:02:13 - 00:02:16] 出国境学习机会非常多
[00:02:16 - 00:02:17] 不管是短期的 长期的
[00:02:17 - 00:02:19] 还是公派的自费的
[00:02:19 - 00:02:20] 总有一款适合你
[00:02:20 - 00:02:21] 花个点
[00:02:21 - 00:02:23] 首先是无同实验班
[00:02:23 - 00:02:25] 集合北语各方面的优势资源
[00:02:25 - 00:02:28] 打造中外學生同堂
[00:02:28 - 00:02:30] 貫通本碩博的模式
[00:02:30 - 00:02:33] 培養國際傳播出版領域的高端負荷性人才
[00:02:33 - 00:02:36] 面向全國在本一批招生
[00:02:36 - 00:02:39] 另外大家關心的聯合學士學位實驗班
[00:02:39 - 00:02:43] 和熱門小宇種都投放在提前批次
[00:02:43 - 00:02:44] 不需要校考
[00:02:44 - 00:02:47] 最後新高考省份同學要注意了
[00:02:47 - 00:02:49] 北語多數專業是文理兼收
[00:02:49 - 00:02:51] 無涉選考科目
[00:02:51 - 00:02:52] 還是那句話
[00:02:52 - 00:02:54] 像北語這一類院校
[00:02:54 - 00:02:56] 特色優勢突出在排揚質量
[00:02:56 - 00:02:59] 畢業生發展方面都有口接杯
[00:02:59 - 00:03:00] 所以說分數不低
[00:03:00 - 00:03:03] 北語今年擴兆的趨勢是非常明顯
[00:03:03 - 00:03:06] 因為到了衝擊雙一樓的最後兩年
[00:03:06 - 00:03:07] 應該說是機會非常大
[00:03:07 - 00:03:08] 所以說咱們無論是在
[00:03:08 - 00:03:10] 充文堡內閣層次考慮
[00:03:10 - 00:03:13] 北京語言大學都是一個不錯的選擇
