BV号：BV1bgG1z4E8m
标题：BV1bgG1z4E8m
链接：https://www.bilibili.com/video/BV1bgG1z4E8m
识别语言：zh
语言置信度：1
分段数：115
生成时间：2026-04-03 05:02:33

[00:00:00 - 00:00:03] 我是那个河南高三化生的家长
[00:00:03 - 00:00:04] ok
[00:00:04 - 00:00:07] 那个他八省联考的时候考了
[00:00:07 - 00:00:08] 168吧
[00:00:08 - 00:00:10] 然后他现在就是
[00:00:10 - 00:00:12] 你要喜欢化学
[00:00:12 - 00:00:13] 平常在学校化学
[00:00:13 - 00:00:15] 基本上也能就是考
[00:00:15 - 00:00:17] 95%买分左右吧
[00:00:17 - 00:00:17] ok
[00:00:18 - 00:00:20] 但是我们就是听那个化学
[00:00:20 - 00:00:22] 将来不好就业
[00:00:22 - 00:00:24] 本科毕业确实不好就业家长
[00:00:24 - 00:00:26] 但是如果说你这个成绩的话
[00:00:26 - 00:00:27] 你肯定是往上考
[00:00:27 - 00:00:29] 现在不是有那个强机吗
[00:00:29 - 00:00:31] 他心理疑问家长
[00:00:31 - 00:00:33] 568还是668
[00:00:33 - 00:00:35] 668
[00:00:35 - 00:00:36] 我动了我再问个问题
[00:00:36 - 00:00:39] 你喜欢化学是因为你成绩好喜欢化学
[00:00:39 - 00:00:42] 还是因为你对化学是热爱
[00:00:42 - 00:00:45] 他对化学对方面比较感兴趣
[00:00:45 - 00:00:50] 然后他现在强激他想抱那个这大化学系
[00:00:50 - 00:00:51] 就是家长
[00:00:51 - 00:00:53] 如果说你孩子出于这个专业
[00:00:53 - 00:00:56] 对于这个专业的热爱是可以抱的
[00:00:56 - 00:00:57] 但是我提醒大家
[00:00:57 - 00:01:02] 大家一呢不要以为化学所谓的容易就去学化学
[00:01:02 - 00:01:06] 因为像你这种高分段的孩子急如意出现什么情况
[00:01:06 - 00:01:08] 老师我是学务力特别努力
[00:01:08 - 00:01:09] 我也干不过那帮人
[00:01:09 - 00:01:11] 我化学没怎么努力
[00:01:11 - 00:01:12] 但是我化学成绩却很好
[00:01:12 - 00:01:14] 如果你因为这个选化学专业
[00:01:14 - 00:01:15] 别选
[00:01:15 - 00:01:18] 因为只不过是高中阶段的化学容易
[00:01:18 - 00:01:20] 也到越往后
[00:01:20 - 00:01:22] 它不代表它没有难的东西
[00:01:22 - 00:01:25] 所以说不要因为一个事儿简单去做它
[00:01:25 - 00:01:28] 因为如果说因为一个事儿简单去做他的话
[00:01:28 - 00:01:30] 一 他将来早没有男的时候
[00:01:30 - 00:01:32] 二 你会很卷的
[00:01:32 - 00:01:35] 因为这个事儿简单能达到的人多
[00:01:35 - 00:01:36] 他就会卷
[00:01:36 - 00:01:37] 我们要做什么样的事情
[00:01:37 - 00:01:38] 我将来给大家讲
[00:01:38 - 00:01:40] 我们要做男而正确的事情
[00:01:40 - 00:01:42] 不要因为这个事儿简单去做他
[00:01:42 - 00:01:42] 这是第一点
[00:01:42 - 00:01:43] 第二点
[00:01:43 - 00:01:44] 不要因为说找事
[00:01:44 - 00:01:46] 我觉得我数学物理干不过别人
[00:01:46 - 00:01:47] 我才去选择在化学
[00:01:47 - 00:01:49] 我数学物理只在这个班机里面
[00:01:49 - 00:01:51] 可能是前10%
[00:01:51 - 00:01:54] 但是我化学是这个班机里面的前10%
[00:01:54 - 00:01:57] 也不要因为这个去选择在化学的作业
[00:01:57 - 00:01:58] 因为有些行道
[00:01:58 - 00:02:01] 你即使是10%到10%
[00:02:01 - 00:02:05] 可能会比另外一个行道的前3%都要强
[00:02:05 - 00:02:06] 因为不同行业里面
[00:02:06 - 00:02:08] 你给它这平台大小的是不一样的
[00:02:08 - 00:02:11] 所以说你一定要去跟海的商量清楚
[00:02:11 - 00:02:13] 你如果真的是热爱化学
[00:02:13 - 00:02:14] 绝对支持
[00:02:14 - 00:02:16] 但是如果你因为化学
[00:02:16 - 00:02:18] 简单去选择化学
[00:02:18 - 00:02:20] 或者因为你化学的胃
[00:02:20 - 00:02:22] 你的身体比较靠谐去选择化学
[00:02:22 - 00:02:23] 那就别选
[00:02:23 - 00:02:26] 我们也是建议他不要学化学
[00:02:26 - 00:02:28] 就是问他为什么想学化学
[00:02:28 - 00:02:32] 他说就是觉得那个数学跟物理的话
[00:02:32 - 00:02:33] 可能比较难
[00:02:33 - 00:02:36] 你看我最担心的就是这种
[00:02:36 - 00:02:39] 你选择化学不是出于对化学的热爱
[00:02:39 - 00:02:42] 而是出于对数学和物理
[00:02:42 - 00:02:44] 觉得自己干不过那帮优秀学生的恐惧
[00:02:44 - 00:02:45] 对
[00:02:45 - 00:02:48] 所以说我最担心的就是这个
[00:02:48 - 00:02:51] 你这种对于化学叫为喜欢化学
[00:02:51 - 00:02:52] 我给大家讲一个事
[00:02:52 - 00:02:54] 我在三年前有一个学生学化学
[00:02:54 - 00:02:55] 就是要学化学
[00:02:55 - 00:02:57] 家长也说 张老师我不建议他
[00:02:57 - 00:02:59] 但是说的话 孩子就要分药学
[00:02:59 - 00:02:59] 我就跟他还在沟通
[00:02:59 - 00:03:01] 我说 孩子你为什么要把我化学
[00:03:01 - 00:03:03] 他说 张老师我真的特别喜欢化学
[00:03:03 - 00:03:05] 我如果不学化学的原因
[00:03:05 - 00:03:06] 我死心就遗憾
[00:03:06 - 00:03:08] 这孩子上出中生高中的时候
[00:03:08 - 00:03:11] 他让他的妈妈和爸爸给他买
[00:03:11 - 00:03:13] 化学的实验器材和化学的实验师纪
[00:03:13 - 00:03:15] 在学校里边做的实验不过瘾
[00:03:15 - 00:03:17] 然后家里边再做一遍
[00:03:17 - 00:03:19] 结果有一天在家里边做实验的时候
[00:03:19 - 00:03:21] 不知道是因为哪个步骤做错了
[00:03:21 - 00:03:23] 家里边他那个房间墨黑烟
[00:03:23 - 00:03:25] 然后他那个黑烟就顺着这个孩子那个房间
[00:03:25 - 00:03:26] 通风往上游
[00:03:26 - 00:03:27] 然后他楼上看见了
[00:03:27 - 00:03:29] 他们以为楼下着火了你知道吧
[00:03:29 - 00:03:31] 结果一发现他们孩子在家里边坐鞋
[00:03:31 - 00:03:32] 差了点把家里边给炸了
[00:03:32 - 00:03:33] 这叫对于化学的热爱
[00:03:33 - 00:03:35] 我说孩子你报志愿
[00:03:35 - 00:03:36] 你报化学
[00:03:36 - 00:03:37] 张老师绝对支持你
[00:03:37 - 00:03:40] 你想这种孩子他叫对于化学的热爱
[00:03:40 - 00:03:43] 你的这种属于选化学
[00:03:43 - 00:03:44] 不是I want
[00:03:44 - 00:03:45] 这是I have to
[00:03:45 - 00:03:45] 深度
