BV号：BV1uYFVzME4k
标题：BV1uYFVzME4k
链接：https://www.bilibili.com/video/BV1uYFVzME4k
识别语言：zh
语言置信度：1
分段数：62
生成时间：2026-04-03 00:27:23

[00:00:00 - 00:00:02] 来给大家讲解一下这个专业特到底是干嘛的
[00:00:02 - 00:00:03] 能源与动力力
[00:00:03 - 00:00:04] 首先各位家长你要知道
[00:00:04 - 00:00:07] 能源与动力力经常会有这样的专业的人说
[00:00:07 - 00:00:08] 张老师这个专业是干嘛的
[00:00:08 - 00:00:10] 很多家长说张老师他是烧锅炉的
[00:00:10 - 00:00:11] 听说过吗
[00:00:11 - 00:00:12] 各位家长听说过这种说法吗
[00:00:12 - 00:00:14] 说能源与动力力是烧锅炉的
[00:00:14 - 00:00:16] 为什么有的家长或者有的朋友说
[00:00:16 - 00:00:18] 能源与动力力这种专业是烧锅炉的
[00:00:18 - 00:00:18] 是因为什么
[00:00:18 - 00:00:21] 因为能源与动力它最早这个专业
[00:00:21 - 00:00:22] 它是做什么的
[00:00:22 - 00:00:23] 它就是做发电厂的
[00:00:23 - 00:00:24] 它就是做发电的
[00:00:24 - 00:00:25] 它相当于是什么呢
[00:00:25 - 00:00:26] 各位家长
[00:00:26 - 00:00:29] 你可以把它理解为将热能转化为电能
[00:00:29 - 00:00:32] 如何将热能转化为电能
[00:00:32 - 00:00:33] 这个局的能源也有动力
[00:00:33 - 00:00:35] 知道吧 热能转化为电能
[00:00:35 - 00:00:38] 因为我们烧煤 烧煤会产生热能 对不对
[00:00:38 - 00:00:42] 热能转化为电能 叫能源也动力 就是发电
[00:00:42 - 00:00:43] 那哪些学校毕业以后
[00:00:43 - 00:00:45] 它的这个方向是发电呢
[00:00:45 - 00:00:46] 别大家说一下
[00:00:46 - 00:00:47] 电力部的直属高效
[00:00:47 - 00:00:49] 它的能源也动力就是发电
[00:00:49 - 00:00:50] 但是大家你要注意
[00:00:50 - 00:00:51] 发电场要倒班的
[00:00:51 - 00:00:52] 发电场要倒班的
[00:00:52 - 00:00:53] 大家听懂了吗
[00:00:53 - 00:00:54] 发电场要倒班的
[00:00:54 - 00:00:55] 发电场稳定不稳定
[00:00:55 - 00:00:57] 穩定 发电厂超级穩定
[00:00:57 - 00:00:58] 但是的话 发电厂倒霸了
[00:00:58 - 00:01:00] 这个你家孩子说说照顺
[00:01:00 - 00:01:01] 我们家孩子想稳定
[00:01:01 - 00:01:03] 想稳定你选择是没有问题的
[00:01:03 - 00:01:04] 想稳定 要去电网
[00:01:04 - 00:01:05] 去不了电网
[00:01:05 - 00:01:06] 大家加点注意
[00:01:06 - 00:01:08] 能为动力去不了电网
[00:01:08 - 00:01:10] 大家一定要分别一下
[00:01:10 - 00:01:11] 你要想去电网的话
[00:01:11 - 00:01:13] 要报这个叫电器
[00:01:13 - 00:01:14] 国电电馆公司的招聘的时候
[00:01:14 - 00:01:18] 电工类的港是不包括能动的
[00:01:18 - 00:01:20] 电工类就是电工类
[00:01:20 - 00:01:22] 电工类是电器
[00:01:22 - 00:01:23] 而不是能动
[00:01:23 - 00:01:25] 加上你要注意一下
[00:01:25 - 00:01:26] 网上有很多人会跟你说
[00:01:26 - 00:01:28] 说你要想去电网的话
[00:01:28 - 00:01:29] 也可以报能度
[00:01:29 - 00:01:30] 但大家注意
[00:01:30 - 00:01:32] 可以和能是不一样的
[00:01:32 - 00:01:35] 可以和能是不一样的
[00:01:35 - 00:01:37] 如果说你要想进国网的话
[00:01:37 - 00:01:39] 你最好报电器
[00:01:39 - 00:01:40] 别报别的专业
