BV号：BV1eW411h7hD
标题：BV1eW411h7hD
链接：https://www.bilibili.com/video/BV1eW411h7hD
识别语言：zh
语言置信度：1
分段数：139
生成时间：2026-04-04 12:11:15

[00:00:00 - 00:00:03] 中國有四個專說難度比學說了
[00:00:03 - 00:00:04] 知道吧
[00:00:04 - 00:00:05] 四個專說難度比學說的
[00:00:05 - 00:00:07] 還好的是這四個專業在咱們學校呢
[00:00:07 - 00:00:08] 基本上都沒有
[00:00:08 - 00:00:11] 咱們學校至少有一個專業的
[00:00:11 - 00:00:12] 應該是有兩個專業
[00:00:12 - 00:00:13] 給大家介紹一下四個專業
[00:00:13 - 00:00:14] 這個你聽一下就可以了
[00:00:14 - 00:00:15] 第一個專業同學
[00:00:15 - 00:00:17] 醫學這個專業專注比學說難
[00:00:17 - 00:00:19] 有沒有同學當天差點沒學醫啊
[00:00:19 - 00:00:22] 有沒有同學當天想學醫
[00:00:22 - 00:00:22] 後來沒學的
[00:00:22 - 00:00:23] 我給你重點
[00:00:23 - 00:00:27] 你親親自己當年沒毛的短個屑學了醫了
[00:00:27 - 00:00:27] 我給你講
[00:00:27 - 00:00:29] 學了醫已經死悄悄了
[00:00:29 - 00:00:30] 为什么?
[00:00:30 - 00:00:31] 你一学这个专业
[00:00:31 - 00:00:32] 他们后来毕业以后就业
[00:00:32 - 00:00:34] 他不是不好就业你知道吧
[00:00:34 - 00:00:36] 他那么是无法就业你知道吗
[00:00:36 - 00:00:37] 什么叫无法就业同学
[00:00:37 - 00:00:39] 你想如果说你们生病了
[00:00:39 - 00:00:40] 你到医院去看医生
[00:00:40 - 00:00:42] 告诉你说对面给你看医生这个医生呢
[00:00:42 - 00:00:43] 他是个绑克生
[00:00:43 - 00:00:45] 你干吗?
[00:00:45 - 00:00:46] 不干吗?对吧
[00:00:46 - 00:00:47] 你肯定喜欢什么人
[00:00:47 - 00:00:48] 白人胡说老头
[00:00:48 - 00:00:50] 满头心发大老奶奶
[00:00:50 - 00:00:51] 对吧
[00:00:51 - 00:00:52] 是不是医生这玩意
[00:00:52 - 00:00:54] 说今天越好你越信任他
[00:00:54 - 00:00:54] 对吧
[00:00:54 - 00:00:55] 一个嘴上那帮更烈的一家人
[00:00:55 - 00:00:56] 你敢信任他吗
[00:00:56 - 00:00:56] 你不敢信任他
[00:00:56 - 00:00:58] 绑克生更不敢信任他对吧
[00:00:58 - 00:00:59] 所以他们这个专业就很倒霉
[00:00:59 - 00:01:00] 他们必须得考验
[00:01:00 - 00:01:01] 不考验没办法
[00:01:01 - 00:01:03] 医院的话是很多种等级
[00:01:03 - 00:01:04] 其中一种等级最高等级叫什么
[00:01:04 - 00:01:05] 叫三级家的医院
[00:01:05 - 00:01:06] 知道吧
[00:01:06 - 00:01:09] 三级家的医院必须博士
[00:01:09 - 00:01:11] 数十多保护学
[00:01:11 - 00:01:11] 所以他们就很倒霉
[00:01:11 - 00:01:12] 知道吧
[00:01:12 - 00:01:13] 一直学一直学一直学
[00:01:13 - 00:01:15] 学一三十岁之前都挣不到钱
[00:01:15 - 00:01:16] 没办法
[00:01:16 - 00:01:16] 知道吧
