BV号：BV1je411d7aW
标题：BV1je411d7aW
链接：https://www.bilibili.com/video/BV1je411d7aW
识别语言：zh
语言置信度：1
分段数：38
生成时间：2026-04-03 13:28:08

[00:00:00 - 00:00:03] 我跟你说那6个省份的很多家长报考逻辑
[00:00:03 - 00:00:06] 其实是三个字叫做不亏分
[00:00:06 - 00:00:08] 我不知道这6个省份的家长有没有体会
[00:00:08 - 00:00:10] 很多家长在报局院的时候
[00:00:10 - 00:00:11] 他其实是不亏分
[00:00:11 - 00:00:12] 他是怎么报的呢
[00:00:12 - 00:00:13] 他是这么报的
[00:00:13 - 00:00:14] 比如说他考了600分
[00:00:14 - 00:00:17] 他就会把去年的610-590
[00:00:17 - 00:00:19] 所有的需求和专业全都给找出来
[00:00:19 - 00:00:21] 所有找出来完以后的话他怎么样呢
[00:00:21 - 00:00:22] 因为你像山东啊
[00:00:22 - 00:00:23] 你像河北啊
[00:00:23 - 00:00:26] 他每一个分数线上面有100个院校和专业
[00:00:26 - 00:00:28] 大概有2100个选择
[00:00:28 - 00:00:29] 但是他要剩下96个
[00:00:29 - 00:00:30] 然后他怎么办呢
[00:00:30 - 00:00:31] 他就删
[00:00:31 - 00:00:32] 从两千一百个里边
[00:00:32 - 00:00:33] 夸夸夸删
[00:00:33 - 00:00:34] 我们这孩子不想学医
[00:00:34 - 00:00:35] 塌塌塌的夸
[00:00:35 - 00:00:36] 删掉
[00:00:36 - 00:00:37] 我们这孩子不想当老师
[00:00:37 - 00:00:38] 塌塌塌的删掉
[00:00:38 - 00:00:40] 我们这孩子不想学生果温台
[00:00:40 - 00:00:41] 塌塌塌的删掉
[00:00:41 - 00:00:42] 然后最后一排列从上往上
[00:00:43 - 00:00:44] 他吃这个逻辑
[00:00:44 - 00:00:46] 但实在这个逻辑是有问题的
[00:00:46 - 00:00:47] 你青天有命吧
[00:00:47 - 00:00:48] 你都不吃驴
[00:00:48 - 00:00:49] 对吧
[00:00:49 - 00:00:51] 但是有条计的省份的家长
[00:00:51 - 00:00:52] 首先你要注意
[00:00:52 - 00:00:54] 有条计的家长一定要注意
[00:00:54 - 00:00:55] 你到底是冲学校还是保文
[00:00:55 - 00:00:56] 你要想清楚
