BV号：BV1t6NjzZEfR
标题：BV1t6NjzZEfR
链接：https://www.bilibili.com/video/BV1t6NjzZEfR
识别语言：zh
语言置信度：1
分段数：52
生成时间：2026-04-03 04:33:55

[00:00:00 - 00:00:01] 很多家长说到了说
[00:00:01 - 00:00:02] 我们家还要学人工智能
[00:00:02 - 00:00:03] 要学人工智能
[00:00:03 - 00:00:05] 首先我给大家说一下
[00:00:05 - 00:00:06] 就是我们各位家长
[00:00:06 - 00:00:10] 你不要盲目的跟风去论人工智能
[00:00:10 - 00:00:12] 人工智能是领域
[00:00:12 - 00:00:14] 人工智能不是专业
[00:00:14 - 00:00:16] 人工智能是领域
[00:00:16 - 00:00:17] 来我们看一下
[00:00:17 - 00:00:19] 人工智能如果从专业的角度来讲的话
[00:00:19 - 00:00:20] 它是没电的信息达到
[00:00:20 - 00:00:22] 那么实际上
[00:00:22 - 00:00:25] 如果说你简单说人工智能是电的信息
[00:00:25 - 00:00:26] 或者是电的信息是人工智能
[00:00:26 - 00:00:28] 我觉得这话说得都不对
[00:00:28 - 00:00:28] 我就拿一个
[00:00:28 - 00:00:31] 大家可能相对比较熟悉的一个例子
[00:00:31 - 00:00:31] 什么呢
[00:00:31 - 00:00:32] 就是那个与苏特级的一些
[00:00:32 - 00:00:34] 它就是一个人工智能的应用
[00:00:34 - 00:00:35] 你想想啊
[00:00:35 - 00:00:36] 人工智能应用
[00:00:36 - 00:00:38] 是只有学人工智能才能干这个吗
[00:00:38 - 00:00:39] 不是的
[00:00:39 - 00:00:40] 首先这个人形机械人
[00:00:40 - 00:00:41] 它是靠什么曲动力
[00:00:41 - 00:00:43] 它是靠软件曲动
[00:00:43 - 00:00:44] 软件控制硬件
[00:00:44 - 00:00:44] 知道吧
[00:00:44 - 00:00:45] 它就有系统的
[00:00:45 - 00:00:46] 知道吧
[00:00:46 - 00:00:47] 那靠软件曲动的
[00:00:47 - 00:00:49] 那学计算机可不可以被人工智能分了
[00:00:49 - 00:00:51] 学计算机大人可以被人工智能分
[00:00:51 - 00:00:52] 换句话说
[00:00:52 - 00:00:54] 不是说你只有把我人工智能
[00:00:54 - 00:00:56] 才能干人的
[00:00:56 - 00:00:57] 你学其他专业
[00:00:57 - 00:00:59] 也可以被人工生產業輸入
[00:00:59 - 00:01:00] 你在報助院的時候
[00:01:00 - 00:01:03] 沒有必要盲目跟風去報人
[00:01:03 - 00:01:06] 大家如果說不瞭解具體專業是幹嘛的話
[00:01:06 - 00:01:07] 你可以用我們的誇課的
[00:01:07 - 00:01:08] ASN路速速速
[00:01:08 - 00:01:09] 你直接問他
[00:01:09 - 00:01:10] 什麼專業具體學生們
[00:01:10 - 00:01:11] 將能幹什麼
[00:01:11 - 00:01:12] 在哪些需要開設
[00:01:12 - 00:01:12] 直接問他
[00:01:12 - 00:01:14] 他都可以結合專業的高考知識戶
[00:01:14 - 00:01:16] 給你專業權利的給讓費的方便
